ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13161001,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Hills,ATT,11
13161002,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Hills,YDS,-2
13161003,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Hills,TD,0
13161004,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Hills,LONG,13
13161005,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,J,Everhart,ATT,1
13161006,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,J,Everhart,YDS,0
13161007,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,J,Everhart,TD,0
13161008,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,J,Everhart,LONG,0
13161009,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Dylan,Terry,ATT,1
13161010,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Dylan,Terry,YDS,-5
13161011,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Dylan,Terry,TD,0
13161012,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Dylan,Terry,LONG,0
13161013,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Brian,Yenor,ATT,21
13161014,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Brian,Yenor,YDS,78
13161015,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Brian,Yenor,TD,0
13161016,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Brian,Yenor,LONG,12
13161017,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Clone,Kinsey,ATT,1
13161018,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Clone,Kinsey,YDS,4
13161019,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Clone,Kinsey,TD,0
13161020,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Clone,Kinsey,LONG,4
13161021,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Knowles,ATT,1
13161022,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Knowles,YDS,1
13161023,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Knowles,TD,1
13161024,10/25/2013,D-II,Southern Nazarene,Ark.-Monticello,RUSHING,Trey,Knowles,LONG,1
