ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13388001,11/16/2013,D-II,Central State,West Alabama,RUSHING,Kyle,Jackson,ATT,13
13388002,11/16/2013,D-II,Central State,West Alabama,RUSHING,Kyle,Jackson,YDS,36
13388003,11/16/2013,D-II,Central State,West Alabama,RUSHING,Kyle,Jackson,TD,0
13388004,11/16/2013,D-II,Central State,West Alabama,RUSHING,Kyle,Jackson,LONG,12
13388005,11/16/2013,D-II,Central State,West Alabama,RUSHING,Robert,Evans,ATT,11
13388006,11/16/2013,D-II,Central State,West Alabama,RUSHING,Robert,Evans,YDS,13
13388007,11/16/2013,D-II,Central State,West Alabama,RUSHING,Robert,Evans,TD,1
13388008,11/16/2013,D-II,Central State,West Alabama,RUSHING,Robert,Evans,LONG,15
13388009,11/16/2013,D-II,Central State,West Alabama,RUSHING,Isiah,Grooms,ATT,13
13388010,11/16/2013,D-II,Central State,West Alabama,RUSHING,Isiah,Grooms,YDS,78
13388011,11/16/2013,D-II,Central State,West Alabama,RUSHING,Isiah,Grooms,TD,0
13388012,11/16/2013,D-II,Central State,West Alabama,RUSHING,Isiah,Grooms,LONG,23
13388013,11/16/2013,D-II,Central State,West Alabama,RUSHING,Regina,Mcclain,ATT,1
13388014,11/16/2013,D-II,Central State,West Alabama,RUSHING,Regina,Mcclain,YDS,5
13388015,11/16/2013,D-II,Central State,West Alabama,RUSHING,Regina,Mcclain,TD,0
13388016,11/16/2013,D-II,Central State,West Alabama,RUSHING,Regina,Mcclain,LONG,5
13388017,11/16/2013,D-II,Central State,West Alabama,RUSHING,Jef,Washington,ATT,1
13388018,11/16/2013,D-II,Central State,West Alabama,RUSHING,Jef,Washington,YDS,8
13388019,11/16/2013,D-II,Central State,West Alabama,RUSHING,Jef,Washington,TD,0
13388020,11/16/2013,D-II,Central State,West Alabama,RUSHING,Jef,Washington,LONG,8
13388021,11/16/2013,D-II,Central State,West Alabama,PASSING,Robert,Evans,CP-ATT-INT,18-41-1
13388022,11/16/2013,D-II,Central State,West Alabama,PASSING,Robert,Evans,YDS,270
13388023,11/16/2013,D-II,Central State,West Alabama,PASSING,Robert,Evans,TD,3
13388024,11/16/2013,D-II,Central State,West Alabama,PASSING,Robert,Evans,LONG,50
13388025,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Steven,Heard,REC,6
13388026,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Steven,Heard,YDS,122
13388027,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Steven,Heard,TD,1
13388028,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Steven,Heard,LONG,50
13388029,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Kyle,Jackson,REC,1
13388030,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Kyle,Jackson,YDS,8
13388031,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Kyle,Jackson,TD,0
13388032,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Kyle,Jackson,LONG,8
13388033,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Jeremy,Turner,REC,2
13388034,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Jeremy,Turner,YDS,42
13388035,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Jeremy,Turner,TD,1
13388036,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Jeremy,Turner,LONG,22
13388037,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Isiah,Grooms,REC,1
13388038,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Isiah,Grooms,YDS,3
13388039,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Isiah,Grooms,TD,0
13388040,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Isiah,Grooms,LONG,3
13388041,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Chris,Murray,REC,6
13388042,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Chris,Murray,YDS,83
13388043,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Chris,Murray,TD,1
13388044,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Chris,Murray,LONG,32
13388045,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Zach,Thomas,REC,2
13388046,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Zach,Thomas,YDS,12
13388047,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Zach,Thomas,TD,0
13388048,11/16/2013,D-II,Central State,West Alabama,RECEIVING,Zach,Thomas,LONG,7
13388049,11/16/2013,D-II,Central State,West Alabama,PUNTING,Gracew,Mabhena,NO,7
13388050,11/16/2013,D-II,Central State,West Alabama,PUNTING,Gracew,Mabhena,YDS,311
13388051,11/16/2013,D-II,Central State,West Alabama,PUNTING,Gracew,Mabhena,AVG,44.4
13388052,11/16/2013,D-II,Central State,West Alabama,PUNTING,Gracew,Mabhena,LONG,52
13388053,11/16/2013,D-II,Central State,West Alabama,PUNT RETURNS,K,Madoula-bey,NO,1
13388054,11/16/2013,D-II,Central State,West Alabama,PUNT RETURNS,K,Madoula-bey,YDS,-1
13388055,11/16/2013,D-II,Central State,West Alabama,PUNT RETURNS,K,Madoula-bey,AVG,-1.0
13388056,11/16/2013,D-II,Central State,West Alabama,PUNT RETURNS,K,Madoula-bey,LONG,0
13388057,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Paul,Sains,NO,2
13388058,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Paul,Sains,YDS,27
13388059,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Paul,Sains,AVG,13.5
13388060,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Paul,Sains,LONG,14
13388061,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Dashad,Tucker,NO,3
13388062,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Dashad,Tucker,YDS,26
13388063,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Dashad,Tucker,AVG,8.7
13388064,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Dashad,Tucker,LONG,10
13388065,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Kyle,Jackson,NO,3
13388066,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Kyle,Jackson,YDS,69
13388067,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Kyle,Jackson,AVG,23.0
13388068,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Kyle,Jackson,LONG,32
13388069,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Regina,Mcclain,NO,1
13388070,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Regina,Mcclain,YDS,6
13388071,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Regina,Mcclain,AVG,6.0
13388072,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Regina,Mcclain,LONG,12
13388073,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Courtney,Gee,NO,1
13388074,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Courtney,Gee,YDS,5
13388075,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Courtney,Gee,AVG,5.0
13388076,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Courtney,Gee,LONG,5
13388077,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Chris,Murray,NO,2
13388078,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Chris,Murray,YDS,48
13388079,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Chris,Murray,AVG,24.0
13388080,11/16/2013,D-II,Central State,West Alabama,KICK RETURNS,Chris,Murray,LONG,38
13388081,11/16/2013,D-II,West Alabama,Central State,RUSHING,Gary,Johnston,ATT,9
13388082,11/16/2013,D-II,West Alabama,Central State,RUSHING,Gary,Johnston,YDS,112
13388083,11/16/2013,D-II,West Alabama,Central State,RUSHING,Gary,Johnston,TD,1
13388084,11/16/2013,D-II,West Alabama,Central State,RUSHING,Gary,Johnston,LONG,52
13388085,11/16/2013,D-II,West Alabama,Central State,RUSHING,Malik,Lofton,ATT,1
13388086,11/16/2013,D-II,West Alabama,Central State,RUSHING,Malik,Lofton,YDS,17
13388087,11/16/2013,D-II,West Alabama,Central State,RUSHING,Malik,Lofton,TD,0
13388088,11/16/2013,D-II,West Alabama,Central State,RUSHING,Malik,Lofton,LONG,17
13388089,11/16/2013,D-II,West Alabama,Central State,RUSHING,Kyle,Caldwell,ATT,8
13388090,11/16/2013,D-II,West Alabama,Central State,RUSHING,Kyle,Caldwell,YDS,4
13388091,11/16/2013,D-II,West Alabama,Central State,RUSHING,Kyle,Caldwell,TD,1
13388092,11/16/2013,D-II,West Alabama,Central State,RUSHING,Kyle,Caldwell,LONG,21
13388093,11/16/2013,D-II,West Alabama,Central State,RUSHING,Reggie,Hall,ATT,4
13388094,11/16/2013,D-II,West Alabama,Central State,RUSHING,Reggie,Hall,YDS,31
13388095,11/16/2013,D-II,West Alabama,Central State,RUSHING,Reggie,Hall,TD,1
13388096,11/16/2013,D-II,West Alabama,Central State,RUSHING,Reggie,Hall,LONG,17
13388097,11/16/2013,D-II,West Alabama,Central State,RUSHING,Javae,Swindle,ATT,19
13388098,11/16/2013,D-II,West Alabama,Central State,RUSHING,Javae,Swindle,YDS,280
13388099,11/16/2013,D-II,West Alabama,Central State,RUSHING,Javae,Swindle,TD,3
13388100,11/16/2013,D-II,West Alabama,Central State,RUSHING,Javae,Swindle,LONG,88
13388101,11/16/2013,D-II,West Alabama,Central State,PASSING,Gary,Johnston,CP-ATT-INT,1-1-0
13388102,11/16/2013,D-II,West Alabama,Central State,PASSING,Gary,Johnston,YDS,34
13388103,11/16/2013,D-II,West Alabama,Central State,PASSING,Gary,Johnston,TD,0
13388104,11/16/2013,D-II,West Alabama,Central State,PASSING,Gary,Johnston,LONG,34
13388105,11/16/2013,D-II,West Alabama,Central State,PASSING,Kyle,Caldwell,CP-ATT-INT,13-17-0
13388106,11/16/2013,D-II,West Alabama,Central State,PASSING,Kyle,Caldwell,YDS,210
13388107,11/16/2013,D-II,West Alabama,Central State,PASSING,Kyle,Caldwell,TD,5
13388108,11/16/2013,D-II,West Alabama,Central State,PASSING,Kyle,Caldwell,LONG,47
13388109,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Malik,Lofton,REC,2
13388110,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Malik,Lofton,YDS,12
13388111,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Malik,Lofton,TD,0
13388112,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Malik,Lofton,LONG,9
13388113,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Seth,Roberts,REC,5
13388114,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Seth,Roberts,YDS,111
13388115,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Seth,Roberts,TD,2
13388116,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Seth,Roberts,LONG,34
13388117,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Reggie,Hall,REC,1
13388118,11/16/2013,D-II,West Alabama,Central State,RECEIVING,Reggie,Hall,YDS,7
