ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13384001,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Jay,Mcdowell,ATT,23
13384002,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Jay,Mcdowell,YDS,119
13384003,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Jay,Mcdowell,TD,2
13384004,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Jay,Mcdowell,LONG,26
13384005,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Michael,Nelson,ATT,5
13384006,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Michael,Nelson,YDS,57
13384007,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Michael,Nelson,TD,0
13384008,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Michael,Nelson,LONG,24
13384009,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Giresse,Forchu,ATT,5
13384010,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Giresse,Forchu,YDS,11
13384011,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Giresse,Forchu,TD,0
13384012,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Giresse,Forchu,LONG,4
13384013,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Ejay,Johnson,ATT,5
13384014,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Ejay,Johnson,YDS,15
13384015,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Ejay,Johnson,TD,0
13384016,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Ejay,Johnson,LONG,10
13384017,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Terrance,Allen,ATT,5
13384018,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Terrance,Allen,YDS,33
13384019,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Terrance,Allen,TD,1
13384020,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Terrance,Allen,LONG,10
13384021,11/16/2013,D-II,Mo. Southern St.,Pittsburg State,RUSHING,Kevin,Gill,ATT,1
