ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12631001,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Trae,Tinsman,ATT,11
12631002,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Trae,Tinsman,YDS,17
12631003,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Trae,Tinsman,TD,0
12631004,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Trae,Tinsman,LONG,10
12631005,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Jabre,Lolley,ATT,17
12631006,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Jabre,Lolley,YDS,70
12631007,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Jabre,Lolley,TD,1
12631008,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Jabre,Lolley,LONG,17
12631009,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Allen,Cross,ATT,17
12631010,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Allen,Cross,YDS,53
12631011,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Allen,Cross,TD,1
12631012,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Allen,Cross,LONG,9
12631013,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Mike,Haynes,ATT,3
12631014,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Mike,Haynes,YDS,9
12631015,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Mike,Haynes,TD,0
12631016,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,Mike,Haynes,LONG,8
12631017,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,,Team,ATT,1
12631018,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,,Team,YDS,-1
12631019,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,,Team,TD,0
12631020,9/13/2013,D-II,Shepherd,Fairmont State,RUSHING,,Team,LONG,0
12631021,9/13/2013,D-II,Shepherd,Fairmont State,PASSING,Trae,Tinsman,CP-ATT-INT,5-14-1
12631022,9/13/2013,D-II,Shepherd,Fairmont State,PASSING,Trae,Tinsman,YDS,23
12631023,9/13/2013,D-II,Shepherd,Fairmont State,PASSING,Trae,Tinsman,TD,1
