ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12467001,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Darren,Massey,ATT,2
12467002,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Darren,Massey,YDS,10
12467003,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Darren,Massey,TD,0
12467004,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Darren,Massey,LONG,9
12467005,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Jer,Donaldson,ATT,9
12467006,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Jer,Donaldson,YDS,28
12467007,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Jer,Donaldson,TD,1
12467008,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Jer,Donaldson,LONG,13
12467009,9/4/2013,D-II,Edinboro,Walsh,RUSHING,D'andrea,Vaughn,ATT,11
12467010,9/4/2013,D-II,Edinboro,Walsh,RUSHING,D'andrea,Vaughn,YDS,32
12467011,9/4/2013,D-II,Edinboro,Walsh,RUSHING,D'andrea,Vaughn,TD,0
12467012,9/4/2013,D-II,Edinboro,Walsh,RUSHING,D'andrea,Vaughn,LONG,10
12467013,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Cody,Harris,ATT,7
12467014,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Cody,Harris,YDS,23
12467015,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Cody,Harris,TD,0
12467016,9/4/2013,D-II,Edinboro,Walsh,RUSHING,Cody,Harris,LONG,9
12467017,9/4/2013,D-II,Edinboro,Walsh,RUSHING,,Team,ATT,1
12467018,9/4/2013,D-II,Edinboro,Walsh,RUSHING,,Team,YDS,-4
12467019,9/4/2013,D-II,Edinboro,Walsh,RUSHING,,Team,TD,0
12467020,9/4/2013,D-II,Edinboro,Walsh,RUSHING,,Team,LONG,0
12467021,9/4/2013,D-II,Edinboro,Walsh,PASSING,Cody,Harris,CP-ATT-INT,36-47-0
12467022,9/4/2013,D-II,Edinboro,Walsh,PASSING,Cody,Harris,YDS,306
12467023,9/4/2013,D-II,Edinboro,Walsh,PASSING,Cody,Harris,TD,4
12467024,9/4/2013,D-II,Edinboro,Walsh,PASSING,Cody,Harris,LONG,27
12467025,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kellen,O'neill,REC,2
12467026,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kellen,O'neill,YDS,23
12467027,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kellen,O'neill,TD,0
12467028,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kellen,O'neill,LONG,18
12467029,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Darren,Massey,REC,5
12467030,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Darren,Massey,YDS,46
12467031,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Darren,Massey,TD,1
12467032,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Darren,Massey,LONG,19
12467033,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jer,Donaldson,REC,2
12467034,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jer,Donaldson,YDS,8
12467035,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jer,Donaldson,TD,0
12467036,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jer,Donaldson,LONG,7
12467037,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Marcus,Johnson,REC,3
12467038,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Marcus,Johnson,YDS,32
12467039,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Marcus,Johnson,TD,0
12467040,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Marcus,Johnson,LONG,21
12467041,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,D'andrea,Vaughn,REC,4
12467042,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,D'andrea,Vaughn,YDS,48
12467043,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,D'andrea,Vaughn,TD,0
12467044,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,D'andrea,Vaughn,LONG,15
12467045,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jordan,Williams,REC,1
12467046,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jordan,Williams,YDS,5
12467047,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jordan,Williams,TD,0
12467048,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Jordan,Williams,LONG,5
12467049,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kevin,Sonnie,REC,7
12467050,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kevin,Sonnie,YDS,57
12467051,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kevin,Sonnie,TD,2
12467052,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Kevin,Sonnie,LONG,17
12467053,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Ben,Eisel,REC,11
12467054,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Ben,Eisel,YDS,84
12467055,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Ben,Eisel,TD,0
12467056,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Ben,Eisel,LONG,27
12467057,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Nick,Helmick,REC,1
12467058,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Nick,Helmick,YDS,3
12467059,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Nick,Helmick,TD,1
12467060,9/4/2013,D-II,Edinboro,Walsh,RECEIVING,Nick,Helmick,LONG,3
12467061,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Cody,Harris,NO,3
12467062,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Cody,Harris,YDS,101
12467063,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Cody,Harris,AVG,33.7
12467064,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Cody,Harris,LONG,38
12467065,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Brad,West,NO,1
12467066,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Brad,West,YDS,41
12467067,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Brad,West,AVG,41.0
12467068,9/4/2013,D-II,Edinboro,Walsh,PUNTING,Brad,West,LONG,41
12467069,9/4/2013,D-II,Edinboro,Walsh,PUNT RETURNS,Ben,Eisel,NO,1
12467070,9/4/2013,D-II,Edinboro,Walsh,PUNT RETURNS,Ben,Eisel,YDS,14
12467071,9/4/2013,D-II,Edinboro,Walsh,PUNT RETURNS,Ben,Eisel,AVG,14.0
12467072,9/4/2013,D-II,Edinboro,Walsh,PUNT RETURNS,Ben,Eisel,LONG,14
12467073,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Marcus,Johnson,NO,2
12467074,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Marcus,Johnson,YDS,93
12467075,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Marcus,Johnson,AVG,46.5
12467076,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Marcus,Johnson,LONG,71
12467077,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Jake,Leber,NO,1
12467078,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Jake,Leber,YDS,0
12467079,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Jake,Leber,AVG,0.0
12467080,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,Jake,Leber,LONG,0
12467081,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,C,Yarzebinski,NO,1
12467082,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,C,Yarzebinski,YDS,18
12467083,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,C,Yarzebinski,AVG,18.0
12467084,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,C,Yarzebinski,LONG,18
12467085,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,,Team,NO,1
12467086,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,,Team,YDS,0
12467087,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,,Team,AVG,0.0
12467088,9/4/2013,D-II,Edinboro,Walsh,KICK RETURNS,,Team,LONG,0
12467089,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Paul,Kempe,ATT,19
12467090,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Paul,Kempe,YDS,63
12467091,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Paul,Kempe,TD,0
12467092,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Paul,Kempe,LONG,12
12467093,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Justin,Keith,ATT,12
12467094,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Justin,Keith,YDS,57
12467095,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Justin,Keith,TD,0
12467096,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Justin,Keith,LONG,13
12467097,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Steve,Smith,ATT,7
12467098,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Steve,Smith,YDS,36
12467099,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Steve,Smith,TD,0
12467100,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Steve,Smith,LONG,12
12467101,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Aaron,Male,ATT,2
12467102,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Aaron,Male,YDS,4
12467103,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Aaron,Male,TD,2
12467104,9/4/2013,D-II,Walsh,Edinboro,RUSHING,Aaron,Male,LONG,3
12467105,9/4/2013,D-II,Walsh,Edinboro,PASSING,Paul,Kempe,CP-ATT-INT,39-67-1
12467106,9/4/2013,D-II,Walsh,Edinboro,PASSING,Paul,Kempe,YDS,289
12467107,9/4/2013,D-II,Walsh,Edinboro,PASSING,Paul,Kempe,TD,3
12467108,9/4/2013,D-II,Walsh,Edinboro,PASSING,Paul,Kempe,LONG,19
12467109,9/4/2013,D-II,Walsh,Edinboro,PASSING,Justin,Keith,CP-ATT-INT,1-1-0
12467110,9/4/2013,D-II,Walsh,Edinboro,PASSING,Justin,Keith,YDS,43
12467111,9/4/2013,D-II,Walsh,Edinboro,PASSING,Justin,Keith,TD,0
12467112,9/4/2013,D-II,Walsh,Edinboro,PASSING,Justin,Keith,LONG,43
12467113,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Justin,Keith,REC,3
12467114,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Justin,Keith,YDS,27
12467115,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Justin,Keith,TD,0
12467116,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Justin,Keith,LONG,18
12467117,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Steve,Smith,REC,3
12467118,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Steve,Smith,YDS,25
12467119,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Steve,Smith,TD,0
12467120,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Steve,Smith,LONG,10
12467121,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Anthony,Schrock,REC,7
12467122,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Anthony,Schrock,YDS,96
12467123,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Anthony,Schrock,TD,1
12467124,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Anthony,Schrock,LONG,43
12467125,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jerald,Robinson,REC,7
12467126,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jerald,Robinson,YDS,47
12467127,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jerald,Robinson,TD,2
12467128,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jerald,Robinson,LONG,9
12467129,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Darryl,Gary,REC,8
12467130,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Darryl,Gary,YDS,75
12467131,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Darryl,Gary,TD,0
12467132,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Darryl,Gary,LONG,18
12467133,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Aaron,Male,REC,1
12467134,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Aaron,Male,YDS,7
12467135,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Aaron,Male,TD,0
12467136,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Aaron,Male,LONG,7
12467137,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Brody,Tonn,REC,8
12467138,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Brody,Tonn,YDS,36
12467139,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Brody,Tonn,TD,0
12467140,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Brody,Tonn,LONG,8
12467141,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Matt,Matuska,REC,1
12467142,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Matt,Matuska,YDS,7
12467143,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Matt,Matuska,TD,0
12467144,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Matt,Matuska,LONG,7
12467145,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Krishawn,Hogan,REC,1
12467146,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Krishawn,Hogan,YDS,10
12467147,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Krishawn,Hogan,TD,0
12467148,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Krishawn,Hogan,LONG,10
12467149,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jarious,Smith,REC,1
12467150,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jarious,Smith,YDS,2
12467151,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jarious,Smith,TD,0
12467152,9/4/2013,D-II,Walsh,Edinboro,RECEIVING,Jarious,Smith,LONG,2
12467153,9/4/2013,D-II,Walsh,Edinboro,PUNTING,Tim,Carter,NO,3
12467154,9/4/2013,D-II,Walsh,Edinboro,PUNTING,Tim,Carter,YDS,102
12467155,9/4/2013,D-II,Walsh,Edinboro,PUNTING,Tim,Carter,AVG,34.0
12467156,9/4/2013,D-II,Walsh,Edinboro,PUNTING,Tim,Carter,LONG,39
12467157,9/4/2013,D-II,Walsh,Edinboro,PUNT RETURNS,Pat,White,NO,1
12467158,9/4/2013,D-II,Walsh,Edinboro,PUNT RETURNS,Pat,White,YDS,7
