ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12549001,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Nephi,Garcia,ATT,8
12549002,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Nephi,Garcia,YDS,20
12549003,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Nephi,Garcia,TD,0
12549004,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Nephi,Garcia,LONG,7
12549005,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Brady,Rose,ATT,7
12549006,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Brady,Rose,YDS,9
12549007,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Brady,Rose,TD,0
12549008,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Brady,Rose,LONG,5
12549009,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Matt,Young,ATT,3
12549010,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Matt,Young,YDS,-5
12549011,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Matt,Young,TD,0
12549012,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Matt,Young,LONG,0
12549013,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Luke,Papilion,ATT,12
12549014,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Luke,Papilion,YDS,-13
12549015,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Luke,Papilion,TD,1
12549016,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RUSHING,Luke,Papilion,LONG,7
12549017,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Matt,Young,CP-ATT-INT,3-4-0
12549018,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Matt,Young,YDS,25
12549019,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Matt,Young,TD,0
12549020,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Matt,Young,LONG,14
12549021,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Luke,Papilion,CP-ATT-INT,13-27-1
12549022,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Luke,Papilion,YDS,108
12549023,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Luke,Papilion,TD,0
12549024,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PASSING,Luke,Papilion,LONG,26
12549025,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,C,Hanna,REC,7
12549026,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,C,Hanna,YDS,42
12549027,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,C,Hanna,TD,0
12549028,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,C,Hanna,LONG,14
12549029,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Brady,Rose,REC,2
12549030,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Brady,Rose,YDS,8
12549031,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Brady,Rose,TD,0
12549032,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Brady,Rose,LONG,4
12549033,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Garrett,Shutt,REC,2
12549034,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Garrett,Shutt,YDS,6
12549035,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Garrett,Shutt,TD,0
12549036,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Garrett,Shutt,LONG,3
12549037,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Austin,Vanhove,REC,5
12549038,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Austin,Vanhove,YDS,77
12549039,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Austin,Vanhove,TD,0
12549040,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,RECEIVING,Austin,Vanhove,LONG,26
12549041,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PUNTING,Jace,Bunkers,NO,5
12549042,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PUNTING,Jace,Bunkers,YDS,168
12549043,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PUNTING,Jace,Bunkers,AVG,33.6
12549044,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,PUNTING,Jace,Bunkers,LONG,41
12549045,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,KICK RETURNS,Wes,Smith,NO,5
12549046,9/6/2013,D-II,Sioux Falls,Minnesota-Duluth,KICK RETURNS,Wes,Smith,YDS,144
