ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13937001,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Colin,Markus,ATT,5
13937002,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Colin,Markus,YDS,60
13937003,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Colin,Markus,TD,0
13937004,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Colin,Markus,LONG,56
13937005,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,D,Ramey-doe,ATT,22
13937006,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,D,Ramey-doe,YDS,54
13937007,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,D,Ramey-doe,TD,1
13937008,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,D,Ramey-doe,LONG,11
13937009,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Malachi,Baugh,ATT,2
13937010,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Malachi,Baugh,YDS,7
13937011,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Malachi,Baugh,TD,0
13937012,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Malachi,Baugh,LONG,5
13937013,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Gordon,Mcleod,ATT,2
13937014,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Gordon,Mcleod,YDS,3
13937015,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Gordon,Mcleod,TD,0
13937016,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Gordon,Mcleod,LONG,5
13937017,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Tom,Sydeski,ATT,2
13937018,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Tom,Sydeski,YDS,-8
13937019,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Tom,Sydeski,TD,0
13937020,10/11/2014,D-II,Stonehill,LIU Post,RUSHING,Tom,Sydeski,LONG,0
13937021,10/11/2014,D-II,Stonehill,LIU Post,PASSING,Tom,Sydeski,CP-ATT-INT,19-31-0
13937022,10/11/2014,D-II,Stonehill,LIU Post,PASSING,Tom,Sydeski,YDS,219
13937023,10/11/2014,D-II,Stonehill,LIU Post,PASSING,Tom,Sydeski,TD,2
13937024,10/11/2014,D-II,Stonehill,LIU Post,PASSING,Tom,Sydeski,LONG,29
13937025,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Nate,Robitaille,REC,9
13937026,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Nate,Robitaille,YDS,127
13937027,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Nate,Robitaille,TD,1
13937028,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Nate,Robitaille,LONG,29
13937029,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,D,Ramey-doe,REC,5
13937030,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,D,Ramey-doe,YDS,30
13937031,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,D,Ramey-doe,TD,0
13937032,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,D,Ramey-doe,LONG,12
13937033,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Colin,Smith,REC,1
13937034,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Colin,Smith,YDS,22
13937035,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Colin,Smith,TD,0
13937036,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Colin,Smith,LONG,22
13937037,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Corey,White,REC,2
13937038,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Corey,White,YDS,21
13937039,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Corey,White,TD,0
13937040,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Corey,White,LONG,11
13937041,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Gordon,Mcleod,REC,2
13937042,10/11/2014,D-II,Stonehill,LIU Post,RECEIVING,Gordon,Mcleod,YDS,19
