ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13997001,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,J,Garvin,ATT,17
13997002,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,J,Garvin,YDS,81
13997003,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,J,Garvin,TD,1
13997004,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,J,Garvin,LONG,41
13997005,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,A,Hillman,ATT,11
13997006,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,A,Hillman,YDS,63
13997007,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,A,Hillman,TD,0
13997008,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,A,Hillman,LONG,23
13997009,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,M,Carl,ATT,6
13997010,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,M,Carl,YDS,28
13997011,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,M,Carl,TD,1
13997012,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,M,Carl,LONG,15
13997013,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,C,Dechesaro,ATT,2
13997014,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,C,Dechesaro,YDS,3
13997015,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,C,Dechesaro,TD,0
13997016,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,C,Dechesaro,LONG,5
13997017,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,N,Diercks,ATT,1
13997018,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,N,Diercks,YDS,2
13997019,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,N,Diercks,TD,0
13997020,10/18/2014,D-II,Adams State,Black Hills St.,RUSHING,N,Diercks,LONG,2
13997021,10/18/2014,D-II,Adams State,Black Hills St.,PASSING,A,Hillman,CP-ATT-INT,21-28-1
13997022,10/18/2014,D-II,Adams State,Black Hills St.,PASSING,A,Hillman,YDS,236
13997023,10/18/2014,D-II,Adams State,Black Hills St.,PASSING,A,Hillman,TD,1
13997024,10/18/2014,D-II,Adams State,Black Hills St.,PASSING,A,Hillman,LONG,29
13997025,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Edwards,REC,6
13997026,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Edwards,YDS,71
13997027,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Edwards,TD,0
13997028,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Edwards,LONG,16
13997029,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,P,Romero,REC,3
13997030,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,P,Romero,YDS,61
13997031,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,P,Romero,TD,1
13997032,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,P,Romero,LONG,26
13997033,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,Jr,Watters,REC,1
13997034,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,Jr,Watters,YDS,29
13997035,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,Jr,Watters,TD,0
13997036,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,Jr,Watters,LONG,29
13997037,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,H,Adjei,REC,5
13997038,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,H,Adjei,YDS,24
13997039,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,H,Adjei,TD,0
13997040,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,H,Adjei,LONG,7
13997041,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,S,Algiene,REC,2
13997042,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,S,Algiene,YDS,22
13997043,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,S,Algiene,TD,0
13997044,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,S,Algiene,LONG,18
13997045,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Mccullum,REC,2
13997046,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Mccullum,YDS,16
13997047,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Mccullum,TD,0
13997048,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,D,Mccullum,LONG,9
13997049,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,J,Garvin,REC,2
13997050,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,J,Garvin,YDS,13
13997051,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,J,Garvin,TD,0
13997052,10/18/2014,D-II,Adams State,Black Hills St.,RECEIVING,J,Garvin,LONG,8
13997053,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,K,Krauser,NO,6
13997054,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,K,Krauser,YDS,252
13997055,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,K,Krauser,AVG,42.0
13997056,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,K,Krauser,LONG,69
13997057,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,,Team,NO,1
13997058,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,,Team,YDS,0
13997059,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,,Team,AVG,0.0
13997060,10/18/2014,D-II,Adams State,Black Hills St.,PUNTING,,Team,LONG,0
13997061,10/18/2014,D-II,Adams State,Black Hills St.,PUNT RETURNS,S,Algiene,NO,1
13997062,10/18/2014,D-II,Adams State,Black Hills St.,PUNT RETURNS,S,Algiene,YDS,32
13997063,10/18/2014,D-II,Adams State,Black Hills St.,PUNT RETURNS,S,Algiene,AVG,32.0
13997064,10/18/2014,D-II,Adams State,Black Hills St.,PUNT RETURNS,S,Algiene,LONG,32
13997065,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,Jr,Watters,NO,1
13997066,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,Jr,Watters,YDS,20
13997067,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,Jr,Watters,AVG,20.0
13997068,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,Jr,Watters,LONG,20
13997069,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,S,Algiene,NO,1
13997070,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,S,Algiene,YDS,15
13997071,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,S,Algiene,AVG,15.0
13997072,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,S,Algiene,LONG,15
13997073,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,B,Conner,NO,1
13997074,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,B,Conner,YDS,7
13997075,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,B,Conner,AVG,7.0
13997076,10/18/2014,D-II,Adams State,Black Hills St.,KICK RETURNS,B,Conner,LONG,7
13997077,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Phydell,Paris,ATT,26
13997078,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Phydell,Paris,YDS,82
13997079,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Phydell,Paris,TD,1
13997080,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Phydell,Paris,LONG,11
13997081,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Zach,Meyer,ATT,12
13997082,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Zach,Meyer,YDS,20
13997083,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Zach,Meyer,TD,1
13997084,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Zach,Meyer,LONG,23
13997085,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Trent,Butler,ATT,1
13997086,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Trent,Butler,YDS,2
13997087,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Trent,Butler,TD,0
13997088,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Trent,Butler,LONG,2
13997089,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Steven,Reed,ATT,1
13997090,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Steven,Reed,YDS,0
13997091,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Steven,Reed,TD,0
13997092,10/18/2014,D-II,Black Hills St.,Adams State,RUSHING,Steven,Reed,LONG,0
13997093,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,Zach,Meyer,CP-ATT-INT,26-46-2
13997094,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,Zach,Meyer,YDS,347
13997095,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,Zach,Meyer,TD,2
13997096,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,Zach,Meyer,LONG,39
13997097,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,,Team,CP-ATT-INT,0-2-0
13997098,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,,Team,YDS,0
13997099,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,,Team,TD,0
13997100,10/18/2014,D-II,Black Hills St.,Adams State,PASSING,,Team,LONG,0
13997101,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Anthony,Eboreim,REC,10
13997102,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Anthony,Eboreim,YDS,146
13997103,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Anthony,Eboreim,TD,1
13997104,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Anthony,Eboreim,LONG,39
13997105,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Cameron,Curring,REC,6
13997106,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Cameron,Curring,YDS,101
13997107,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Cameron,Curring,TD,1
13997108,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Cameron,Curring,LONG,32
13997109,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Dan,Zemski,REC,1
13997110,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Dan,Zemski,YDS,36
13997111,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Dan,Zemski,TD,0
13997112,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Dan,Zemski,LONG,36
13997113,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Jerome,Krysl,REC,2
13997114,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Jerome,Krysl,YDS,20
13997115,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Jerome,Krysl,TD,0
13997116,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Jerome,Krysl,LONG,11
13997117,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Erick,Hairston-,REC,3
13997118,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Erick,Hairston-,YDS,14
13997119,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Erick,Hairston-,TD,0
13997120,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Erick,Hairston-,LONG,5
13997121,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Luke,Whalen,REC,1
13997122,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Luke,Whalen,YDS,11
13997123,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Luke,Whalen,TD,0
13997124,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Luke,Whalen,LONG,11
13997125,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Bradley,Adamson,REC,1
13997126,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Bradley,Adamson,YDS,9
13997127,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Bradley,Adamson,TD,0
13997128,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Bradley,Adamson,LONG,9
13997129,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Phydell,Paris,REC,1
13997130,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Phydell,Paris,YDS,8
13997131,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Phydell,Paris,TD,0
13997132,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Phydell,Paris,LONG,4
13997133,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Christian,Fuent,REC,1
13997134,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Christian,Fuent,YDS,2
13997135,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Christian,Fuent,TD,0
13997136,10/18/2014,D-II,Black Hills St.,Adams State,RECEIVING,Christian,Fuent,LONG,2
13997137,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,David,Riedl,NO,7
13997138,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,David,Riedl,YDS,231
13997139,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,David,Riedl,AVG,33.0
13997140,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,David,Riedl,LONG,40
13997141,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,Trevor,Naslund,NO,1
13997142,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,Trevor,Naslund,YDS,33
13997143,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,Trevor,Naslund,AVG,33.0
13997144,10/18/2014,D-II,Black Hills St.,Adams State,PUNTING,Trevor,Naslund,LONG,33
13997145,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Chris,Dupris,NO,1
13997146,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Chris,Dupris,YDS,3
13997147,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Chris,Dupris,AVG,3.0
13997148,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Chris,Dupris,LONG,0
13997149,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Erick,Hairston-,NO,1
13997150,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Erick,Hairston-,YDS,5
13997151,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Erick,Hairston-,AVG,5.0
13997152,10/18/2014,D-II,Black Hills St.,Adams State,PUNT RETURNS,Erick,Hairston-,LONG,5
13997153,10/18/2014,D-II,Black Hills St.,Adams State,KICK RETURNS,Erick,Hairston-,NO,6
13997154,10/18/2014,D-II,Black Hills St.,Adams State,KICK RETURNS,Erick,Hairston-,YDS,103
13997155,10/18/2014,D-II,Black Hills St.,Adams State,KICK RETURNS,Erick,Hairston-,AVG,17.2
13997156,10/18/2014,D-II,Black Hills St.,Adams State,KICK RETURNS,Erick,Hairston-,LONG,30
