ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14063001,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,A,Taylor,ATT,29
14063002,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,A,Taylor,YDS,182
14063003,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,A,Taylor,TD,0
14063004,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,A,Taylor,LONG,66
14063005,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,ATT,14
14063006,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,YDS,64
14063007,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,TD,1
14063008,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,LONG,18
14063009,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,K,Green,ATT,3
14063010,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,K,Green,YDS,19
14063011,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,K,Green,TD,0
14063012,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,K,Green,LONG,12
14063013,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,ATT,4
14063014,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,YDS,10
14063015,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,TD,0
14063016,10/18/2014,D-II,Ashland,Hillsdale,RUSHING,,Team,LONG,6
14063017,10/18/2014,D-II,Ashland,Hillsdale,PASSING,,Team,CP-ATT-INT,12-27-1
14063018,10/18/2014,D-II,Ashland,Hillsdale,PASSING,,Team,YDS,103
14063019,10/18/2014,D-II,Ashland,Hillsdale,PASSING,,Team,TD,0
14063020,10/18/2014,D-II,Ashland,Hillsdale,PASSING,,Team,LONG,28
14063021,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,REC,7
14063022,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,YDS,81
14063023,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,TD,0
14063024,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,LONG,28
14063025,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,K,Green,REC,1
14063026,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,K,Green,YDS,5
14063027,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,K,Green,TD,0
14063028,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,K,Green,LONG,5
14063029,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,REC,1
14063030,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,YDS,5
14063031,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,TD,0
14063032,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,,Team,LONG,5
14063033,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,A,Taylor,REC,1
14063034,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,A,Taylor,YDS,1
14063035,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,A,Taylor,TD,0
14063036,10/18/2014,D-II,Ashland,Hillsdale,RECEIVING,A,Taylor,LONG,1
14063037,10/18/2014,D-II,Ashland,Hillsdale,PUNTING,,Team,NO,6
14063038,10/18/2014,D-II,Ashland,Hillsdale,PUNTING,,Team,YDS,157
14063039,10/18/2014,D-II,Ashland,Hillsdale,PUNTING,,Team,AVG,26.2
14063040,10/18/2014,D-II,Ashland,Hillsdale,PUNTING,,Team,LONG,43
14063041,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,M,Taylor,NO,2
14063042,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,M,Taylor,YDS,17
14063043,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,M,Taylor,AVG,8.5
14063044,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,M,Taylor,LONG,17
14063045,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,K,Green,NO,1
14063046,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,K,Green,YDS,3
14063047,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,K,Green,AVG,3.0
14063048,10/18/2014,D-II,Ashland,Hillsdale,PUNT RETURNS,K,Green,LONG,3
14063049,10/18/2014,D-II,Ashland,Hillsdale,KICK RETURNS,,Team,NO,1
14063050,10/18/2014,D-II,Ashland,Hillsdale,KICK RETURNS,,Team,YDS,24
14063051,10/18/2014,D-II,Ashland,Hillsdale,KICK RETURNS,,Team,AVG,24.0
14063052,10/18/2014,D-II,Ashland,Hillsdale,KICK RETURNS,,Team,LONG,24
14063053,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Bennett,Lewis,ATT,10
14063054,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Bennett,Lewis,YDS,46
14063055,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Bennett,Lewis,TD,0
14063056,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Bennett,Lewis,LONG,8
14063057,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Jack,Wiseman,ATT,8
14063058,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Jack,Wiseman,YDS,40
14063059,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Jack,Wiseman,TD,1
14063060,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Jack,Wiseman,LONG,18
14063061,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Wade,Wood,ATT,10
14063062,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Wade,Wood,YDS,34
14063063,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Wade,Wood,TD,0
14063064,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Wade,Wood,LONG,8
14063065,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Brian,Newman,ATT,1
14063066,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Brian,Newman,YDS,0
14063067,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Brian,Newman,TD,0
14063068,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Brian,Newman,LONG,0
14063069,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Mark,Laprairie,ATT,4
14063070,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Mark,Laprairie,YDS,-20
14063071,10/18/2014,D-II,Hillsdale,Ashland,RUSHING,Mark,Laprairie,TD,0
