ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14089001,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Steven,Richmond,ATT,13
14089002,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Steven,Richmond,YDS,52
14089003,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Steven,Richmond,TD,1
14089004,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Steven,Richmond,LONG,22
14089005,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Hunter,Leppert,ATT,10
14089006,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Hunter,Leppert,YDS,31
14089007,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Hunter,Leppert,TD,0
14089008,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Hunter,Leppert,LONG,19
14089009,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Jeremy,Jackson,ATT,7
14089010,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Jeremy,Jackson,YDS,25
14089011,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Jeremy,Jackson,TD,0
14089012,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Jeremy,Jackson,LONG,9
14089013,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Brett,Courville,ATT,4
14089014,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Brett,Courville,YDS,17
14089015,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Brett,Courville,TD,1
14089016,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,Brett,Courville,LONG,12
14089017,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,,Team,ATT,3
14089018,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,,Team,YDS,-5
14089019,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,,Team,TD,0
14089020,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RUSHING,,Team,LONG,0
14089021,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Hunter,Leppert,CP-ATT-INT,20-37-1
14089022,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Hunter,Leppert,YDS,323
14089023,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Hunter,Leppert,TD,3
14089024,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Hunter,Leppert,LONG,74
14089025,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Trey,Taylor,CP-ATT-INT,1-1-0
14089026,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Trey,Taylor,YDS,34
14089027,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Trey,Taylor,TD,1
14089028,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,PASSING,Trey,Taylor,LONG,34
14089029,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Cody,Bordelon,REC,3
14089030,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Cody,Bordelon,YDS,103
14089031,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Cody,Bordelon,TD,1
14089032,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Cody,Bordelon,LONG,74
14089033,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,I,Washington,REC,6
14089034,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,I,Washington,YDS,82
14089035,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,I,Washington,TD,1
14089036,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,I,Washington,LONG,21
14089037,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Trey,Taylor,REC,3
14089038,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Trey,Taylor,YDS,71
14089039,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Trey,Taylor,TD,1
14089040,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Trey,Taylor,LONG,40
14089041,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Deadrien,Terry,REC,3
14089042,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Deadrien,Terry,YDS,65
14089043,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Deadrien,Terry,TD,1
14089044,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Deadrien,Terry,LONG,34
14089045,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jalen,Tolliver,REC,3
14089046,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jalen,Tolliver,YDS,31
14089047,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jalen,Tolliver,TD,0
14089048,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jalen,Tolliver,LONG,22
14089049,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jeremy,Jackson,REC,1
14089050,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jeremy,Jackson,YDS,3
14089051,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jeremy,Jackson,TD,0
14089052,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Jeremy,Jackson,LONG,3
14089053,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Steven,Richmond,REC,1
14089054,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Steven,Richmond,YDS,3
14089055,10/25/2014,D-II,Ark.-Monticello,Southern Nazarene,RECEIVING,Steven,Richmond,TD,0
