ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14368001,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Brandon,Monk,ATT,19
14368002,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Brandon,Monk,YDS,79
14368003,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Brandon,Monk,TD,1
14368004,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Brandon,Monk,LONG,20
14368005,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Eddie,Elliott,ATT,9
14368006,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Eddie,Elliott,YDS,44
14368007,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Eddie,Elliott,TD,0
14368008,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Eddie,Elliott,LONG,12
14368009,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Adam,Dempsey,ATT,1
14368010,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Adam,Dempsey,YDS,14
14368011,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Adam,Dempsey,TD,0
14368012,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Adam,Dempsey,LONG,14
14368013,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Andrew,Derr,ATT,1
14368014,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Andrew,Derr,YDS,10
14368015,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Andrew,Derr,TD,0
14368016,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Andrew,Derr,LONG,10
14368017,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,,Team,ATT,3
14368018,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,,Team,YDS,0
14368019,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,,Team,TD,0
14368020,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,,Team,LONG,2
14368021,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Sean,Mccartney,ATT,1
14368022,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Sean,Mccartney,YDS,-15
14368023,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Sean,Mccartney,TD,0
14368024,11/15/2014,D-II,West Chester,Indiana (Pa.),RUSHING,Sean,Mccartney,LONG,0
14368025,11/15/2014,D-II,West Chester,Indiana (Pa.),PASSING,Sean,Mccartney,CP-ATT-INT,17-26-0
14368026,11/15/2014,D-II,West Chester,Indiana (Pa.),PASSING,Sean,Mccartney,YDS,299
14368027,11/15/2014,D-II,West Chester,Indiana (Pa.),PASSING,Sean,Mccartney,TD,2
14368028,11/15/2014,D-II,West Chester,Indiana (Pa.),PASSING,Sean,Mccartney,LONG,44
14368029,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Erick,Brundidge,REC,3
14368030,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Erick,Brundidge,YDS,79
14368031,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Erick,Brundidge,TD,0
14368032,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Erick,Brundidge,LONG,44
14368033,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Tim,Brown,REC,3
14368034,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Tim,Brown,YDS,75
14368035,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Tim,Brown,TD,0
14368036,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Tim,Brown,LONG,38
14368037,11/15/2014,D-II,West Chester,Indiana (Pa.),RECEIVING,Mike,Doty,REC,4
