ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13559001,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Trevor,Officer,ATT,17
13559002,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Trevor,Officer,YDS,107
13559003,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Trevor,Officer,TD,1
13559004,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Trevor,Officer,LONG,21
13559005,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Lemar,Thomas,ATT,9
13559006,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Lemar,Thomas,YDS,89
13559007,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Lemar,Thomas,TD,1
13559008,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Lemar,Thomas,LONG,59
13559009,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Joey,Bradley,ATT,5
13559010,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Joey,Bradley,YDS,14
13559011,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Joey,Bradley,TD,1
13559012,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Joey,Bradley,LONG,11
13559013,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Andre,Anderson,ATT,3
13559014,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Andre,Anderson,YDS,7
13559015,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Andre,Anderson,TD,0
13559016,9/13/2014,D-II,New Haven,LIU Post,RUSHING,Andre,Anderson,LONG,7
13559017,9/13/2014,D-II,New Haven,LIU Post,PASSING,Joey,Bradley,CP-ATT-INT,16-32-1
13559018,9/13/2014,D-II,New Haven,LIU Post,PASSING,Joey,Bradley,YDS,192
13559019,9/13/2014,D-II,New Haven,LIU Post,PASSING,Joey,Bradley,TD,0
13559020,9/13/2014,D-II,New Haven,LIU Post,PASSING,Joey,Bradley,LONG,33
13559021,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Ty,Headen,REC,6
13559022,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Ty,Headen,YDS,73
13559023,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Ty,Headen,TD,0
13559024,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Ty,Headen,LONG,17
13559025,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Deejay,White,REC,4
13559026,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Deejay,White,YDS,56
13559027,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Deejay,White,TD,0
13559028,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Deejay,White,LONG,33
13559029,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Lemar,Thomas,REC,1
13559030,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Lemar,Thomas,YDS,24
13559031,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Lemar,Thomas,TD,0
13559032,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Lemar,Thomas,LONG,24
13559033,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Andre,Anderson,REC,1
13559034,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Andre,Anderson,YDS,12
13559035,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Andre,Anderson,TD,0
13559036,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Andre,Anderson,LONG,12
13559037,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Jonathan,Badyna,REC,2
13559038,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Jonathan,Badyna,YDS,12
13559039,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Jonathan,Badyna,TD,0
13559040,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Jonathan,Badyna,LONG,9
13559041,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Rishawn,Harris,REC,1
13559042,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Rishawn,Harris,YDS,9
13559043,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Rishawn,Harris,TD,0
13559044,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Rishawn,Harris,LONG,9
13559045,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Henry,Adegunle,REC,1
13559046,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Henry,Adegunle,YDS,6
13559047,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Henry,Adegunle,TD,0
13559048,9/13/2014,D-II,New Haven,LIU Post,RECEIVING,Henry,Adegunle,LONG,6
13559049,9/13/2014,D-II,New Haven,LIU Post,PUNTING,A,Greenfield,NO,3
13559050,9/13/2014,D-II,New Haven,LIU Post,PUNTING,A,Greenfield,YDS,100
13559051,9/13/2014,D-II,New Haven,LIU Post,PUNTING,A,Greenfield,AVG,33.3
13559052,9/13/2014,D-II,New Haven,LIU Post,PUNTING,A,Greenfield,LONG,34
13559053,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Jordan,Dunn,NO,1
13559054,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Jordan,Dunn,YDS,19
13559055,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Jordan,Dunn,AVG,19.0
13559056,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Jordan,Dunn,LONG,0
13559057,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Nigel,Davis,NO,0
13559058,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Nigel,Davis,YDS,10
13559059,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Nigel,Davis,AVG,-
13559060,9/13/2014,D-II,New Haven,LIU Post,PUNT RETURNS,Nigel,Davis,LONG,10
13559061,9/13/2014,D-II,New Haven,LIU Post,KICK RETURNS,Ty,Headen,NO,4
13559062,9/13/2014,D-II,New Haven,LIU Post,KICK RETURNS,Ty,Headen,YDS,84
13559063,9/13/2014,D-II,New Haven,LIU Post,KICK RETURNS,Ty,Headen,AVG,21.0
