ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13560001,9/13/2014,D-II,Walsh,Ashland,RUSHING,Justin,Keith,ATT,12
13560002,9/13/2014,D-II,Walsh,Ashland,RUSHING,Justin,Keith,YDS,49
13560003,9/13/2014,D-II,Walsh,Ashland,RUSHING,Justin,Keith,TD,0
13560004,9/13/2014,D-II,Walsh,Ashland,RUSHING,Justin,Keith,LONG,13
13560005,9/13/2014,D-II,Walsh,Ashland,RUSHING,Matt,Matuska,ATT,3
13560006,9/13/2014,D-II,Walsh,Ashland,RUSHING,Matt,Matuska,YDS,12
13560007,9/13/2014,D-II,Walsh,Ashland,RUSHING,Matt,Matuska,TD,0
13560008,9/13/2014,D-II,Walsh,Ashland,RUSHING,Matt,Matuska,LONG,17
13560009,9/13/2014,D-II,Walsh,Ashland,RUSHING,Aaron,Male,ATT,5
13560010,9/13/2014,D-II,Walsh,Ashland,RUSHING,Aaron,Male,YDS,8
13560011,9/13/2014,D-II,Walsh,Ashland,RUSHING,Aaron,Male,TD,1
13560012,9/13/2014,D-II,Walsh,Ashland,RUSHING,Aaron,Male,LONG,5
13560013,9/13/2014,D-II,Walsh,Ashland,RUSHING,Kalvin,Gordon,ATT,1
13560014,9/13/2014,D-II,Walsh,Ashland,RUSHING,Kalvin,Gordon,YDS,1
13560015,9/13/2014,D-II,Walsh,Ashland,RUSHING,Kalvin,Gordon,TD,0
13560016,9/13/2014,D-II,Walsh,Ashland,RUSHING,Kalvin,Gordon,LONG,1
13560017,9/13/2014,D-II,Walsh,Ashland,RUSHING,Brody,Tonn,ATT,6
13560018,9/13/2014,D-II,Walsh,Ashland,RUSHING,Brody,Tonn,YDS,0
13560019,9/13/2014,D-II,Walsh,Ashland,RUSHING,Brody,Tonn,TD,0
13560020,9/13/2014,D-II,Walsh,Ashland,RUSHING,Brody,Tonn,LONG,7
13560021,9/13/2014,D-II,Walsh,Ashland,PASSING,Brody,Tonn,CP-ATT-INT,22-39-2
13560022,9/13/2014,D-II,Walsh,Ashland,PASSING,Brody,Tonn,YDS,244
13560023,9/13/2014,D-II,Walsh,Ashland,PASSING,Brody,Tonn,TD,1
13560024,9/13/2014,D-II,Walsh,Ashland,PASSING,Brody,Tonn,LONG,36
13560025,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Justin,Keith,REC,6
13560026,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Justin,Keith,YDS,99
13560027,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Justin,Keith,TD,0
13560028,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Justin,Keith,LONG,36
13560029,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jerald,Robinson,REC,4
13560030,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jerald,Robinson,YDS,51
13560031,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jerald,Robinson,TD,1
13560032,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jerald,Robinson,LONG,20
13560033,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Anthony,Schrock,REC,4
13560034,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Anthony,Schrock,YDS,34
13560035,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Anthony,Schrock,TD,0
13560036,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Anthony,Schrock,LONG,13
13560037,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jeremy,Willison,REC,1
13560038,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jeremy,Willison,YDS,22
13560039,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jeremy,Willison,TD,0
13560040,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jeremy,Willison,LONG,22
13560041,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Aaron,Male,REC,4
13560042,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Aaron,Male,YDS,20
13560043,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Aaron,Male,TD,0
13560044,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Aaron,Male,LONG,9
13560045,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Darryl,Gary,REC,1
13560046,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Darryl,Gary,YDS,8
13560047,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Darryl,Gary,TD,0
13560048,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Darryl,Gary,LONG,8
13560049,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Matt,Matuska,REC,1
13560050,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Matt,Matuska,YDS,5
13560051,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Matt,Matuska,TD,0
13560052,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Matt,Matuska,LONG,5
13560053,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jay,Kundrat,REC,1
13560054,9/13/2014,D-II,Walsh,Ashland,RECEIVING,Jay,Kundrat,YDS,5
