ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13669001,9/20/2014,D-II,Lane,Paine,RUSHING,Terrance,Ayers,ATT,12
13669002,9/20/2014,D-II,Lane,Paine,RUSHING,Terrance,Ayers,YDS,35
13669003,9/20/2014,D-II,Lane,Paine,RUSHING,Terrance,Ayers,TD,0
13669004,9/20/2014,D-II,Lane,Paine,RUSHING,Terrance,Ayers,LONG,10
13669005,9/20/2014,D-II,Lane,Paine,RUSHING,Clarence,Marsha,ATT,9
13669006,9/20/2014,D-II,Lane,Paine,RUSHING,Clarence,Marsha,YDS,24
13669007,9/20/2014,D-II,Lane,Paine,RUSHING,Clarence,Marsha,TD,0
13669008,9/20/2014,D-II,Lane,Paine,RUSHING,Clarence,Marsha,LONG,7
13669009,9/20/2014,D-II,Lane,Paine,RUSHING,Gerald,Gaines,ATT,8
13669010,9/20/2014,D-II,Lane,Paine,RUSHING,Gerald,Gaines,YDS,17
13669011,9/20/2014,D-II,Lane,Paine,RUSHING,Gerald,Gaines,TD,0
13669012,9/20/2014,D-II,Lane,Paine,RUSHING,Gerald,Gaines,LONG,6
13669013,9/20/2014,D-II,Lane,Paine,RUSHING,Roderick,Mckee,ATT,3
13669014,9/20/2014,D-II,Lane,Paine,RUSHING,Roderick,Mckee,YDS,0
13669015,9/20/2014,D-II,Lane,Paine,RUSHING,Roderick,Mckee,TD,0
13669016,9/20/2014,D-II,Lane,Paine,RUSHING,Roderick,Mckee,LONG,4
13669017,9/20/2014,D-II,Lane,Paine,RUSHING,Aaron,Appleby,ATT,3
13669018,9/20/2014,D-II,Lane,Paine,RUSHING,Aaron,Appleby,YDS,-6
13669019,9/20/2014,D-II,Lane,Paine,RUSHING,Aaron,Appleby,TD,0
13669020,9/20/2014,D-II,Lane,Paine,RUSHING,Aaron,Appleby,LONG,2
13669021,9/20/2014,D-II,Lane,Paine,PASSING,Terrance,Ayers,CP-ATT-INT,14-30-2
13669022,9/20/2014,D-II,Lane,Paine,PASSING,Terrance,Ayers,YDS,104
13669023,9/20/2014,D-II,Lane,Paine,PASSING,Terrance,Ayers,TD,0
13669024,9/20/2014,D-II,Lane,Paine,PASSING,Terrance,Ayers,LONG,16
13669025,9/20/2014,D-II,Lane,Paine,PASSING,Roderick,Mckee,CP-ATT-INT,1-6-2
13669026,9/20/2014,D-II,Lane,Paine,PASSING,Roderick,Mckee,YDS,2
13669027,9/20/2014,D-II,Lane,Paine,PASSING,Roderick,Mckee,TD,0
13669028,9/20/2014,D-II,Lane,Paine,PASSING,Roderick,Mckee,LONG,2
13669029,9/20/2014,D-II,Lane,Paine,RECEIVING,Johnny,Ivey,REC,4
13669030,9/20/2014,D-II,Lane,Paine,RECEIVING,Johnny,Ivey,YDS,46
13669031,9/20/2014,D-II,Lane,Paine,RECEIVING,Johnny,Ivey,TD,0
13669032,9/20/2014,D-II,Lane,Paine,RECEIVING,Johnny,Ivey,LONG,16
13669033,9/20/2014,D-II,Lane,Paine,RECEIVING,Duke,Coleman,REC,6
13669034,9/20/2014,D-II,Lane,Paine,RECEIVING,Duke,Coleman,YDS,23
13669035,9/20/2014,D-II,Lane,Paine,RECEIVING,Duke,Coleman,TD,0
13669036,9/20/2014,D-II,Lane,Paine,RECEIVING,Duke,Coleman,LONG,8
13669037,9/20/2014,D-II,Lane,Paine,RECEIVING,Gerald,Gaines,REC,3
13669038,9/20/2014,D-II,Lane,Paine,RECEIVING,Gerald,Gaines,YDS,22
13669039,9/20/2014,D-II,Lane,Paine,RECEIVING,Gerald,Gaines,TD,0
