ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13799001,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Dj,Haney,ATT,21
13799002,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Dj,Haney,YDS,60
13799003,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Dj,Haney,TD,1
13799004,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Dj,Haney,LONG,19
13799005,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,M,Pendergrass,ATT,11
13799006,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,M,Pendergrass,YDS,15
13799007,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,M,Pendergrass,TD,0
13799008,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,M,Pendergrass,LONG,29
13799009,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Fernando,Smith,ATT,2
13799010,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Fernando,Smith,YDS,4
13799011,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Fernando,Smith,TD,0
13799012,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,RUSHING,Fernando,Smith,LONG,4
13799013,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,PASSING,M,Pendergrass,CP-ATT-INT,22-35-0
13799014,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,PASSING,M,Pendergrass,YDS,207
13799015,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,PASSING,M,Pendergrass,TD,0
13799016,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,PASSING,M,Pendergrass,LONG,68
13799017,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,PASSING,Kyle,Dickey,CP-ATT-INT,0-1-0
13799018,9/27/2014,D-II,Tusculum,Lenoir-Rhyne,PASSING,Kyle,Dickey,YDS,0
