ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
13792001,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kasper,Bernild,ATT,1
13792002,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kasper,Bernild,YDS,37
13792003,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kasper,Bernild,TD,0
13792004,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kasper,Bernild,LONG,37
13792005,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Tyler,Bolen,ATT,1
13792006,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Tyler,Bolen,YDS,6
13792007,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Tyler,Bolen,TD,0
13792008,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Tyler,Bolen,LONG,6
13792009,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,J,Musselman,ATT,5
13792010,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,J,Musselman,YDS,4
13792011,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,J,Musselman,TD,1
13792012,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,J,Musselman,LONG,10
13792013,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kory,Dyer,ATT,5
13792014,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kory,Dyer,YDS,3
13792015,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kory,Dyer,TD,0
13792016,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Kory,Dyer,LONG,6
13792017,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Jerel,English,ATT,2
13792018,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Jerel,English,YDS,3
13792019,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Jerel,English,TD,0
13792020,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Jerel,English,LONG,3
13792021,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Chris,Barrett,ATT,1
13792022,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Chris,Barrett,YDS,-1
13792023,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Chris,Barrett,TD,0
13792024,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Chris,Barrett,LONG,0
13792025,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Raymond,Myers,ATT,7
13792026,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Raymond,Myers,YDS,-1
13792027,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Raymond,Myers,TD,0
13792028,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,Raymond,Myers,LONG,6
13792029,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,M,Anderson,ATT,8
13792030,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,M,Anderson,YDS,-5
13792031,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,M,Anderson,TD,0
13792032,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RUSHING,M,Anderson,LONG,2
13792033,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,J,Musselman,CP-ATT-INT,12-25-3
13792034,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,J,Musselman,YDS,117
13792035,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,J,Musselman,TD,0
13792036,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,J,Musselman,LONG,31
13792037,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Chris,Barrett,CP-ATT-INT,1-3-0
13792038,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Chris,Barrett,YDS,15
13792039,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Chris,Barrett,TD,0
13792040,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Chris,Barrett,LONG,15
13792041,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Tyler,Bolen,CP-ATT-INT,0-4-0
13792042,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Tyler,Bolen,YDS,0
13792043,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Tyler,Bolen,TD,0
13792044,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PASSING,Tyler,Bolen,LONG,0
13792045,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Dylan,Davis,REC,4
13792046,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Dylan,Davis,YDS,80
13792047,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Dylan,Davis,TD,0
13792048,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Dylan,Davis,LONG,31
13792049,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Zach,Schademan,REC,4
13792050,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Zach,Schademan,YDS,33
13792051,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Zach,Schademan,TD,0
13792052,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Zach,Schademan,LONG,20
13792053,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Chase,Blackwell,REC,2
13792054,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Chase,Blackwell,YDS,12
13792055,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Chase,Blackwell,TD,0
13792056,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,Chase,Blackwell,LONG,7
13792057,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,M,Anderson,REC,3
13792058,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,M,Anderson,YDS,7
13792059,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,M,Anderson,TD,0
13792060,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,RECEIVING,M,Anderson,LONG,7
13792061,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Tyler,Bolen,NO,1
13792062,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Tyler,Bolen,YDS,19
13792063,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Tyler,Bolen,AVG,19.0
13792064,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Tyler,Bolen,LONG,19
13792065,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Kasper,Bernild,NO,6
13792066,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Kasper,Bernild,YDS,241
13792067,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Kasper,Bernild,AVG,40.2
13792068,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,PUNTING,Kasper,Bernild,LONG,42
13792069,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Denzel,Butler,NO,1
13792070,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Denzel,Butler,YDS,19
13792071,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Denzel,Butler,AVG,19.0
13792072,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Denzel,Butler,LONG,19
13792073,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Chase,Blackwell,NO,2
13792074,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Chase,Blackwell,YDS,42
13792075,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Chase,Blackwell,AVG,21.0
13792076,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Chase,Blackwell,LONG,26
13792077,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,,Team,NO,1
13792078,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,,Team,YDS,12
13792079,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,,Team,AVG,12.0
13792080,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,,Team,LONG,12
13792081,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Josh,Carpenter,NO,1
13792082,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Josh,Carpenter,YDS,24
13792083,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Josh,Carpenter,AVG,24.0
13792084,9/27/2014,D-II,W.Va. Wesleyan,Shepherd,KICK RETURNS,Josh,Carpenter,LONG,24
13792085,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Malik,Harleston,ATT,3
13792086,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Malik,Harleston,YDS,93
13792087,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Malik,Harleston,TD,1
13792088,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Malik,Harleston,LONG,69
13792089,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jabre,Lolley,ATT,14
13792090,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jabre,Lolley,YDS,64
13792091,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jabre,Lolley,TD,2
13792092,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jabre,Lolley,LONG,12
13792093,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Trenton,Cannon,ATT,7
13792094,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Trenton,Cannon,YDS,26
13792095,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Trenton,Cannon,TD,0
13792096,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Trenton,Cannon,LONG,7
13792097,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Allen,Cross,ATT,7
13792098,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Allen,Cross,YDS,20
13792099,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Allen,Cross,TD,1
13792100,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Allen,Cross,LONG,5
13792101,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Wm,Mckenzie,ATT,2
13792102,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Wm,Mckenzie,YDS,16
13792103,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Wm,Mckenzie,TD,0
13792104,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Wm,Mckenzie,LONG,12
13792105,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,,Team,ATT,3
13792106,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,,Team,YDS,-8
13792107,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,,Team,TD,0
13792108,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,,Team,LONG,0
13792109,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jeff,Ziemba,ATT,1
13792110,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jeff,Ziemba,YDS,-9
13792111,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jeff,Ziemba,TD,0
13792112,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RUSHING,Jeff,Ziemba,LONG,0
13792113,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Jeff,Ziemba,CP-ATT-INT,9-16-0
13792114,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Jeff,Ziemba,YDS,122
13792115,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Jeff,Ziemba,TD,1
13792116,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Jeff,Ziemba,LONG,38
13792117,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Caleb,Dembeck,CP-ATT-INT,2-3-0
13792118,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Caleb,Dembeck,YDS,14
13792119,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Caleb,Dembeck,TD,0
13792120,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PASSING,Caleb,Dembeck,LONG,10
13792121,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Wm,Mckenzie,REC,2
13792122,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Wm,Mckenzie,YDS,47
13792123,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Wm,Mckenzie,TD,0
13792124,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Wm,Mckenzie,LONG,29
13792125,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Dalton,Boyd,REC,2
13792126,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Dalton,Boyd,YDS,41
13792127,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Dalton,Boyd,TD,1
13792128,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Dalton,Boyd,LONG,38
13792129,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Tony,Squirewell,REC,2
13792130,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Tony,Squirewell,YDS,18
13792131,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Tony,Squirewell,TD,0
13792132,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Tony,Squirewell,LONG,11
13792133,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Jeremy,Bell,REC,1
13792134,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Jeremy,Bell,YDS,10
13792135,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Jeremy,Bell,TD,0
13792136,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Jeremy,Bell,LONG,10
13792137,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Kevin,Cook,REC,1
13792138,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Kevin,Cook,YDS,6
13792139,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Kevin,Cook,TD,0
13792140,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Kevin,Cook,LONG,6
13792141,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Allen,Cross,REC,1
13792142,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Allen,Cross,YDS,5
13792143,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Allen,Cross,TD,0
13792144,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Allen,Cross,LONG,5
13792145,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Billy,Brown,REC,1
13792146,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Billy,Brown,YDS,5
13792147,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Billy,Brown,TD,0
13792148,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Billy,Brown,LONG,5
13792149,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Trenton,Cannon,REC,1
13792150,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Trenton,Cannon,YDS,4
13792151,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Trenton,Cannon,TD,0
13792152,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,RECEIVING,Trenton,Cannon,LONG,4
13792153,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PUNTING,Ryan,Earls,NO,2
13792154,9/27/2014,D-II,Shepherd,W.Va. Wesleyan,PUNTING,Ryan,Earls,YDS,89
