ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15082001,10/24/2015,D-II,Lane,Miles,RUSHING,Courtney,Bush,ATT,13
15082002,10/24/2015,D-II,Lane,Miles,RUSHING,Courtney,Bush,YDS,92
15082003,10/24/2015,D-II,Lane,Miles,RUSHING,Courtney,Bush,TD,0
15082004,10/24/2015,D-II,Lane,Miles,RUSHING,Courtney,Bush,LONG,44
15082005,10/24/2015,D-II,Lane,Miles,RUSHING,Marcus,Reynolds,ATT,5
15082006,10/24/2015,D-II,Lane,Miles,RUSHING,Marcus,Reynolds,YDS,65
15082007,10/24/2015,D-II,Lane,Miles,RUSHING,Marcus,Reynolds,TD,1
15082008,10/24/2015,D-II,Lane,Miles,RUSHING,Marcus,Reynolds,LONG,58
15082009,10/24/2015,D-II,Lane,Miles,RUSHING,Darius,Mitchell,ATT,12
15082010,10/24/2015,D-II,Lane,Miles,RUSHING,Darius,Mitchell,YDS,55
15082011,10/24/2015,D-II,Lane,Miles,RUSHING,Darius,Mitchell,TD,0
15082012,10/24/2015,D-II,Lane,Miles,RUSHING,Darius,Mitchell,LONG,16
15082013,10/24/2015,D-II,Lane,Miles,RUSHING,Clarence,Marsha,ATT,6
15082014,10/24/2015,D-II,Lane,Miles,RUSHING,Clarence,Marsha,YDS,16
15082015,10/24/2015,D-II,Lane,Miles,RUSHING,Clarence,Marsha,TD,0
15082016,10/24/2015,D-II,Lane,Miles,RUSHING,Clarence,Marsha,LONG,11
15082017,10/24/2015,D-II,Lane,Miles,RUSHING,Rodney,Willingh,ATT,2
15082018,10/24/2015,D-II,Lane,Miles,RUSHING,Rodney,Willingh,YDS,10
15082019,10/24/2015,D-II,Lane,Miles,RUSHING,Rodney,Willingh,TD,0
15082020,10/24/2015,D-II,Lane,Miles,RUSHING,Rodney,Willingh,LONG,6
15082021,10/24/2015,D-II,Lane,Miles,RUSHING,,Team,ATT,1
15082022,10/24/2015,D-II,Lane,Miles,RUSHING,,Team,YDS,-1
15082023,10/24/2015,D-II,Lane,Miles,RUSHING,,Team,TD,0
15082024,10/24/2015,D-II,Lane,Miles,RUSHING,,Team,LONG,0
15082025,10/24/2015,D-II,Lane,Miles,PASSING,Marcus,Reynolds,CP-ATT-INT,11-22-2
15082026,10/24/2015,D-II,Lane,Miles,PASSING,Marcus,Reynolds,YDS,62
15082027,10/24/2015,D-II,Lane,Miles,PASSING,Marcus,Reynolds,TD,0
15082028,10/24/2015,D-II,Lane,Miles,PASSING,Marcus,Reynolds,LONG,24
15082029,10/24/2015,D-II,Lane,Miles,RECEIVING,Aaron,Thomas,REC,2
15082030,10/24/2015,D-II,Lane,Miles,RECEIVING,Aaron,Thomas,YDS,31
15082031,10/24/2015,D-II,Lane,Miles,RECEIVING,Aaron,Thomas,TD,0
15082032,10/24/2015,D-II,Lane,Miles,RECEIVING,Aaron,Thomas,LONG,24
15082033,10/24/2015,D-II,Lane,Miles,RECEIVING,Rodney,Willingh,REC,5
15082034,10/24/2015,D-II,Lane,Miles,RECEIVING,Rodney,Willingh,YDS,16
15082035,10/24/2015,D-II,Lane,Miles,RECEIVING,Rodney,Willingh,TD,0
15082036,10/24/2015,D-II,Lane,Miles,RECEIVING,Rodney,Willingh,LONG,8
15082037,10/24/2015,D-II,Lane,Miles,RECEIVING,Darius,Mitchell,REC,3
15082038,10/24/2015,D-II,Lane,Miles,RECEIVING,Darius,Mitchell,YDS,12
15082039,10/24/2015,D-II,Lane,Miles,RECEIVING,Darius,Mitchell,TD,0
15082040,10/24/2015,D-II,Lane,Miles,RECEIVING,Darius,Mitchell,LONG,15
15082041,10/24/2015,D-II,Lane,Miles,RECEIVING,Courtney,Bush,REC,1
15082042,10/24/2015,D-II,Lane,Miles,RECEIVING,Courtney,Bush,YDS,3
15082043,10/24/2015,D-II,Lane,Miles,RECEIVING,Courtney,Bush,TD,0
15082044,10/24/2015,D-II,Lane,Miles,RECEIVING,Courtney,Bush,LONG,3
15082045,10/24/2015,D-II,Lane,Miles,PUNTING,Carlas,mooreJr,NO,5
15082046,10/24/2015,D-II,Lane,Miles,PUNTING,Carlas,mooreJr,YDS,175
15082047,10/24/2015,D-II,Lane,Miles,PUNTING,Carlas,mooreJr,AVG,35.0
15082048,10/24/2015,D-II,Lane,Miles,PUNTING,Carlas,mooreJr,LONG,44
15082049,10/24/2015,D-II,Lane,Miles,PUNT RETURNS,Rodney,Willingh,NO,1
15082050,10/24/2015,D-II,Lane,Miles,PUNT RETURNS,Rodney,Willingh,YDS,0
15082051,10/24/2015,D-II,Lane,Miles,PUNT RETURNS,Rodney,Willingh,AVG,0.0
15082052,10/24/2015,D-II,Lane,Miles,PUNT RETURNS,Rodney,Willingh,LONG,0
15082053,10/24/2015,D-II,Lane,Miles,KICK RETURNS,Darius,Mitchell,NO,3
15082054,10/24/2015,D-II,Lane,Miles,KICK RETURNS,Darius,Mitchell,YDS,56
15082055,10/24/2015,D-II,Lane,Miles,KICK RETURNS,Darius,Mitchell,AVG,18.7
15082056,10/24/2015,D-II,Lane,Miles,KICK RETURNS,Darius,Mitchell,LONG,21
15082057,10/24/2015,D-II,Miles,Lane,RUSHING,Jamarcus,Nance,ATT,18
15082058,10/24/2015,D-II,Miles,Lane,RUSHING,Jamarcus,Nance,YDS,129
15082059,10/24/2015,D-II,Miles,Lane,RUSHING,Jamarcus,Nance,TD,2
15082060,10/24/2015,D-II,Miles,Lane,RUSHING,Jamarcus,Nance,LONG,23
15082061,10/24/2015,D-II,Miles,Lane,RUSHING,David,Whipple,ATT,16
15082062,10/24/2015,D-II,Miles,Lane,RUSHING,David,Whipple,YDS,101
15082063,10/24/2015,D-II,Miles,Lane,RUSHING,David,Whipple,TD,0
15082064,10/24/2015,D-II,Miles,Lane,RUSHING,David,Whipple,LONG,30
15082065,10/24/2015,D-II,Miles,Lane,RUSHING,Jonathan,Clark,ATT,7
15082066,10/24/2015,D-II,Miles,Lane,RUSHING,Jonathan,Clark,YDS,69
15082067,10/24/2015,D-II,Miles,Lane,RUSHING,Jonathan,Clark,TD,0
15082068,10/24/2015,D-II,Miles,Lane,RUSHING,Jonathan,Clark,LONG,35
15082069,10/24/2015,D-II,Miles,Lane,RUSHING,Ger'ke,Jackson,ATT,4
15082070,10/24/2015,D-II,Miles,Lane,RUSHING,Ger'ke,Jackson,YDS,25
15082071,10/24/2015,D-II,Miles,Lane,RUSHING,Ger'ke,Jackson,TD,0
15082072,10/24/2015,D-II,Miles,Lane,RUSHING,Ger'ke,Jackson,LONG,13
15082073,10/24/2015,D-II,Miles,Lane,RUSHING,Christian,Mays,ATT,3
15082074,10/24/2015,D-II,Miles,Lane,RUSHING,Christian,Mays,YDS,5
15082075,10/24/2015,D-II,Miles,Lane,RUSHING,Christian,Mays,TD,0
15082076,10/24/2015,D-II,Miles,Lane,RUSHING,Christian,Mays,LONG,13
15082077,10/24/2015,D-II,Miles,Lane,RUSHING,Earnest,Bell,ATT,0
15082078,10/24/2015,D-II,Miles,Lane,RUSHING,Earnest,Bell,YDS,0
15082079,10/24/2015,D-II,Miles,Lane,RUSHING,Earnest,Bell,TD,1
15082080,10/24/2015,D-II,Miles,Lane,RUSHING,Earnest,Bell,LONG,0
15082081,10/24/2015,D-II,Miles,Lane,RUSHING,,Team,ATT,1
15082082,10/24/2015,D-II,Miles,Lane,RUSHING,,Team,YDS,-2
15082083,10/24/2015,D-II,Miles,Lane,RUSHING,,Team,TD,0
15082084,10/24/2015,D-II,Miles,Lane,RUSHING,,Team,LONG,0
15082085,10/24/2015,D-II,Miles,Lane,RUSHING,Devan,Williams,ATT,1
15082086,10/24/2015,D-II,Miles,Lane,RUSHING,Devan,Williams,YDS,-22
15082087,10/24/2015,D-II,Miles,Lane,RUSHING,Devan,Williams,TD,0
15082088,10/24/2015,D-II,Miles,Lane,RUSHING,Devan,Williams,LONG,0
15082089,10/24/2015,D-II,Miles,Lane,PASSING,David,Whipple,CP-ATT-INT,13-16-0
15082090,10/24/2015,D-II,Miles,Lane,PASSING,David,Whipple,YDS,141
15082091,10/24/2015,D-II,Miles,Lane,PASSING,David,Whipple,TD,0
15082092,10/24/2015,D-II,Miles,Lane,PASSING,David,Whipple,LONG,24
15082093,10/24/2015,D-II,Miles,Lane,RECEIVING,Devan,Williams,REC,3
15082094,10/24/2015,D-II,Miles,Lane,RECEIVING,Devan,Williams,YDS,41
15082095,10/24/2015,D-II,Miles,Lane,RECEIVING,Devan,Williams,TD,0
15082096,10/24/2015,D-II,Miles,Lane,RECEIVING,Devan,Williams,LONG,24
15082097,10/24/2015,D-II,Miles,Lane,RECEIVING,George,Landrum,REC,2
15082098,10/24/2015,D-II,Miles,Lane,RECEIVING,George,Landrum,YDS,23
15082099,10/24/2015,D-II,Miles,Lane,RECEIVING,George,Landrum,TD,0
15082100,10/24/2015,D-II,Miles,Lane,RECEIVING,George,Landrum,LONG,14
15082101,10/24/2015,D-II,Miles,Lane,RECEIVING,Darrel,Williams,REC,2
15082102,10/24/2015,D-II,Miles,Lane,RECEIVING,Darrel,Williams,YDS,20
15082103,10/24/2015,D-II,Miles,Lane,RECEIVING,Darrel,Williams,TD,0
15082104,10/24/2015,D-II,Miles,Lane,RECEIVING,Darrel,Williams,LONG,13
15082105,10/24/2015,D-II,Miles,Lane,RECEIVING,Earnest,Bell,REC,2
15082106,10/24/2015,D-II,Miles,Lane,RECEIVING,Earnest,Bell,YDS,16
15082107,10/24/2015,D-II,Miles,Lane,RECEIVING,Earnest,Bell,TD,0
15082108,10/24/2015,D-II,Miles,Lane,RECEIVING,Earnest,Bell,LONG,14
