ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14870001,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Isaac,Robinson,ATT,39
14870002,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Isaac,Robinson,YDS,250
14870003,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Isaac,Robinson,TD,2
14870004,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Isaac,Robinson,LONG,27
14870005,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Josh,Jackson,ATT,13
14870006,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Josh,Jackson,YDS,54
14870007,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Josh,Jackson,TD,1
14870008,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Josh,Jackson,LONG,12
14870009,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Luke,Lancaster,ATT,2
14870010,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Luke,Lancaster,YDS,7
14870011,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Luke,Lancaster,TD,0
14870012,10/3/2015,D-II,Tusculum,Brevard,RUSHING,Luke,Lancaster,LONG,5
14870013,10/3/2015,D-II,Tusculum,Brevard,RUSHING,,Team,ATT,1
14870014,10/3/2015,D-II,Tusculum,Brevard,RUSHING,,Team,YDS,-6
14870015,10/3/2015,D-II,Tusculum,Brevard,RUSHING,,Team,TD,0
14870016,10/3/2015,D-II,Tusculum,Brevard,RUSHING,,Team,LONG,0
14870017,10/3/2015,D-II,Tusculum,Brevard,PASSING,Luke,Lancaster,CP-ATT-INT,2-10-0
14870018,10/3/2015,D-II,Tusculum,Brevard,PASSING,Luke,Lancaster,YDS,20
14870019,10/3/2015,D-II,Tusculum,Brevard,PASSING,Luke,Lancaster,TD,0
14870020,10/3/2015,D-II,Tusculum,Brevard,PASSING,Luke,Lancaster,LONG,13
14870021,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Rodnell,Cruell,REC,1
14870022,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Rodnell,Cruell,YDS,13
14870023,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Rodnell,Cruell,TD,0
14870024,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Rodnell,Cruell,LONG,13
14870025,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Justin,Houston,REC,1
14870026,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Justin,Houston,YDS,7
14870027,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Justin,Houston,TD,0
14870028,10/3/2015,D-II,Tusculum,Brevard,RECEIVING,Justin,Houston,LONG,4
14870029,10/3/2015,D-II,Tusculum,Brevard,PUNTING,Hunter,Cantrell,NO,4
14870030,10/3/2015,D-II,Tusculum,Brevard,PUNTING,Hunter,Cantrell,YDS,191
14870031,10/3/2015,D-II,Tusculum,Brevard,PUNTING,Hunter,Cantrell,AVG,47.8
14870032,10/3/2015,D-II,Tusculum,Brevard,PUNTING,Hunter,Cantrell,LONG,58
14870033,10/3/2015,D-II,Tusculum,Brevard,PUNT RETURNS,Evan,Altizer,NO,4
14870034,10/3/2015,D-II,Tusculum,Brevard,PUNT RETURNS,Evan,Altizer,YDS,17
14870035,10/3/2015,D-II,Tusculum,Brevard,PUNT RETURNS,Evan,Altizer,AVG,4.2
14870036,10/3/2015,D-II,Tusculum,Brevard,PUNT RETURNS,Evan,Altizer,LONG,7
14870037,10/3/2015,D-II,Tusculum,Brevard,PUNT RETURNS,Akeem,Peoples,NO,1
