ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15218001,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Adriell,Mayes,ATT,9
15218002,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Adriell,Mayes,YDS,20
15218003,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Adriell,Mayes,TD,0
15218004,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Adriell,Mayes,LONG,7
15218005,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Nick,Davis,ATT,9
15218006,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Nick,Davis,YDS,9
15218007,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Nick,Davis,TD,0
15218008,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Nick,Davis,LONG,5
15218009,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Derrick,Villard,ATT,4
15218010,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Derrick,Villard,YDS,7
15218011,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Derrick,Villard,TD,0
15218012,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Derrick,Villard,LONG,6
15218013,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Juwan,Hall,ATT,2
15218014,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Juwan,Hall,YDS,2
15218015,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Juwan,Hall,TD,0
15218016,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,Juwan,Hall,LONG,1
15218017,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,,Team,ATT,2
15218018,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,,Team,YDS,-1
15218019,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,,Team,TD,0
15218020,10/31/2015,D-II,Merrimack,American Int'l,RUSHING,,Team,LONG,0
15218021,10/31/2015,D-II,Merrimack,American Int'l,PASSING,Nick,Davis,CP-ATT-INT,23-44-2
15218022,10/31/2015,D-II,Merrimack,American Int'l,PASSING,Nick,Davis,YDS,249
15218023,10/31/2015,D-II,Merrimack,American Int'l,PASSING,Nick,Davis,TD,2
15218024,10/31/2015,D-II,Merrimack,American Int'l,PASSING,Nick,Davis,LONG,28
15218025,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jere,Brown,REC,10
15218026,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jere,Brown,YDS,120
15218027,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jere,Brown,TD,1
15218028,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jere,Brown,LONG,28
15218029,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Devin,O'reilly,REC,5
15218030,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Devin,O'reilly,YDS,50
15218031,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Devin,O'reilly,TD,0
15218032,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Devin,O'reilly,LONG,16
15218033,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Marquis,Spence,REC,6
15218034,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Marquis,Spence,YDS,49
15218035,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Marquis,Spence,TD,1
15218036,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Marquis,Spence,LONG,28
15218037,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jack,Harris,REC,1
15218038,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jack,Harris,YDS,20
15218039,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jack,Harris,TD,0
15218040,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Jack,Harris,LONG,20
15218041,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Juwan,Hall,REC,1
15218042,10/31/2015,D-II,Merrimack,American Int'l,RECEIVING,Juwan,Hall,YDS,10
