ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15336001,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,John,Williams,ATT,15
15336002,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,John,Williams,YDS,140
15336003,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,John,Williams,TD,2
15336004,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,John,Williams,LONG,27
15336005,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Kevin,Miller,ATT,11
15336006,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Kevin,Miller,YDS,100
15336007,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Kevin,Miller,TD,1
15336008,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Kevin,Miller,LONG,38
15336009,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Brandon,Cowie,ATT,9
15336010,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Brandon,Cowie,YDS,71
15336011,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Brandon,Cowie,TD,2
15336012,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Brandon,Cowie,LONG,27
15336013,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,James,Henderson,ATT,7
15336014,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,James,Henderson,YDS,55
15336015,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,James,Henderson,TD,0
15336016,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,James,Henderson,LONG,31
15336017,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Alex,Sherbinow,ATT,2
15336018,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Alex,Sherbinow,YDS,40
15336019,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Alex,Sherbinow,TD,1
15336020,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Alex,Sherbinow,LONG,37
15336021,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Eric,Kostreva,ATT,4
15336022,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Eric,Kostreva,YDS,19
15336023,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Eric,Kostreva,TD,0
15336024,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Eric,Kostreva,LONG,7
15336025,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Jake,Brown,ATT,1
15336026,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Jake,Brown,YDS,6
15336027,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Jake,Brown,TD,0
15336028,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Jake,Brown,LONG,6
15336029,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Tanner,Keyzers,ATT,2
15336030,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Tanner,Keyzers,YDS,6
15336031,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Tanner,Keyzers,TD,0
15336032,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Tanner,Keyzers,LONG,4
15336033,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Isaiah,Hackney,ATT,1
15336034,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Isaiah,Hackney,YDS,1
15336035,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Isaiah,Hackney,TD,0
15336036,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,Isaiah,Hackney,LONG,1
15336037,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,,Team,ATT,1
15336038,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,,Team,YDS,-1
15336039,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,,Team,TD,0
15336040,11/14/2015,D-II,Michigan Tech,Lake Erie,RUSHING,,Team,LONG,0
15336041,11/14/2015,D-II,Michigan Tech,Lake Erie,PASSING,Brandon,Cowie,CP-ATT-INT,13-17-1
15336042,11/14/2015,D-II,Michigan Tech,Lake Erie,PASSING,Brandon,Cowie,YDS,164
15336043,11/14/2015,D-II,Michigan Tech,Lake Erie,PASSING,Brandon,Cowie,TD,1
15336044,11/14/2015,D-II,Michigan Tech,Lake Erie,PASSING,Brandon,Cowie,LONG,25
