ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15232001,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rontonio,Stanle,ATT,19
15232002,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rontonio,Stanle,YDS,98
15232003,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rontonio,Stanle,TD,0
15232004,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rontonio,Stanle,LONG,19
15232005,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Patrick,O'brien,ATT,6
15232006,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Patrick,O'brien,YDS,14
15232007,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Patrick,O'brien,TD,2
15232008,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Patrick,O'brien,LONG,12
15232009,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rick,Mack,ATT,2
15232010,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rick,Mack,YDS,4
15232011,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rick,Mack,TD,0
15232012,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Rick,Mack,LONG,2
15232013,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Jojo,Spann,ATT,1
15232014,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Jojo,Spann,YDS,-1
15232015,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Jojo,Spann,TD,0
15232016,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Jojo,Spann,LONG,0
15232017,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Darius,Williams,ATT,1
15232018,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Darius,Williams,YDS,-25
15232019,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Darius,Williams,TD,0
15232020,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RUSHING,Darius,Williams,LONG,0
15232021,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PASSING,Patrick,O'brien,CP-ATT-INT,23-38-0
15232022,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PASSING,Patrick,O'brien,YDS,317
15232023,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PASSING,Patrick,O'brien,TD,2
15232024,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PASSING,Patrick,O'brien,LONG,63
15232025,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Bj,Bunn,REC,8
15232026,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Bj,Bunn,YDS,133
15232027,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Bj,Bunn,TD,1
15232028,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Bj,Bunn,LONG,63
15232029,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rick,Mack,REC,5
15232030,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rick,Mack,YDS,86
15232031,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rick,Mack,TD,0
15232032,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rick,Mack,LONG,47
15232033,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,John,Rich,REC,1
15232034,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,John,Rich,YDS,29
15232035,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,John,Rich,TD,1
15232036,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,John,Rich,LONG,29
15232037,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Zelius,Morrow,REC,4
15232038,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Zelius,Morrow,YDS,26
15232039,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Zelius,Morrow,TD,0
15232040,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Zelius,Morrow,LONG,11
15232041,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rontonio,Stanle,REC,3
15232042,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rontonio,Stanle,YDS,24
15232043,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rontonio,Stanle,TD,0
15232044,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Rontonio,Stanle,LONG,19
15232045,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Jojo,Spann,REC,1
15232046,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Jojo,Spann,YDS,10
15232047,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Jojo,Spann,TD,0
15232048,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Jojo,Spann,LONG,10
15232049,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Cliff,Jones,REC,1
15232050,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Cliff,Jones,YDS,9
15232051,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Cliff,Jones,TD,0
15232052,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,RECEIVING,Cliff,Jones,LONG,9
15232053,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PUNTING,Darius,Williams,NO,3
15232054,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PUNTING,Darius,Williams,YDS,108
15232055,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PUNTING,Darius,Williams,AVG,36.0
15232056,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,PUNTING,Darius,Williams,LONG,43
15232057,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Jojo,Spann,NO,3
15232058,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Jojo,Spann,YDS,32
15232059,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Jojo,Spann,AVG,10.7
15232060,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Jojo,Spann,LONG,16
15232061,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Terron,Huffman,NO,3
15232062,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Terron,Huffman,YDS,95
15232063,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Terron,Huffman,AVG,31.7
15232064,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Terron,Huffman,LONG,70
15232065,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Rontonio,Stanle,NO,2
15232066,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Rontonio,Stanle,YDS,67
15232067,11/7/2015,D-II,UNC Pembroke,Kentucky Wesleyan,KICK RETURNS,Rontonio,Stanle,AVG,33.5
