ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14666001,9/19/2015,D-II,Stillman,Albany State,RUSHING,Rovonta,Johnson,ATT,14
14666002,9/19/2015,D-II,Stillman,Albany State,RUSHING,Rovonta,Johnson,YDS,74
14666003,9/19/2015,D-II,Stillman,Albany State,RUSHING,Rovonta,Johnson,TD,0
14666004,9/19/2015,D-II,Stillman,Albany State,RUSHING,Rovonta,Johnson,LONG,22
14666005,9/19/2015,D-II,Stillman,Albany State,RUSHING,Brett,Standifer,ATT,2
14666006,9/19/2015,D-II,Stillman,Albany State,RUSHING,Brett,Standifer,YDS,14
14666007,9/19/2015,D-II,Stillman,Albany State,RUSHING,Brett,Standifer,TD,0
14666008,9/19/2015,D-II,Stillman,Albany State,RUSHING,Brett,Standifer,LONG,9
14666009,9/19/2015,D-II,Stillman,Albany State,RUSHING,Li'jon,Cordier,ATT,3
14666010,9/19/2015,D-II,Stillman,Albany State,RUSHING,Li'jon,Cordier,YDS,14
14666011,9/19/2015,D-II,Stillman,Albany State,RUSHING,Li'jon,Cordier,TD,0
14666012,9/19/2015,D-II,Stillman,Albany State,RUSHING,Li'jon,Cordier,LONG,11
14666013,9/19/2015,D-II,Stillman,Albany State,RUSHING,Alex,Frederick,ATT,5
14666014,9/19/2015,D-II,Stillman,Albany State,RUSHING,Alex,Frederick,YDS,14
14666015,9/19/2015,D-II,Stillman,Albany State,RUSHING,Alex,Frederick,TD,0
14666016,9/19/2015,D-II,Stillman,Albany State,RUSHING,Alex,Frederick,LONG,14
14666017,9/19/2015,D-II,Stillman,Albany State,RUSHING,Marcus,Mcafee,ATT,1
14666018,9/19/2015,D-II,Stillman,Albany State,RUSHING,Marcus,Mcafee,YDS,3
14666019,9/19/2015,D-II,Stillman,Albany State,RUSHING,Marcus,Mcafee,TD,0
14666020,9/19/2015,D-II,Stillman,Albany State,RUSHING,Marcus,Mcafee,LONG,3
14666021,9/19/2015,D-II,Stillman,Albany State,RUSHING,Lenwood,Joyner,ATT,1
14666022,9/19/2015,D-II,Stillman,Albany State,RUSHING,Lenwood,Joyner,YDS,1
14666023,9/19/2015,D-II,Stillman,Albany State,RUSHING,Lenwood,Joyner,TD,0
14666024,9/19/2015,D-II,Stillman,Albany State,RUSHING,Lenwood,Joyner,LONG,1
14666025,9/19/2015,D-II,Stillman,Albany State,RUSHING,Kieon,Smith,ATT,2
14666026,9/19/2015,D-II,Stillman,Albany State,RUSHING,Kieon,Smith,YDS,1
14666027,9/19/2015,D-II,Stillman,Albany State,RUSHING,Kieon,Smith,TD,0
14666028,9/19/2015,D-II,Stillman,Albany State,RUSHING,Kieon,Smith,LONG,4
14666029,9/19/2015,D-II,Stillman,Albany State,RUSHING,Da'vante,Clark,ATT,3
14666030,9/19/2015,D-II,Stillman,Albany State,RUSHING,Da'vante,Clark,YDS,-6
14666031,9/19/2015,D-II,Stillman,Albany State,RUSHING,Da'vante,Clark,TD,0
14666032,9/19/2015,D-II,Stillman,Albany State,RUSHING,Da'vante,Clark,LONG,2
14666033,9/19/2015,D-II,Stillman,Albany State,PASSING,Alex,Frederick,CP-ATT-INT,4-9-1
14666034,9/19/2015,D-II,Stillman,Albany State,PASSING,Alex,Frederick,YDS,67
14666035,9/19/2015,D-II,Stillman,Albany State,PASSING,Alex,Frederick,TD,1
14666036,9/19/2015,D-II,Stillman,Albany State,PASSING,Alex,Frederick,LONG,28
14666037,9/19/2015,D-II,Stillman,Albany State,PASSING,Brett,Standifer,CP-ATT-INT,4-11-1
14666038,9/19/2015,D-II,Stillman,Albany State,PASSING,Brett,Standifer,YDS,29
14666039,9/19/2015,D-II,Stillman,Albany State,PASSING,Brett,Standifer,TD,0
14666040,9/19/2015,D-II,Stillman,Albany State,PASSING,Brett,Standifer,LONG,13
14666041,9/19/2015,D-II,Stillman,Albany State,PASSING,Li'jon,Cordier,CP-ATT-INT,1-4-0
14666042,9/19/2015,D-II,Stillman,Albany State,PASSING,Li'jon,Cordier,YDS,6
14666043,9/19/2015,D-II,Stillman,Albany State,PASSING,Li'jon,Cordier,TD,0
14666044,9/19/2015,D-II,Stillman,Albany State,PASSING,Li'jon,Cordier,LONG,6
14666045,9/19/2015,D-II,Stillman,Albany State,PASSING,Kieon,Smith,CP-ATT-INT,0-0-0
14666046,9/19/2015,D-II,Stillman,Albany State,PASSING,Kieon,Smith,YDS,0
14666047,9/19/2015,D-II,Stillman,Albany State,PASSING,Kieon,Smith,TD,0
