ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14710001,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Malik,Grove,ATT,13
14710002,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Malik,Grove,YDS,103
14710003,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Malik,Grove,TD,1
14710004,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Malik,Grove,LONG,28
14710005,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Dj,Greene,ATT,16
14710006,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Dj,Greene,YDS,41
14710007,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Dj,Greene,TD,1
14710008,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Dj,Greene,LONG,8
14710009,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Brian,Walker,ATT,8
14710010,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Brian,Walker,YDS,34
14710011,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Brian,Walker,TD,0
14710012,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RUSHING,Brian,Walker,LONG,14
14710013,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,PASSING,Malik,Grove,CP-ATT-INT,34-54-0
14710014,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,PASSING,Malik,Grove,YDS,208
14710015,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,PASSING,Malik,Grove,TD,0
14710016,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,PASSING,Malik,Grove,LONG,36
14710017,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Emmanuel,Smith,REC,10
14710018,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Emmanuel,Smith,YDS,65
14710019,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Emmanuel,Smith,TD,0
14710020,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Emmanuel,Smith,LONG,17
14710021,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Mitchell,Shegos,REC,13
14710022,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Mitchell,Shegos,YDS,52
14710023,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Mitchell,Shegos,TD,0
14710024,9/26/2015,D-II,Notre Dame (Ohio),Shepherd,RECEIVING,Mitchell,Shegos,LONG,8
