ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14760001,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tremane,McCullough,ATT,18
14760002,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tremane,McCullough,YDS,166
14760003,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tremane,McCullough,TD,0
14760004,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tremane,McCullough,LONG,53
14760005,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Brendan,Stewart,ATT,8
14760006,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Brendan,Stewart,YDS,40
14760007,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Brendan,Stewart,TD,2
14760008,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Brendan,Stewart,LONG,8
14760009,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Dante,Vandeven,ATT,6
14760010,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Dante,Vandeven,YDS,28
14760011,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Dante,Vandeven,TD,1
14760012,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Dante,Vandeven,LONG,12
14760013,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Adrian,Davis,ATT,1
14760014,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Adrian,Davis,YDS,17
14760015,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Adrian,Davis,TD,0
14760016,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Adrian,Davis,LONG,17
14760017,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tay,Bender,ATT,3
14760018,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tay,Bender,YDS,11
14760019,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tay,Bender,TD,0
14760020,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Tay,Bender,LONG,6
14760021,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Lewis,Washington,ATT,2
14760022,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Lewis,Washington,YDS,4
14760023,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Lewis,Washington,TD,0
14760024,9/26/2015,D-II,Southeast Mo. St.,Shorter,RUSHING,Lewis,Washington,LONG,5
14760025,9/26/2015,D-II,Southeast Mo. St.,Shorter,PASSING,Dante,Vandeven,CP-ATT-INT,13-17-1
14760026,9/26/2015,D-II,Southeast Mo. St.,Shorter,PASSING,Dante,Vandeven,YDS,104
14760027,9/26/2015,D-II,Southeast Mo. St.,Shorter,PASSING,Dante,Vandeven,TD,0
14760028,9/26/2015,D-II,Southeast Mo. St.,Shorter,PASSING,Dante,Vandeven,LONG,20
14760029,9/26/2015,D-II,Southeast Mo. St.,Shorter,RECEIVING,Adrian,Davis,REC,3
14760030,9/26/2015,D-II,Southeast Mo. St.,Shorter,RECEIVING,Adrian,Davis,YDS,34
14760031,9/26/2015,D-II,Southeast Mo. St.,Shorter,RECEIVING,Adrian,Davis,TD,0
