ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
14519001,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ricardo,McCray,ATT,10
14519002,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ricardo,McCray,YDS,112
14519003,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ricardo,McCray,TD,0
14519004,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ricardo,McCray,LONG,42
14519005,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Paul,Canevari,ATT,7
14519006,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Paul,Canevari,YDS,22
14519007,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Paul,Canevari,TD,1
14519008,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Paul,Canevari,LONG,9
14519009,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Marquise,Watson,ATT,1
14519010,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Marquise,Watson,YDS,17
14519011,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Marquise,Watson,TD,0
14519012,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Marquise,Watson,LONG,17
14519013,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ryan,Black,ATT,5
14519014,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ryan,Black,YDS,15
14519015,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ryan,Black,TD,0
14519016,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Ryan,Black,LONG,8
14519017,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Joe,Fine,ATT,3
14519018,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Joe,Fine,YDS,7
14519019,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Joe,Fine,TD,0
14519020,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Joe,Fine,LONG,5
14519021,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Danny,Epstein,ATT,4
14519022,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Danny,Epstein,YDS,4
14519023,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Danny,Epstein,TD,0
14519024,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Danny,Epstein,LONG,2
14519025,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Torrey,Dixon,ATT,1
14519026,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Torrey,Dixon,YDS,1
14519027,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Torrey,Dixon,TD,0
14519028,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Torrey,Dixon,LONG,4
14519029,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Brenden,Femiano,ATT,2
14519030,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Brenden,Femiano,YDS,0
14519031,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Brenden,Femiano,TD,0
14519032,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Brenden,Femiano,LONG,0
14519033,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Dalton,Easton,ATT,3
14519034,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Dalton,Easton,YDS,-5
14519035,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Dalton,Easton,TD,0
14519036,9/5/2015,D-II,Bryant,American Int'l,RUSHING,Dalton,Easton,LONG,4
14519037,9/5/2015,D-II,Bryant,American Int'l,PASSING,Dalton,Easton,CP-ATT-INT,12-20-0
14519038,9/5/2015,D-II,Bryant,American Int'l,PASSING,Dalton,Easton,YDS,122
14519039,9/5/2015,D-II,Bryant,American Int'l,PASSING,Dalton,Easton,TD,2
14519040,9/5/2015,D-II,Bryant,American Int'l,PASSING,Dalton,Easton,LONG,0
14519041,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,John,Lavin,REC,2
14519042,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,John,Lavin,YDS,44
14519043,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,John,Lavin,TD,1
14519044,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,John,Lavin,LONG,33
14519045,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ryan,Barrett,REC,1
14519046,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ryan,Barrett,YDS,19
14519047,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ryan,Barrett,TD,1
14519048,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ryan,Barrett,LONG,19
14519049,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Hunter,Taute,REC,2
14519050,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Hunter,Taute,YDS,14
14519051,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Hunter,Taute,TD,0
14519052,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Hunter,Taute,LONG,8
14519053,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Aaron,Aryee,REC,1
14519054,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Aaron,Aryee,YDS,10
14519055,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Aaron,Aryee,TD,0
14519056,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Aaron,Aryee,LONG,10
14519057,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Chad,Ward,REC,1
14519058,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Chad,Ward,YDS,9
14519059,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Chad,Ward,TD,0
14519060,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Chad,Ward,LONG,9
14519061,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Paul,Canevari,REC,1
14519062,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Paul,Canevari,YDS,8
14519063,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Paul,Canevari,TD,0
14519064,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Paul,Canevari,LONG,8
14519065,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Jose,Depadua,REC,1
14519066,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Jose,Depadua,YDS,6
14519067,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Jose,Depadua,TD,0
14519068,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Jose,Depadua,LONG,6
14519069,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Joe,Fine,REC,1
14519070,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Joe,Fine,YDS,4
14519071,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Joe,Fine,TD,0
14519072,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Joe,Fine,LONG,4
14519073,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ricardo,McCray,REC,1
14519074,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ricardo,McCray,YDS,4
14519075,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ricardo,McCray,TD,0
14519076,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Ricardo,McCray,LONG,4
14519077,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Taylor,Barthelette,REC,1
14519078,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Taylor,Barthelette,YDS,4
14519079,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Taylor,Barthelette,TD,0
14519080,9/5/2015,D-II,Bryant,American Int'l,RECEIVING,Taylor,Barthelette,LONG,4
14519081,9/5/2015,D-II,Bryant,American Int'l,KICKING,Ricky,Perez,FG-FGA,0/0
14519082,9/5/2015,D-II,Bryant,American Int'l,KICKING,Ricky,Perez,LONG,-
14519083,9/5/2015,D-II,Bryant,American Int'l,KICKING,Ricky,Perez,XP,3
14519084,9/5/2015,D-II,Bryant,American Int'l,KICKING,Ricky,Perez,PTS,3
14519085,9/5/2015,D-II,Bryant,American Int'l,PUNTING,Dom,Kozlowski,NO,6
