ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15844001,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Willie,brownIv,ATT,20
15844002,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Willie,brownIv,YDS,87
15844003,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Willie,brownIv,TD,0
15844004,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Willie,brownIv,LONG,22
15844005,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Marcel,Depina,ATT,6
15844006,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Marcel,Depina,YDS,30
15844007,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Marcel,Depina,TD,0
15844008,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Marcel,Depina,LONG,19
15844009,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Adam,Salvadori,ATT,2
15844010,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Adam,Salvadori,YDS,4
15844011,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Adam,Salvadori,TD,0
15844012,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Adam,Salvadori,LONG,2
15844013,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Dahmiere,Willis,ATT,3
15844014,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Dahmiere,Willis,YDS,4
15844015,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Dahmiere,Willis,TD,0
15844016,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Dahmiere,Willis,LONG,4
15844017,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Reco,Facey,ATT,4
15844018,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Reco,Facey,YDS,3
15844019,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Reco,Facey,TD,0
15844020,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,Reco,Facey,LONG,2
15844021,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,C,Dargan,ATT,1
15844022,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,C,Dargan,YDS,-1
15844023,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,C,Dargan,TD,0
15844024,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,C,Dargan,LONG,0
15844025,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,,Team,ATT,1
15844026,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,,Team,YDS,-2
15844027,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,,Team,TD,0
15844028,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,,Team,LONG,0
15844029,10/1/2016,D-II,American Int'l,Saint Anselm,RUSHING,J,Czelusniak,ATT,3
