ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15794001,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,D,Jackson,ATT,28
15794002,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,D,Jackson,YDS,150
15794003,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,D,Jackson,TD,0
15794004,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,D,Jackson,LONG,29
15794005,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Moses,Vines,ATT,18
15794006,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Moses,Vines,YDS,85
15794007,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Moses,Vines,TD,0
15794008,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Moses,Vines,LONG,17
15794009,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Darius,Meadors,ATT,5
15794010,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Darius,Meadors,YDS,44
15794011,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Darius,Meadors,TD,0
15794012,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Darius,Meadors,LONG,16
15794013,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Marquis,Wells,ATT,1
15794014,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Marquis,Wells,YDS,25
15794015,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Marquis,Wells,TD,0
15794016,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Marquis,Wells,LONG,25
15794017,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Mikiel,Clemons,ATT,7
15794018,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Mikiel,Clemons,YDS,6
15794019,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Mikiel,Clemons,TD,0
15794020,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Mikiel,Clemons,LONG,10
15794021,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Lavon,Meeks,ATT,4
15794022,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Lavon,Meeks,YDS,4
15794023,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Lavon,Meeks,TD,1
15794024,10/1/2016,D-II,Central State,Kentucky Wesleyan,RUSHING,Lavon,Meeks,LONG,8
15794025,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Lavon,Meeks,CP-ATT-INT,7-17-3
15794026,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Lavon,Meeks,YDS,74
15794027,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Lavon,Meeks,TD,0
15794028,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Lavon,Meeks,LONG,19
15794029,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Mikiel,Clemons,CP-ATT-INT,2-8-1
15794030,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Mikiel,Clemons,YDS,13
15794031,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Mikiel,Clemons,TD,0
15794032,10/1/2016,D-II,Central State,Kentucky Wesleyan,PASSING,Mikiel,Clemons,LONG,10
15794033,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Marquis,Wells,REC,3
15794034,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Marquis,Wells,YDS,42
15794035,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Marquis,Wells,TD,0
15794036,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Marquis,Wells,LONG,19
15794037,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Darius,Meadors,REC,2
15794038,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Darius,Meadors,YDS,26
15794039,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Darius,Meadors,TD,0
15794040,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Darius,Meadors,LONG,16
15794041,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Tyrone,Jones,REC,2
15794042,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Tyrone,Jones,YDS,13
15794043,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Tyrone,Jones,TD,0
15794044,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Tyrone,Jones,LONG,9
15794045,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Renon,Lorenzo,REC,1
15794046,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Renon,Lorenzo,YDS,3
15794047,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Renon,Lorenzo,TD,0
15794048,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Renon,Lorenzo,LONG,3
15794049,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Martell,Clark,REC,1
15794050,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Martell,Clark,YDS,3
15794051,10/1/2016,D-II,Central State,Kentucky Wesleyan,RECEIVING,Martell,Clark,TD,0
