ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16011001,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Josh,Stevens,ATT,22
16011002,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Josh,Stevens,YDS,109
16011003,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Josh,Stevens,TD,2
16011004,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Josh,Stevens,LONG,49
16011005,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Carsen,Cook,ATT,21
16011006,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Carsen,Cook,YDS,85
16011007,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Carsen,Cook,TD,0
16011008,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Carsen,Cook,LONG,16
16011009,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Trey,Green,ATT,7
16011010,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Trey,Green,YDS,27
16011011,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Trey,Green,TD,1
16011012,10/15/2016,D-II,Angelo State,Midwestern St.,RUSHING,Trey,Green,LONG,10
16011013,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Carsen,Cook,CP-ATT-INT,17-32-1
16011014,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Carsen,Cook,YDS,125
16011015,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Carsen,Cook,TD,0
16011016,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Carsen,Cook,LONG,17
16011017,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Jake,Faber,CP-ATT-INT,1-1-0
16011018,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Jake,Faber,YDS,4
16011019,10/15/2016,D-II,Angelo State,Midwestern St.,PASSING,Jake,Faber,TD,0
