ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15968001,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zack,Graves,ATT,13
15968002,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zack,Graves,YDS,96
15968003,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zack,Graves,TD,1
15968004,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zack,Graves,LONG,36
15968005,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zach,Podoll,ATT,20
15968006,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zach,Podoll,YDS,66
15968007,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zach,Podoll,TD,0
15968008,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Zach,Podoll,LONG,9
15968009,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Colton,Farmer,ATT,19
15968010,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Colton,Farmer,YDS,44
15968011,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Colton,Farmer,TD,1
15968012,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Colton,Farmer,LONG,13
15968013,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Connor,Graves,ATT,5
15968014,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Connor,Graves,YDS,34
15968015,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Connor,Graves,TD,0
15968016,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Connor,Graves,LONG,18
15968017,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Joey,Vrooman,ATT,2
15968018,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Joey,Vrooman,YDS,6
15968019,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Joey,Vrooman,TD,0
15968020,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,Joey,Vrooman,LONG,3
15968021,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,,Team,ATT,1
15968022,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,,Team,YDS,0
15968023,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,,Team,TD,0
15968024,10/15/2016,D-II,Mary,Minn.-Crookston,RUSHING,,Team,LONG,0
15968025,10/15/2016,D-II,Mary,Minn.-Crookston,PASSING,Colton,Farmer,CP-ATT-INT,11-16-2
15968026,10/15/2016,D-II,Mary,Minn.-Crookston,PASSING,Colton,Farmer,YDS,154
15968027,10/15/2016,D-II,Mary,Minn.-Crookston,PASSING,Colton,Farmer,TD,2
15968028,10/15/2016,D-II,Mary,Minn.-Crookston,PASSING,Colton,Farmer,LONG,32
15968029,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Connor,Graves,REC,4
15968030,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Connor,Graves,YDS,60
15968031,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Connor,Graves,TD,1
15968032,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Connor,Graves,LONG,32
15968033,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zach,Podoll,REC,2
15968034,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zach,Podoll,YDS,31
15968035,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zach,Podoll,TD,0
15968036,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zach,Podoll,LONG,24
15968037,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Mackedanz,REC,1
15968038,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Mackedanz,YDS,27
15968039,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Mackedanz,TD,1
15968040,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Mackedanz,LONG,27
15968041,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Saucedo,REC,2
15968042,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Saucedo,YDS,26
15968043,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Saucedo,TD,0
15968044,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Sam,Saucedo,LONG,18
15968045,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Harley,Mollman,REC,1
15968046,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Harley,Mollman,YDS,8
15968047,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Harley,Mollman,TD,0
15968048,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Harley,Mollman,LONG,8
15968049,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zack,Graves,REC,1
15968050,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zack,Graves,YDS,2
15968051,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zack,Graves,TD,0
15968052,10/15/2016,D-II,Mary,Minn.-Crookston,RECEIVING,Zack,Graves,LONG,2
15968053,10/15/2016,D-II,Mary,Minn.-Crookston,PUNTING,Bailey,Meyer,NO,5
15968054,10/15/2016,D-II,Mary,Minn.-Crookston,PUNTING,Bailey,Meyer,YDS,151
15968055,10/15/2016,D-II,Mary,Minn.-Crookston,PUNTING,Bailey,Meyer,AVG,30.2
15968056,10/15/2016,D-II,Mary,Minn.-Crookston,PUNTING,Bailey,Meyer,LONG,39
15968057,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Noah,Krebs,NO,1
15968058,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Noah,Krebs,YDS,0
15968059,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Noah,Krebs,AVG,0.0
15968060,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Noah,Krebs,LONG,0
15968061,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zack,Graves,NO,1
15968062,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zack,Graves,YDS,39
15968063,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zack,Graves,AVG,39.0
15968064,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zack,Graves,LONG,39
15968065,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zach,Podoll,NO,1
15968066,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zach,Podoll,YDS,11
15968067,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zach,Podoll,AVG,11.0
15968068,10/15/2016,D-II,Mary,Minn.-Crookston,PUNT RETURNS,Zach,Podoll,LONG,11
15968069,10/15/2016,D-II,Mary,Minn.-Crookston,KICK RETURNS,Zack,Graves,NO,2
15968070,10/15/2016,D-II,Mary,Minn.-Crookston,KICK RETURNS,Zack,Graves,YDS,50
15968071,10/15/2016,D-II,Mary,Minn.-Crookston,KICK RETURNS,Zack,Graves,AVG,25.0
15968072,10/15/2016,D-II,Mary,Minn.-Crookston,KICK RETURNS,Zack,Graves,LONG,28
15968073,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Andre,Person,ATT,13
15968074,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Andre,Person,YDS,65
15968075,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Andre,Person,TD,1
15968076,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Andre,Person,LONG,15
15968077,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Nathan,Cole,ATT,5
15968078,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Nathan,Cole,YDS,5
15968079,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Nathan,Cole,TD,0
15968080,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Nathan,Cole,LONG,7
15968081,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Shane,Curtis,ATT,2
15968082,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Shane,Curtis,YDS,4
15968083,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Shane,Curtis,TD,0
15968084,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Shane,Curtis,LONG,4
15968085,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,,Team,ATT,1
15968086,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,,Team,YDS,0
15968087,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,,Team,TD,0
15968088,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,,Team,LONG,0
15968089,10/15/2016,D-II,Minn.-Crookston,Mary,RUSHING,Stephen,Day,ATT,1
