ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16060001,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,L,Archangelo,ATT,6
16060002,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,L,Archangelo,YDS,104
16060003,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,L,Archangelo,TD,0
16060004,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,L,Archangelo,LONG,59
16060005,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Chase,Yocum,ATT,7
16060006,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Chase,Yocum,YDS,89
16060007,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Chase,Yocum,TD,0
16060008,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Chase,Yocum,LONG,53
16060009,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,C,Chiappialle,ATT,11
16060010,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,C,Chiappialle,YDS,81
16060011,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,C,Chiappialle,TD,1
16060012,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,C,Chiappialle,LONG,23
16060013,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Justin,Pyle,ATT,15
16060014,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Justin,Pyle,YDS,43
16060015,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Justin,Pyle,TD,2
16060016,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Justin,Pyle,LONG,8
16060017,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Marcus,Lominy,ATT,3
16060018,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Marcus,Lominy,YDS,13
16060019,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Marcus,Lominy,TD,0
16060020,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Marcus,Lominy,LONG,8
16060021,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Colin,Mcdermott,ATT,4
16060022,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Colin,Mcdermott,YDS,12
16060023,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Colin,Mcdermott,TD,0
16060024,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,Colin,Mcdermott,LONG,5
16060025,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,,Team,ATT,1
16060026,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,,Team,YDS,-1
16060027,10/22/2016,D-II,Shippensburg,Millersville,RUSHING,,Team,TD,0
