ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16143001,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,G,Maize,ATT,15
16143002,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,G,Maize,YDS,66
16143003,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,G,Maize,TD,1
16143004,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,G,Maize,LONG,21
16143005,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,I,Corbin,ATT,9
16143006,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,I,Corbin,YDS,34
16143007,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,I,Corbin,TD,0
16143008,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,I,Corbin,LONG,14
16143009,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,D,Commodore,ATT,5
16143010,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,D,Commodore,YDS,3
16143011,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,D,Commodore,TD,0
16143012,10/29/2016,D-II,Limestone,Carson-Newman,RUSHING,D,Commodore,LONG,5
16143013,10/29/2016,D-II,Limestone,Carson-Newman,PASSING,I,Corbin,CP-ATT-INT,17-35-2
16143014,10/29/2016,D-II,Limestone,Carson-Newman,PASSING,I,Corbin,YDS,247
16143015,10/29/2016,D-II,Limestone,Carson-Newman,PASSING,I,Corbin,TD,2
16143016,10/29/2016,D-II,Limestone,Carson-Newman,PASSING,I,Corbin,LONG,40
16143017,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,V,Smith,REC,4
16143018,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,V,Smith,YDS,106
16143019,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,V,Smith,TD,0
16143020,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,V,Smith,LONG,40
16143021,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,F,Jefferson,REC,4
16143022,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,F,Jefferson,YDS,74
16143023,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,F,Jefferson,TD,0
16143024,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,F,Jefferson,LONG,27
16143025,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,D,Fleming,REC,5
16143026,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,D,Fleming,YDS,50
16143027,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,D,Fleming,TD,2
16143028,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,D,Fleming,LONG,19
16143029,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,J,Hornsby,REC,3
16143030,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,J,Hornsby,YDS,13
16143031,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,J,Hornsby,TD,0
16143032,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,J,Hornsby,LONG,5
16143033,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,B,Strimpfel,REC,1
16143034,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,B,Strimpfel,YDS,4
16143035,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,B,Strimpfel,TD,0
16143036,10/29/2016,D-II,Limestone,Carson-Newman,RECEIVING,B,Strimpfel,LONG,4
16143037,10/29/2016,D-II,Limestone,Carson-Newman,PUNTING,A,Haynes,NO,5
16143038,10/29/2016,D-II,Limestone,Carson-Newman,PUNTING,A,Haynes,YDS,193
16143039,10/29/2016,D-II,Limestone,Carson-Newman,PUNTING,A,Haynes,AVG,38.6
16143040,10/29/2016,D-II,Limestone,Carson-Newman,PUNTING,A,Haynes,LONG,52
16143041,10/29/2016,D-II,Limestone,Carson-Newman,PUNT RETURNS,V,Smith,NO,2
16143042,10/29/2016,D-II,Limestone,Carson-Newman,PUNT RETURNS,V,Smith,YDS,1
16143043,10/29/2016,D-II,Limestone,Carson-Newman,PUNT RETURNS,V,Smith,AVG,0.5
16143044,10/29/2016,D-II,Limestone,Carson-Newman,PUNT RETURNS,V,Smith,LONG,5
16143045,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,E,Vanderpuye,NO,1
16143046,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,E,Vanderpuye,YDS,16
16143047,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,E,Vanderpuye,AVG,16.0
16143048,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,E,Vanderpuye,LONG,16
16143049,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,D,Jackson,NO,2
16143050,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,D,Jackson,YDS,31
16143051,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,D,Jackson,AVG,15.5
16143052,10/29/2016,D-II,Limestone,Carson-Newman,KICK RETURNS,D,Jackson,LONG,17
16143053,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Antonio,Wimbush,ATT,18
16143054,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Antonio,Wimbush,YDS,143
16143055,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Antonio,Wimbush,TD,2
16143056,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Antonio,Wimbush,LONG,23
16143057,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,M,Taylor,ATT,25
16143058,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,M,Taylor,YDS,121
16143059,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,M,Taylor,TD,0
16143060,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,M,Taylor,LONG,18
16143061,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Jamal,Jones,ATT,10
16143062,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Jamal,Jones,YDS,78
16143063,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Jamal,Jones,TD,0
16143064,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Jamal,Jones,LONG,27
16143065,10/29/2016,D-II,Carson-Newman,Limestone,RUSHING,Noah,Suber,ATT,11
