ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15902001,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Terrell,Charles,ATT,25
15902002,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Terrell,Charles,YDS,92
15902003,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Terrell,Charles,TD,2
15902004,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Terrell,Charles,LONG,26
15902005,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,James,Oliver,ATT,4
15902006,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,James,Oliver,YDS,22
15902007,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,James,Oliver,TD,0
15902008,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,James,Oliver,LONG,7
15902009,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Rakeem,Darden,ATT,2
15902010,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Rakeem,Darden,YDS,12
15902011,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Rakeem,Darden,TD,0
15902012,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Rakeem,Darden,LONG,14
15902013,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,,Team,ATT,1
15902014,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,,Team,YDS,-1
15902015,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,,Team,TD,0
15902016,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,,Team,LONG,0
15902017,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Cooper,Hibbs,ATT,7
15902018,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Cooper,Hibbs,YDS,-15
15902019,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Cooper,Hibbs,TD,0
15902020,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RUSHING,Cooper,Hibbs,LONG,4
15902021,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,PASSING,Cooper,Hibbs,CP-ATT-INT,22-31-1
15902022,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,PASSING,Cooper,Hibbs,YDS,296
15902023,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,PASSING,Cooper,Hibbs,TD,2
15902024,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,PASSING,Cooper,Hibbs,LONG,60
15902025,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RECEIVING,Jeff,Iweh,REC,4
15902026,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RECEIVING,Jeff,Iweh,YDS,102
15902027,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RECEIVING,Jeff,Iweh,TD,1
15902028,10/8/2016,D-II,Fairmont State,W.Va. Wesleyan,RECEIVING,Jeff,Iweh,LONG,60
