ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16329001,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jaranta,Lewis,ATT,16
16329002,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jaranta,Lewis,YDS,84
16329003,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jaranta,Lewis,TD,0
16329004,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jaranta,Lewis,LONG,19
16329005,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Davontae,Elam,ATT,11
16329006,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Davontae,Elam,YDS,44
16329007,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Davontae,Elam,TD,0
16329008,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Davontae,Elam,LONG,11
16329009,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jake,Mayon,ATT,6
16329010,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jake,Mayon,YDS,13
16329011,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jake,Mayon,TD,0
16329012,11/12/2016,D-II,Northern Mich.,Tiffin,RUSHING,Jake,Mayon,LONG,4
16329013,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Jaranta,Lewis,CP-ATT-INT,10-26-1
16329014,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Jaranta,Lewis,YDS,71
16329015,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Jaranta,Lewis,TD,1
16329016,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Jaranta,Lewis,LONG,17
16329017,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Pat,Ryan,CP-ATT-INT,0-1-1
16329018,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Pat,Ryan,YDS,0
16329019,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Pat,Ryan,TD,0
16329020,11/12/2016,D-II,Northern Mich.,Tiffin,PASSING,Pat,Ryan,LONG,0
16329021,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Julian,Crum,REC,4
16329022,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Julian,Crum,YDS,44
16329023,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Julian,Crum,TD,1
16329024,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Julian,Crum,LONG,17
16329025,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Walter,Jackson,REC,4
16329026,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Walter,Jackson,YDS,23
16329027,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Walter,Jackson,TD,0
16329028,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Walter,Jackson,LONG,12
16329029,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Jake,Mayon,REC,1
16329030,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Jake,Mayon,YDS,3
16329031,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Jake,Mayon,TD,0
16329032,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Jake,Mayon,LONG,3
16329033,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Paris,Woods,REC,1
16329034,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Paris,Woods,YDS,1
16329035,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Paris,Woods,TD,0
16329036,11/12/2016,D-II,Northern Mich.,Tiffin,RECEIVING,Paris,Woods,LONG,1
16329037,11/12/2016,D-II,Northern Mich.,Tiffin,PUNTING,John,Kwiecinski,NO,6
16329038,11/12/2016,D-II,Northern Mich.,Tiffin,PUNTING,John,Kwiecinski,YDS,252
16329039,11/12/2016,D-II,Northern Mich.,Tiffin,PUNTING,John,Kwiecinski,AVG,42.0
16329040,11/12/2016,D-II,Northern Mich.,Tiffin,PUNTING,John,Kwiecinski,LONG,49
16329041,11/12/2016,D-II,Northern Mich.,Tiffin,PUNT RETURNS,Jon,Washington,NO,2
16329042,11/12/2016,D-II,Northern Mich.,Tiffin,PUNT RETURNS,Jon,Washington,YDS,3
16329043,11/12/2016,D-II,Northern Mich.,Tiffin,PUNT RETURNS,Jon,Washington,AVG,1.5
16329044,11/12/2016,D-II,Northern Mich.,Tiffin,PUNT RETURNS,Jon,Washington,LONG,9
16329045,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Walter,Jackson,NO,1
16329046,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Walter,Jackson,YDS,19
16329047,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Walter,Jackson,AVG,19.0
16329048,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Walter,Jackson,LONG,19
16329049,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Keshawn,Walker,NO,5
16329050,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Keshawn,Walker,YDS,83
16329051,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Keshawn,Walker,AVG,16.6
16329052,11/12/2016,D-II,Northern Mich.,Tiffin,KICK RETURNS,Keshawn,Walker,LONG,21
16329053,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Antonio,Pipkin,ATT,11
16329054,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Antonio,Pipkin,YDS,205
16329055,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Antonio,Pipkin,TD,2
16329056,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Antonio,Pipkin,LONG,73
16329057,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Kyle,Brunson,ATT,6
16329058,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Kyle,Brunson,YDS,37
16329059,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Kyle,Brunson,TD,0
16329060,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Kyle,Brunson,LONG,13
16329061,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jerry,Brown,ATT,8
16329062,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jerry,Brown,YDS,28
16329063,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jerry,Brown,TD,1
16329064,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jerry,Brown,LONG,11
16329065,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jaquan,Hardy,ATT,4
16329066,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jaquan,Hardy,YDS,18
16329067,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jaquan,Hardy,TD,0
16329068,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jaquan,Hardy,LONG,17
16329069,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jihad,Vercher,ATT,5
16329070,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jihad,Vercher,YDS,15
16329071,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jihad,Vercher,TD,0
16329072,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Jihad,Vercher,LONG,7
16329073,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Al,Haynes,ATT,4
16329074,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Al,Haynes,YDS,10
16329075,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Al,Haynes,TD,0
16329076,11/12/2016,D-II,Tiffin,Northern Mich.,RUSHING,Al,Haynes,LONG,6
16329077,11/12/2016,D-II,Tiffin,Northern Mich.,PASSING,Antonio,Pipkin,CP-ATT-INT,27-29-0
16329078,11/12/2016,D-II,Tiffin,Northern Mich.,PASSING,Antonio,Pipkin,YDS,292
16329079,11/12/2016,D-II,Tiffin,Northern Mich.,PASSING,Antonio,Pipkin,TD,5
16329080,11/12/2016,D-II,Tiffin,Northern Mich.,PASSING,Antonio,Pipkin,LONG,49
16329081,11/12/2016,D-II,Tiffin,Northern Mich.,PASSING,Jihad,Vercher,CP-ATT-INT,1-3-0
