ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16392001,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Corey,Bassett,ATT,1
16392002,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Corey,Bassett,YDS,36
16392003,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Corey,Bassett,TD,0
16392004,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Corey,Bassett,LONG,36
16392005,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Dwayne,Carter,ATT,8
16392006,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Dwayne,Carter,YDS,29
16392007,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Dwayne,Carter,TD,0
16392008,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Dwayne,Carter,LONG,7
16392009,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Zach,Shelley,ATT,8
16392010,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Zach,Shelley,YDS,28
16392011,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Zach,Shelley,TD,0
16392012,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Zach,Shelley,LONG,15
16392013,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Michael,Latu,ATT,6
16392014,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Michael,Latu,YDS,16
16392015,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Michael,Latu,TD,0
16392016,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Michael,Latu,LONG,9
16392017,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Park,Parish,ATT,10
16392018,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Park,Parish,YDS,8
16392019,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Park,Parish,TD,0
16392020,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Park,Parish,LONG,5
16392021,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Simmons,ATT,4
16392022,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Simmons,YDS,7
16392023,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Simmons,TD,0
16392024,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Simmons,LONG,8
16392025,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Brandon,Gates,ATT,1
16392026,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Brandon,Gates,YDS,2
16392027,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Brandon,Gates,TD,0
16392028,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Brandon,Gates,LONG,2
16392029,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Grant,Kimberlin,ATT,2
16392030,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Grant,Kimberlin,YDS,1
16392031,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Grant,Kimberlin,TD,0
16392032,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Grant,Kimberlin,LONG,3
16392033,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Trevon,Biglow,ATT,1
16392034,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Trevon,Biglow,YDS,-4
16392035,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Trevon,Biglow,TD,0
16392036,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Trevon,Biglow,LONG,0
16392037,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Kelly,ATT,2
16392038,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Kelly,YDS,-4
16392039,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Kelly,TD,0
16392040,12/3/2016,D-II,Harding,N'west Mo. St.,RUSHING,Eric,Kelly,LONG,0
16392041,12/3/2016,D-II,Harding,N'west Mo. St.,PASSING,Park,Parish,CP-ATT-INT,0-6-2
16392042,12/3/2016,D-II,Harding,N'west Mo. St.,PASSING,Park,Parish,YDS,0
16392043,12/3/2016,D-II,Harding,N'west Mo. St.,PASSING,Park,Parish,TD,0
16392044,12/3/2016,D-II,Harding,N'west Mo. St.,PASSING,Park,Parish,LONG,0
16392045,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,Tristan,Parsley,NO,7
16392046,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,Tristan,Parsley,YDS,269
16392047,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,Tristan,Parsley,AVG,38.4
16392048,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,Tristan,Parsley,LONG,52
16392049,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,,Team,NO,1
16392050,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,,Team,YDS,0
16392051,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,,Team,AVG,0.0
16392052,12/3/2016,D-II,Harding,N'west Mo. St.,PUNTING,,Team,LONG,0
16392053,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Corey,Bassett,NO,1
16392054,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Corey,Bassett,YDS,18
16392055,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Corey,Bassett,AVG,18.0
16392056,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Corey,Bassett,LONG,18
16392057,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Zach,Shelley,NO,6
16392058,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Zach,Shelley,YDS,90
16392059,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Zach,Shelley,AVG,15.0
16392060,12/3/2016,D-II,Harding,N'west Mo. St.,KICK RETURNS,Zach,Shelley,LONG,19
16392061,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Cameron,Wilcox,ATT,8
16392062,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Cameron,Wilcox,YDS,36
16392063,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Cameron,Wilcox,TD,0
16392064,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Cameron,Wilcox,LONG,15
16392065,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Phil,Jackson,ATT,8
16392066,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Phil,Jackson,YDS,31
16392067,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Phil,Jackson,TD,0
16392068,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Phil,Jackson,LONG,10
16392069,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Randy,Schmidt,ATT,3
16392070,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Randy,Schmidt,YDS,5
16392071,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Randy,Schmidt,TD,0
16392072,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Randy,Schmidt,LONG,4
16392073,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Jordan,Grove,ATT,2
16392074,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Jordan,Grove,YDS,3
16392075,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Jordan,Grove,TD,2
16392076,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Jordan,Grove,LONG,2
16392077,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,,Team,ATT,1
16392078,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,,Team,YDS,-5
16392079,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,,Team,TD,0
16392080,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,,Team,LONG,0
16392081,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Kyle,Zimmerman,ATT,2
16392082,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Kyle,Zimmerman,YDS,-13
16392083,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Kyle,Zimmerman,TD,0
16392084,12/3/2016,D-II,N'west Mo. St.,Harding,RUSHING,Kyle,Zimmerman,LONG,0
16392085,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Kyle,Zimmerman,CP-ATT-INT,30-42-1
16392086,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Kyle,Zimmerman,YDS,340
16392087,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Kyle,Zimmerman,TD,1
16392088,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Kyle,Zimmerman,LONG,58
16392089,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Randy,Schmidt,CP-ATT-INT,4-4-0
16392090,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Randy,Schmidt,YDS,21
16392091,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Randy,Schmidt,TD,0
16392092,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Randy,Schmidt,LONG,7
16392093,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Jordan,Grove,CP-ATT-INT,0-1-0
16392094,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Jordan,Grove,YDS,0
16392095,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Jordan,Grove,TD,0
16392096,12/3/2016,D-II,N'west Mo. St.,Harding,PASSING,Jordan,Grove,LONG,0
16392097,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Dre,Washington,REC,7
16392098,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Dre,Washington,YDS,135
16392099,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Dre,Washington,TD,0
16392100,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Dre,Washington,LONG,30
16392101,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Jordan,Grove,REC,4
16392102,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Jordan,Grove,YDS,73
16392103,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Jordan,Grove,TD,1
16392104,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Jordan,Grove,LONG,58
16392105,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,George,Sehl,REC,5
16392106,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,George,Sehl,YDS,53
16392107,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,George,Sehl,TD,0
16392108,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,George,Sehl,LONG,15
16392109,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Shane,Williams,REC,3
16392110,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Shane,Williams,YDS,27
16392111,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Shane,Williams,TD,0
16392112,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Shane,Williams,LONG,16
16392113,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Cameron,Wilcox,REC,6
16392114,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Cameron,Wilcox,YDS,26
16392115,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Cameron,Wilcox,TD,0
16392116,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Cameron,Wilcox,LONG,7
16392117,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Chase,White,REC,2
16392118,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Chase,White,YDS,14
16392119,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Chase,White,TD,0
16392120,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Chase,White,LONG,11
16392121,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Shacorey,Foster,REC,2
16392122,12/3/2016,D-II,N'west Mo. St.,Harding,RECEIVING,Shacorey,Foster,YDS,13
