ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
15629001,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Jamel,Harbison,ATT,31
15629002,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Jamel,Harbison,YDS,177
15629003,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Jamel,Harbison,TD,2
15629004,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Jamel,Harbison,LONG,20
15629005,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Malik,Prescott,ATT,3
15629006,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Malik,Prescott,YDS,7
15629007,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Malik,Prescott,TD,0
15629008,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Malik,Prescott,LONG,5
15629009,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Craig,Rucker,ATT,1
15629010,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Craig,Rucker,YDS,2
15629011,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Craig,Rucker,TD,1
15629012,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Craig,Rucker,LONG,2
15629013,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,David,Salmon,ATT,4
15629014,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,David,Salmon,YDS,-5
15629015,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,David,Salmon,TD,0
15629016,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,David,Salmon,LONG,6
15629017,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Austin,Brown,ATT,2
15629018,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Austin,Brown,YDS,-7
15629019,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Austin,Brown,TD,0
15629020,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,Austin,Brown,LONG,0
15629021,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,,Team,ATT,2
15629022,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,,Team,YDS,-10
15629023,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,,Team,TD,0
15629024,9/17/2016,D-II,Mars Hill,Limestone,RUSHING,,Team,LONG,0
15629025,9/17/2016,D-II,Mars Hill,Limestone,PASSING,David,Salmon,CP-ATT-INT,18-29-3
15629026,9/17/2016,D-II,Mars Hill,Limestone,PASSING,David,Salmon,YDS,309
