ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17067001,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Damon,Cox,ATT,10
17067002,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Damon,Cox,YDS,35
17067003,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Damon,Cox,TD,0
17067004,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Damon,Cox,LONG,12
17067005,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,T,Humphrey,ATT,8
17067006,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,T,Humphrey,YDS,32
17067007,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,T,Humphrey,TD,0
17067008,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,T,Humphrey,LONG,16
17067009,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Rico,Bruton,ATT,15
17067010,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Rico,Bruton,YDS,4
17067011,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Rico,Bruton,TD,0
17067012,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Rico,Bruton,LONG,11
17067013,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Dre,Hall,ATT,1
17067014,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Dre,Hall,YDS,1
17067015,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Dre,Hall,TD,0
17067016,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,Dre,Hall,LONG,1
17067017,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,,Team,ATT,2
17067018,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,,Team,YDS,-16
17067019,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,,Team,TD,0
17067020,10/21/2017,D-II,North Alabama,Central Wash.,RUSHING,,Team,LONG,0
17067021,10/21/2017,D-II,North Alabama,Central Wash.,PASSING,Rico,Bruton,CP-ATT-INT,12-32-0
17067022,10/21/2017,D-II,North Alabama,Central Wash.,PASSING,Rico,Bruton,YDS,122
17067023,10/21/2017,D-II,North Alabama,Central Wash.,PASSING,Rico,Bruton,TD,0
17067024,10/21/2017,D-II,North Alabama,Central Wash.,PASSING,Rico,Bruton,LONG,25
17067025,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Delvn,Carpenter,REC,4
17067026,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Delvn,Carpenter,YDS,54
17067027,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Delvn,Carpenter,TD,0
17067028,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Delvn,Carpenter,LONG,25
17067029,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Austin,Hicks,REC,3
17067030,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Austin,Hicks,YDS,26
17067031,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Austin,Hicks,TD,0
17067032,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Austin,Hicks,LONG,11
17067033,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Alex,Norwood,REC,3
17067034,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Alex,Norwood,YDS,24
17067035,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Alex,Norwood,TD,0
17067036,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Alex,Norwood,LONG,8
17067037,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Dre,Hall,REC,2
17067038,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Dre,Hall,YDS,18
17067039,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Dre,Hall,TD,0
17067040,10/21/2017,D-II,North Alabama,Central Wash.,RECEIVING,Dre,Hall,LONG,12
17067041,10/21/2017,D-II,North Alabama,Central Wash.,PUNTING,Joe,Gurley,NO,7
17067042,10/21/2017,D-II,North Alabama,Central Wash.,PUNTING,Joe,Gurley,YDS,276
17067043,10/21/2017,D-II,North Alabama,Central Wash.,PUNTING,Joe,Gurley,AVG,39.4
17067044,10/21/2017,D-II,North Alabama,Central Wash.,PUNTING,Joe,Gurley,LONG,49
17067045,10/21/2017,D-II,North Alabama,Central Wash.,PUNT RETURNS,Dwain,Smith,NO,3
17067046,10/21/2017,D-II,North Alabama,Central Wash.,PUNT RETURNS,Dwain,Smith,YDS,9
17067047,10/21/2017,D-II,North Alabama,Central Wash.,PUNT RETURNS,Dwain,Smith,AVG,3.0
17067048,10/21/2017,D-II,North Alabama,Central Wash.,PUNT RETURNS,Dwain,Smith,LONG,5
17067049,10/21/2017,D-II,North Alabama,Central Wash.,KICK RETURNS,Jamal,Jackson,NO,4
17067050,10/21/2017,D-II,North Alabama,Central Wash.,KICK RETURNS,Jamal,Jackson,YDS,52
17067051,10/21/2017,D-II,North Alabama,Central Wash.,KICK RETURNS,Jamal,Jackson,AVG,13.0
17067052,10/21/2017,D-II,North Alabama,Central Wash.,KICK RETURNS,Jamal,Jackson,LONG,14
17067053,10/21/2017,D-II,Central Wash.,North Alabama,RUSHING,,Team,ATT,35
17067054,10/21/2017,D-II,Central Wash.,North Alabama,RUSHING,,Team,YDS,189
17067055,10/21/2017,D-II,Central Wash.,North Alabama,RUSHING,,Team,TD,2
17067056,10/21/2017,D-II,Central Wash.,North Alabama,RUSHING,,Team,LONG,19
17067057,10/21/2017,D-II,Central Wash.,North Alabama,PASSING,,Team,CP-ATT-INT,12-20-2
17067058,10/21/2017,D-II,Central Wash.,North Alabama,PASSING,,Team,YDS,128
17067059,10/21/2017,D-II,Central Wash.,North Alabama,PASSING,,Team,TD,0
17067060,10/21/2017,D-II,Central Wash.,North Alabama,PASSING,,Team,LONG,31
17067061,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,REC,3
17067062,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,YDS,55
17067063,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,TD,0
17067064,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,LONG,31
17067065,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,T,Archie,REC,1
17067066,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,T,Archie,YDS,8
17067067,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,T,Archie,TD,0
17067068,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,T,Archie,LONG,8
17067069,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,REC,1
17067070,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,YDS,-1
17067071,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,TD,0
17067072,10/21/2017,D-II,Central Wash.,North Alabama,RECEIVING,,Team,LONG,0
17067073,10/21/2017,D-II,Central Wash.,North Alabama,PUNTING,,Team,NO,4
17067074,10/21/2017,D-II,Central Wash.,North Alabama,PUNTING,,Team,YDS,175
17067075,10/21/2017,D-II,Central Wash.,North Alabama,PUNTING,,Team,AVG,43.8
17067076,10/21/2017,D-II,Central Wash.,North Alabama,PUNTING,,Team,LONG,52
17067077,10/21/2017,D-II,Central Wash.,North Alabama,KICK RETURNS,,Team,NO,3
17067078,10/21/2017,D-II,Central Wash.,North Alabama,KICK RETURNS,,Team,YDS,63
17067079,10/21/2017,D-II,Central Wash.,North Alabama,KICK RETURNS,,Team,AVG,21.0
17067080,10/21/2017,D-II,Central Wash.,North Alabama,KICK RETURNS,,Team,LONG,35
