ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17051001,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,ATT,16
17051002,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,YDS,66
17051003,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,TD,0
17051004,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,LONG,12
17051005,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,ATT,10
17051006,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,YDS,46
17051007,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,TD,1
17051008,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,LONG,40
17051009,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,ATT,9
17051010,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,YDS,23
17051011,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,TD,1
17051012,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,LONG,9
17051013,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,ATT,2
17051014,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,YDS,1
17051015,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,TD,0
17051016,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,LONG,2
17051017,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,ATT,1
17051018,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,YDS,-6
17051019,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,TD,0
17051020,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,LONG,0
17051021,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,ATT,4
17051022,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,YDS,-19
17051023,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,TD,0
17051024,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RUSHING,,Team,LONG,0
17051025,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,CP-ATT-INT,15-26-1
17051026,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,YDS,110
17051027,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,TD,1
17051028,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,LONG,19
17051029,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,CP-ATT-INT,0-0-0
17051030,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,YDS,0
17051031,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,TD,0
17051032,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),PASSING,,Team,LONG,0
17051033,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,REC,4
17051034,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,YDS,44
17051035,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,TD,0
17051036,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,LONG,19
17051037,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,REC,2
17051038,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,YDS,21
17051039,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,TD,0
17051040,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,LONG,16
17051041,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,REC,3
17051042,10/21/2017,D-II,Upper Iowa,Augustana (S.D.),RECEIVING,,Team,YDS,18
