ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17276001,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Overstreet,ATT,4
17276002,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Overstreet,YDS,38
17276003,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Overstreet,TD,0
17276004,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Overstreet,LONG,21
17276005,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,H,Vanwinkle,ATT,8
17276006,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,H,Vanwinkle,YDS,13
17276007,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,H,Vanwinkle,TD,0
17276008,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,H,Vanwinkle,LONG,11
17276009,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Butts,ATT,8
17276010,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Butts,YDS,9
17276011,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Butts,TD,0
17276012,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,L,Butts,LONG,4
17276013,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,Z,Cunha,ATT,6
17276014,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,Z,Cunha,YDS,6
17276015,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,Z,Cunha,TD,0
17276016,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,Z,Cunha,LONG,10
17276017,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,,Team,ATT,2
17276018,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,,Team,YDS,-3
17276019,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,,Team,TD,0
17276020,11/11/2017,D-II,Minot St.,St. Cloud St.,RUSHING,,Team,LONG,0
17276021,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,Z,Cunha,CP-ATT-INT,12-29-0
17276022,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,Z,Cunha,YDS,186
17276023,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,Z,Cunha,TD,0
17276024,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,Z,Cunha,LONG,44
17276025,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,L,Bushnell,CP-ATT-INT,0-1-0
17276026,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,L,Bushnell,YDS,0
17276027,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,L,Bushnell,TD,0
17276028,11/11/2017,D-II,Minot St.,St. Cloud St.,PASSING,L,Bushnell,LONG,0
17276029,11/11/2017,D-II,Minot St.,St. Cloud St.,RECEIVING,C,Beeston,REC,2
17276030,11/11/2017,D-II,Minot St.,St. Cloud St.,RECEIVING,C,Beeston,YDS,59
17276031,11/11/2017,D-II,Minot St.,St. Cloud St.,RECEIVING,C,Beeston,TD,0
17276032,11/11/2017,D-II,Minot St.,St. Cloud St.,RECEIVING,C,Beeston,LONG,44
17276033,11/11/2017,D-II,Minot St.,St. Cloud St.,RECEIVING,L,Overstreet,REC,2
17276034,11/11/2017,D-II,Minot St.,St. Cloud St.,RECEIVING,L,Overstreet,YDS,34
