ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16403001,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,14
16403002,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,68
16403003,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,1
16403004,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,21
16403005,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,7
16403006,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,53
16403007,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,0
16403008,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,22
16403009,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,8
16403010,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,49
16403011,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,0
16403012,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,15
16403013,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,4
16403014,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,5
16403015,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,0
16403016,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,3
16403017,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,1
16403018,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,-4
16403019,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,0
16403020,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,0
16403021,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,2
16403022,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,-4
16403023,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,0
16403024,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,0
16403025,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,ATT,4
16403026,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,YDS,-5
16403027,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,TD,1
16403028,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RUSHING,,Team,LONG,5
16403029,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,CP-ATT-INT,21-29-0
16403030,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,YDS,245
16403031,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,TD,2
16403032,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,LONG,40
16403033,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,CP-ATT-INT,6-7-0
16403034,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,YDS,80
16403035,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,TD,1
16403036,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,PASSING,,Team,LONG,28
16403037,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,REC,6
16403038,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,YDS,83
16403039,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,TD,0
16403040,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,LONG,40
16403041,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,REC,2
16403042,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,YDS,51
16403043,8/31/2017,D-II,Fort Hays State,Mo. Southern St.,RECEIVING,,Team,TD,1
