ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16606001,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Nelson,Brown,ATT,20
16606002,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Nelson,Brown,YDS,140
16606003,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Nelson,Brown,TD,0
16606004,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Nelson,Brown,LONG,27
16606005,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Darnell,Jackson,ATT,9
16606006,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Darnell,Jackson,YDS,40
16606007,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Darnell,Jackson,TD,0
16606008,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Darnell,Jackson,LONG,11
16606009,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Xzavion,Huff,ATT,5
16606010,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Xzavion,Huff,YDS,15
16606011,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Xzavion,Huff,TD,0
16606012,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Xzavion,Huff,LONG,7
16606013,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Brad,mJones,ATT,2
16606014,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Brad,mJones,YDS,9
16606015,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Brad,mJones,TD,0
16606016,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Brad,mJones,LONG,6
16606017,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Jarrod,Kellar,ATT,1
16606018,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Jarrod,Kellar,YDS,-8
16606019,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Jarrod,Kellar,TD,0
16606020,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RUSHING,Jarrod,Kellar,LONG,0
16606021,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,PASSING,Jarrod,Kellar,CP-ATT-INT,25-51-0
16606022,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,PASSING,Jarrod,Kellar,YDS,289
16606023,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,PASSING,Jarrod,Kellar,TD,4
16606024,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,PASSING,Jarrod,Kellar,LONG,35
16606025,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RECEIVING,Tj,Smith,REC,5
16606026,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RECEIVING,Tj,Smith,YDS,95
16606027,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RECEIVING,Tj,Smith,TD,1
16606028,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RECEIVING,Tj,Smith,LONG,35
16606029,9/16/2017,D-II,Lenoir-Rhyne,Mars Hill,RECEIVING,Saaehim,Brooks,REC,6
