ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16617001,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Jaquan,Hardy,ATT,14
16617002,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Jaquan,Hardy,YDS,91
16617003,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Jaquan,Hardy,TD,1
16617004,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Jaquan,Hardy,LONG,26
16617005,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Nick,Watson,ATT,10
16617006,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Nick,Watson,YDS,28
16617007,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Nick,Watson,TD,0
16617008,9/16/2017,D-II,Tiffin,Davenport,RUSHING,Nick,Watson,LONG,10
16617009,9/16/2017,D-II,Tiffin,Davenport,RUSHING,H,Rockwell,ATT,11
16617010,9/16/2017,D-II,Tiffin,Davenport,RUSHING,H,Rockwell,YDS,20
16617011,9/16/2017,D-II,Tiffin,Davenport,RUSHING,H,Rockwell,TD,0
16617012,9/16/2017,D-II,Tiffin,Davenport,RUSHING,H,Rockwell,LONG,6
16617013,9/16/2017,D-II,Tiffin,Davenport,PASSING,Nick,Watson,CP-ATT-INT,11-22-0
16617014,9/16/2017,D-II,Tiffin,Davenport,PASSING,Nick,Watson,YDS,170
16617015,9/16/2017,D-II,Tiffin,Davenport,PASSING,Nick,Watson,TD,1
16617016,9/16/2017,D-II,Tiffin,Davenport,PASSING,Nick,Watson,LONG,44
16617017,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tyler,Denton,REC,7
16617018,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tyler,Denton,YDS,96
16617019,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tyler,Denton,TD,1
16617020,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tyler,Denton,LONG,44
16617021,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Jalen,Santoro,REC,2
16617022,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Jalen,Santoro,YDS,37
16617023,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Jalen,Santoro,TD,0
16617024,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Jalen,Santoro,LONG,22
16617025,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,H,Rockwell,REC,1
16617026,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,H,Rockwell,YDS,35
16617027,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,H,Rockwell,TD,0
16617028,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,H,Rockwell,LONG,35
16617029,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tony,Shead,REC,1
16617030,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tony,Shead,YDS,2
16617031,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tony,Shead,TD,0
16617032,9/16/2017,D-II,Tiffin,Davenport,RECEIVING,Tony,Shead,LONG,2
16617033,9/16/2017,D-II,Tiffin,Davenport,PUNTING,Harry,Mccollum,NO,8
16617034,9/16/2017,D-II,Tiffin,Davenport,PUNTING,Harry,Mccollum,YDS,295
16617035,9/16/2017,D-II,Tiffin,Davenport,PUNTING,Harry,Mccollum,AVG,36.9
16617036,9/16/2017,D-II,Tiffin,Davenport,PUNTING,Harry,Mccollum,LONG,42
16617037,9/16/2017,D-II,Tiffin,Davenport,PUNT RETURNS,Tyler,Denton,NO,1
16617038,9/16/2017,D-II,Tiffin,Davenport,PUNT RETURNS,Tyler,Denton,YDS,9
16617039,9/16/2017,D-II,Tiffin,Davenport,PUNT RETURNS,Tyler,Denton,AVG,9.0
16617040,9/16/2017,D-II,Tiffin,Davenport,PUNT RETURNS,Tyler,Denton,LONG,9
16617041,9/16/2017,D-II,Tiffin,Davenport,KICK RETURNS,Jaquan,Hardy,NO,2
16617042,9/16/2017,D-II,Tiffin,Davenport,KICK RETURNS,Jaquan,Hardy,YDS,14
