ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16653001,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Kerrion,Moore,ATT,19
16653002,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Kerrion,Moore,YDS,129
16653003,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Kerrion,Moore,TD,1
16653004,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Kerrion,Moore,LONG,33
16653005,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Farr,Murchinson,ATT,12
16653006,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Farr,Murchinson,YDS,77
16653007,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Farr,Murchinson,TD,0
16653008,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Farr,Murchinson,LONG,40
16653009,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Rod,Tinsley,ATT,4
16653010,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Rod,Tinsley,YDS,24
16653011,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Rod,Tinsley,TD,1
16653012,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Rod,Tinsley,LONG,21
16653013,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jah,Linebarger,ATT,2
16653014,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jah,Linebarger,YDS,14
16653015,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jah,Linebarger,TD,0
16653016,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jah,Linebarger,LONG,9
16653017,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Xavier,Quick,ATT,3
16653018,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Xavier,Quick,YDS,13
16653019,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Xavier,Quick,TD,0
16653020,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Xavier,Quick,LONG,11
16653021,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jaylan,Barbour,ATT,1
16653022,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jaylan,Barbour,YDS,4
16653023,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jaylan,Barbour,TD,0
16653024,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,Jaylan,Barbour,LONG,4
16653025,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,,Team,ATT,2
16653026,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,,Team,YDS,-2
16653027,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,,Team,TD,0
16653028,9/16/2017,D-II,Winston-Salem,Virginia Union,RUSHING,,Team,LONG,0
16653029,9/16/2017,D-II,Winston-Salem,Virginia Union,PASSING,Rod,Tinsley,CP-ATT-INT,9-26-2
16653030,9/16/2017,D-II,Winston-Salem,Virginia Union,PASSING,Rod,Tinsley,YDS,62
16653031,9/16/2017,D-II,Winston-Salem,Virginia Union,PASSING,Rod,Tinsley,TD,1
16653032,9/16/2017,D-II,Winston-Salem,Virginia Union,PASSING,Rod,Tinsley,LONG,16
16653033,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Kerrion,Moore,REC,4
16653034,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Kerrion,Moore,YDS,38
16653035,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Kerrion,Moore,TD,0
16653036,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Kerrion,Moore,LONG,16
16653037,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Will,Walton,REC,2
16653038,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Will,Walton,YDS,13
16653039,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Will,Walton,TD,0
16653040,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Will,Walton,LONG,10
16653041,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Quincy,Jackson,REC,1
16653042,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Quincy,Jackson,YDS,9
16653043,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Quincy,Jackson,TD,0
16653044,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Quincy,Jackson,LONG,9
16653045,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Darren,Dowdell,REC,1
16653046,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Darren,Dowdell,YDS,5
16653047,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Darren,Dowdell,TD,1
16653048,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Darren,Dowdell,LONG,5
16653049,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Jaylan,Barbour,REC,1
16653050,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Jaylan,Barbour,YDS,-3
16653051,9/16/2017,D-II,Winston-Salem,Virginia Union,RECEIVING,Jaylan,Barbour,TD,0
