ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16454001,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,K,Henderson,ATT,14
16454002,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,K,Henderson,YDS,85
16454003,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,K,Henderson,TD,0
16454004,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,K,Henderson,LONG,35
16454005,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Cedric,Cooper,ATT,12
16454006,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Cedric,Cooper,YDS,46
16454007,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Cedric,Cooper,TD,1
16454008,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Cedric,Cooper,LONG,16
16454009,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Casey,Freeman,ATT,4
16454010,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Casey,Freeman,YDS,33
16454011,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Casey,Freeman,TD,0
16454012,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Casey,Freeman,LONG,14
16454013,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Joel,Blumenthal,ATT,4
16454014,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Joel,Blumenthal,YDS,10
16454015,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Joel,Blumenthal,TD,0
16454016,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Joel,Blumenthal,LONG,9
16454017,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Sheldon,Wilson,ATT,3
16454018,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Sheldon,Wilson,YDS,10
16454019,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Sheldon,Wilson,TD,0
16454020,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Sheldon,Wilson,LONG,8
16454021,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Tyler,Marr,ATT,3
16454022,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Tyler,Marr,YDS,4
16454023,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Tyler,Marr,TD,0
16454024,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RUSHING,Tyler,Marr,LONG,2
16454025,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Casey,Freeman,CP-ATT-INT,11-24-1
16454026,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Casey,Freeman,YDS,110
16454027,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Casey,Freeman,TD,1
16454028,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Casey,Freeman,LONG,42
16454029,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Tyler,Marr,CP-ATT-INT,2-3-0
16454030,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Tyler,Marr,YDS,24
16454031,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Tyler,Marr,TD,1
16454032,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Tyler,Marr,LONG,22
16454033,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Joel,Blumenthal,CP-ATT-INT,1-1-0
16454034,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Joel,Blumenthal,YDS,5
16454035,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Joel,Blumenthal,TD,0
16454036,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,PASSING,Joel,Blumenthal,LONG,5
16454037,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jordan,Jackson,REC,1
16454038,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jordan,Jackson,YDS,42
16454039,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jordan,Jackson,TD,1
16454040,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jordan,Jackson,LONG,42
16454041,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Dylan,Power,REC,4
16454042,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Dylan,Power,YDS,31
16454043,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Dylan,Power,TD,0
16454044,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Dylan,Power,LONG,17
16454045,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Zach,Hill,REC,2
16454046,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Zach,Hill,YDS,23
16454047,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Zach,Hill,TD,1
16454048,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Zach,Hill,LONG,22
16454049,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jr,Omigie,REC,2
16454050,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jr,Omigie,YDS,18
16454051,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jr,Omigie,TD,0
16454052,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jr,Omigie,LONG,13
16454053,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Cedric,Cooper,REC,1
16454054,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Cedric,Cooper,YDS,14
16454055,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Cedric,Cooper,TD,0
16454056,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Cedric,Cooper,LONG,14
16454057,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,K,Henderson,REC,2
16454058,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,K,Henderson,YDS,9
16454059,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,K,Henderson,TD,0
16454060,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,K,Henderson,LONG,10
16454061,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,E,thomasIv,REC,1
16454062,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,E,thomasIv,YDS,2
16454063,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,E,thomasIv,TD,0
16454064,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,E,thomasIv,LONG,2
16454065,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jared,Rayburn,REC,1
16454066,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jared,Rayburn,YDS,0
16454067,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jared,Rayburn,TD,0
16454068,9/2/2017,D-II,S'western Okla.,Ark.-Monticello,RECEIVING,Jared,Rayburn,LONG,0
