ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16711001,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Ej,Thompson,ATT,8
16711002,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Ej,Thompson,YDS,21
16711003,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Ej,Thompson,TD,0
16711004,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Ej,Thompson,LONG,9
16711005,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Darrius,Webb,ATT,4
16711006,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Darrius,Webb,YDS,19
16711007,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Darrius,Webb,TD,0
16711008,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Darrius,Webb,LONG,10
16711009,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Carandal,Hale,ATT,7
16711010,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Carandal,Hale,YDS,13
16711011,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Carandal,Hale,TD,0
16711012,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Carandal,Hale,LONG,5
16711013,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,,Team,ATT,1
16711014,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,,Team,YDS,-1
16711015,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,,Team,TD,0
16711016,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,,Team,LONG,0
16711017,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,G,Rodriguez,ATT,4
16711018,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,G,Rodriguez,YDS,-3
16711019,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,G,Rodriguez,TD,1
16711020,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,G,Rodriguez,LONG,2
16711021,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Luis,Perez,ATT,4
16711022,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Luis,Perez,YDS,-26
16711023,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Luis,Perez,TD,0
16711024,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,RUSHING,Luis,Perez,LONG,0
16711025,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,PASSING,Luis,Perez,CP-ATT-INT,24-32-0
16711026,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,PASSING,Luis,Perez,YDS,319
16711027,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,PASSING,Luis,Perez,TD,4
16711028,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,PASSING,Luis,Perez,LONG,55
16711029,9/23/2017,D-II,Texas A&M-Comm.,Texas A&M-King.,PASSING,G,Rodriguez,CP-ATT-INT,2-3-0
