ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
16502001,9/7/2017,D-II,West Alabama,Samford,RUSHING,,Team,ATT,24
16502002,9/7/2017,D-II,West Alabama,Samford,RUSHING,,Team,YDS,58
16502003,9/7/2017,D-II,West Alabama,Samford,RUSHING,,Team,TD,2
16502004,9/7/2017,D-II,West Alabama,Samford,RUSHING,,Team,LONG,31
16502005,9/7/2017,D-II,West Alabama,Samford,PASSING,,Team,CP-ATT-INT,37-54-2
16502006,9/7/2017,D-II,West Alabama,Samford,PASSING,,Team,YDS,464
16502007,9/7/2017,D-II,West Alabama,Samford,PASSING,,Team,TD,3
16502008,9/7/2017,D-II,West Alabama,Samford,PASSING,,Team,LONG,63
16502009,9/7/2017,D-II,West Alabama,Samford,RECEIVING,,Team,REC,37
16502010,9/7/2017,D-II,West Alabama,Samford,RECEIVING,,Team,YDS,464
16502011,9/7/2017,D-II,West Alabama,Samford,RECEIVING,,Team,TD,3
16502012,9/7/2017,D-II,West Alabama,Samford,RECEIVING,,Team,LONG,63
16502013,9/7/2017,D-II,West Alabama,Samford,KICKING,,Team,FG-FGA,0/0
16502014,9/7/2017,D-II,West Alabama,Samford,KICKING,,Team,LONG,-
16502015,9/7/2017,D-II,West Alabama,Samford,KICKING,,Team,XP,5
16502016,9/7/2017,D-II,West Alabama,Samford,KICKING,,Team,PTS,5
16502017,9/7/2017,D-II,West Alabama,Samford,PUNTING,,Team,NO,9
16502018,9/7/2017,D-II,West Alabama,Samford,PUNTING,,Team,YDS,362
16502019,9/7/2017,D-II,West Alabama,Samford,PUNTING,,Team,AVG,40.2
16502020,9/7/2017,D-II,West Alabama,Samford,PUNTING,,Team,LONG,110
16502021,9/7/2017,D-II,West Alabama,Samford,PUNT RETURNS,,Team,NO,5
16502022,9/7/2017,D-II,West Alabama,Samford,PUNT RETURNS,,Team,YDS,80
16502023,9/7/2017,D-II,West Alabama,Samford,PUNT RETURNS,,Team,AVG,16.0
16502024,9/7/2017,D-II,West Alabama,Samford,PUNT RETURNS,,Team,LONG,60
16502025,9/7/2017,D-II,West Alabama,Samford,KICK RETURNS,,Team,NO,6
16502026,9/7/2017,D-II,West Alabama,Samford,KICK RETURNS,,Team,YDS,139
16502027,9/7/2017,D-II,West Alabama,Samford,KICK RETURNS,,Team,AVG,23.2
16502028,9/7/2017,D-II,West Alabama,Samford,KICK RETURNS,,Team,LONG,75
16502029,9/7/2017,D-II,Samford,West Alabama,RUSHING,Roland,Adams,ATT,12
16502030,9/7/2017,D-II,Samford,West Alabama,RUSHING,Roland,Adams,YDS,53
16502031,9/7/2017,D-II,Samford,West Alabama,RUSHING,Roland,Adams,TD,0
16502032,9/7/2017,D-II,Samford,West Alabama,RUSHING,Roland,Adams,LONG,24
16502033,9/7/2017,D-II,Samford,West Alabama,RUSHING,Devlin,Hodges,ATT,10
16502034,9/7/2017,D-II,Samford,West Alabama,RUSHING,Devlin,Hodges,YDS,51
16502035,9/7/2017,D-II,Samford,West Alabama,RUSHING,Devlin,Hodges,TD,1
16502036,9/7/2017,D-II,Samford,West Alabama,RUSHING,Devlin,Hodges,LONG,25
16502037,9/7/2017,D-II,Samford,West Alabama,RUSHING,Treyvon,Paulk,ATT,7
16502038,9/7/2017,D-II,Samford,West Alabama,RUSHING,Treyvon,Paulk,YDS,11
16502039,9/7/2017,D-II,Samford,West Alabama,RUSHING,Treyvon,Paulk,TD,0
16502040,9/7/2017,D-II,Samford,West Alabama,RUSHING,Treyvon,Paulk,LONG,8
16502041,9/7/2017,D-II,Samford,West Alabama,RUSHING,Kelvin,McKnight,ATT,1
16502042,9/7/2017,D-II,Samford,West Alabama,RUSHING,Kelvin,McKnight,YDS,5
16502043,9/7/2017,D-II,Samford,West Alabama,RUSHING,Kelvin,McKnight,TD,0
16502044,9/7/2017,D-II,Samford,West Alabama,RUSHING,Kelvin,McKnight,LONG,5
16502045,9/7/2017,D-II,Samford,West Alabama,RUSHING,Moise,Satine,ATT,1
16502046,9/7/2017,D-II,Samford,West Alabama,RUSHING,Moise,Satine,YDS,2
16502047,9/7/2017,D-II,Samford,West Alabama,RUSHING,Moise,Satine,TD,0
16502048,9/7/2017,D-II,Samford,West Alabama,RUSHING,Moise,Satine,LONG,2
16502049,9/7/2017,D-II,Samford,West Alabama,PASSING,Devlin,Hodges,CP-ATT-INT,30-47-1
16502050,9/7/2017,D-II,Samford,West Alabama,PASSING,Devlin,Hodges,YDS,317
16502051,9/7/2017,D-II,Samford,West Alabama,PASSING,Devlin,Hodges,TD,3
16502052,9/7/2017,D-II,Samford,West Alabama,PASSING,Devlin,Hodges,LONG,57
16502053,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Kelvin,McKnight,REC,13
16502054,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Kelvin,McKnight,YDS,136
16502055,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Kelvin,McKnight,TD,2
16502056,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Kelvin,McKnight,LONG,32
16502057,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Andrew,Harris,REC,3
16502058,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Andrew,Harris,YDS,96
16502059,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Andrew,Harris,TD,1
16502060,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Andrew,Harris,LONG,57
16502061,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Yassar,El-Amin,REC,3
16502062,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Yassar,El-Amin,YDS,34
16502063,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Yassar,El-Amin,TD,0
16502064,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Yassar,El-Amin,LONG,21
16502065,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Chris,Shelling,REC,6
16502066,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Chris,Shelling,YDS,29
16502067,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Chris,Shelling,TD,0
16502068,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Chris,Shelling,LONG,11
16502069,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Jai'Rus,Creamer,REC,1
16502070,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Jai'Rus,Creamer,YDS,12
16502071,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Jai'Rus,Creamer,TD,0
16502072,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Jai'Rus,Creamer,LONG,12
16502073,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Treyvon,Paulk,REC,2
16502074,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Treyvon,Paulk,YDS,6
16502075,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Treyvon,Paulk,TD,0
16502076,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Treyvon,Paulk,LONG,4
16502077,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Justin,Curry,REC,1
16502078,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Justin,Curry,YDS,4
16502079,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Justin,Curry,TD,0
16502080,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Justin,Curry,LONG,4
16502081,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Roland,Adams,REC,1
16502082,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Roland,Adams,YDS,0
16502083,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Roland,Adams,TD,0
16502084,9/7/2017,D-II,Samford,West Alabama,RECEIVING,Roland,Adams,LONG,0
16502085,9/7/2017,D-II,Samford,West Alabama,KICKING,Jordan,Weaver,FG-FGA,0/0
16502086,9/7/2017,D-II,Samford,West Alabama,KICKING,Jordan,Weaver,LONG,-
16502087,9/7/2017,D-II,Samford,West Alabama,KICKING,Jordan,Weaver,XP,7
16502088,9/7/2017,D-II,Samford,West Alabama,KICKING,Jordan,Weaver,PTS,7
16502089,9/7/2017,D-II,Samford,West Alabama,PUNTING,Austin,Barnard,NO,9
16502090,9/7/2017,D-II,Samford,West Alabama,PUNTING,Austin,Barnard,YDS,395
16502091,9/7/2017,D-II,Samford,West Alabama,PUNTING,Austin,Barnard,AVG,43.9
16502092,9/7/2017,D-II,Samford,West Alabama,PUNTING,Austin,Barnard,LONG,52
16502093,9/7/2017,D-II,Samford,West Alabama,PUNT RETURNS,Kelvin,McKnight,NO,3
16502094,9/7/2017,D-II,Samford,West Alabama,PUNT RETURNS,Kelvin,McKnight,YDS,24
16502095,9/7/2017,D-II,Samford,West Alabama,PUNT RETURNS,Kelvin,McKnight,AVG,8.0
16502096,9/7/2017,D-II,Samford,West Alabama,PUNT RETURNS,Kelvin,McKnight,LONG,24
16502097,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Darius,Harvey,NO,5
16502098,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Darius,Harvey,YDS,159
16502099,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Darius,Harvey,AVG,31.8
16502100,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Darius,Harvey,LONG,93
16502101,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Treyvon,Paulk,NO,1
16502102,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Treyvon,Paulk,YDS,23
16502103,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Treyvon,Paulk,AVG,23.0
16502104,9/7/2017,D-II,Samford,West Alabama,KICK RETURNS,Treyvon,Paulk,LONG,23
