ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17907001,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,E,Fairweather,ATT,17
17907002,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,E,Fairweather,YDS,96
17907003,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,E,Fairweather,TD,0
17907004,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,E,Fairweather,LONG,27
17907005,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,T-a,Felton,ATT,7
17907006,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,T-a,Felton,YDS,12
17907007,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,T-a,Felton,TD,0
17907008,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,T-a,Felton,LONG,3
17907009,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,,Team,ATT,3
17907010,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,,Team,YDS,8
17907011,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,,Team,TD,0
17907012,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,,Team,LONG,6
17907013,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,Charles,Elliott,ATT,2
17907014,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,Charles,Elliott,YDS,2
17907015,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,Charles,Elliott,TD,0
17907016,10/13/2018,D-II,St. Anselm,LIU Post,RUSHING,Charles,Elliott,LONG,2
17907017,10/13/2018,D-II,St. Anselm,LIU Post,PASSING,E,Fairweather,CP-ATT-INT,20-47-3
17907018,10/13/2018,D-II,St. Anselm,LIU Post,PASSING,E,Fairweather,YDS,152
17907019,10/13/2018,D-II,St. Anselm,LIU Post,PASSING,E,Fairweather,TD,0
17907020,10/13/2018,D-II,St. Anselm,LIU Post,PASSING,E,Fairweather,LONG,27
17907021,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Kyle,Hill,REC,3
17907022,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Kyle,Hill,YDS,42
17907023,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Kyle,Hill,TD,0
17907024,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Kyle,Hill,LONG,27
17907025,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Shawn,Donovan,REC,7
17907026,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Shawn,Donovan,YDS,37
17907027,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Shawn,Donovan,TD,0
17907028,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Shawn,Donovan,LONG,10
17907029,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Justin,Williams,REC,3
17907030,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Justin,Williams,YDS,24
17907031,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Justin,Williams,TD,0
17907032,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Justin,Williams,LONG,11
17907033,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Robert,Green,REC,1
17907034,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Robert,Green,YDS,16
17907035,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Robert,Green,TD,0
17907036,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Robert,Green,LONG,16
17907037,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,T-a,Felton,REC,1
17907038,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,T-a,Felton,YDS,14
17907039,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,T-a,Felton,TD,0
17907040,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,T-a,Felton,LONG,14
17907041,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Charles,Elliott,REC,4
17907042,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Charles,Elliott,YDS,10
17907043,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Charles,Elliott,TD,0
17907044,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,Charles,Elliott,LONG,7
17907045,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,N,Fiorillo,REC,1
17907046,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,N,Fiorillo,YDS,9
17907047,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,N,Fiorillo,TD,0
17907048,10/13/2018,D-II,St. Anselm,LIU Post,RECEIVING,N,Fiorillo,LONG,9
17907049,10/13/2018,D-II,St. Anselm,LIU Post,PUNTING,Joey,Cody,NO,5
17907050,10/13/2018,D-II,St. Anselm,LIU Post,PUNTING,Joey,Cody,YDS,171
17907051,10/13/2018,D-II,St. Anselm,LIU Post,PUNTING,Joey,Cody,AVG,34.2
17907052,10/13/2018,D-II,St. Anselm,LIU Post,PUNTING,Joey,Cody,LONG,40
17907053,10/13/2018,D-II,St. Anselm,LIU Post,PUNTING,,Team,NO,1
