ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18009001,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,T,Freeman,ATT,26
18009002,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,T,Freeman,YDS,157
18009003,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,T,Freeman,TD,2
18009004,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,T,Freeman,LONG,22
18009005,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,B,Witt,ATT,10
18009006,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,B,Witt,YDS,52
18009007,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,B,Witt,TD,1
18009008,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,B,Witt,LONG,24
18009009,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,Br,Hughes,ATT,9
18009010,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,Br,Hughes,YDS,51
18009011,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,Br,Hughes,TD,1
18009012,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,Br,Hughes,LONG,18
18009013,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,S,Harkless,ATT,3
18009014,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,S,Harkless,YDS,8
18009015,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,S,Harkless,TD,0
18009016,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,S,Harkless,LONG,9
18009017,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,M,Offutt,ATT,2
18009018,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,M,Offutt,YDS,-3
18009019,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,M,Offutt,TD,0
18009020,10/20/2018,D-II,Chowan,Elizabeth City St.,RUSHING,M,Offutt,LONG,6
18009021,10/20/2018,D-II,Chowan,Elizabeth City St.,PASSING,B,Witt,CP-ATT-INT,17-32-1
18009022,10/20/2018,D-II,Chowan,Elizabeth City St.,PASSING,B,Witt,YDS,285
18009023,10/20/2018,D-II,Chowan,Elizabeth City St.,PASSING,B,Witt,TD,2
18009024,10/20/2018,D-II,Chowan,Elizabeth City St.,PASSING,B,Witt,LONG,49
18009025,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,P,Gooden,REC,7
18009026,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,P,Gooden,YDS,101
18009027,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,P,Gooden,TD,1
18009028,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,P,Gooden,LONG,39
18009029,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,I,Watkins,REC,2
18009030,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,I,Watkins,YDS,53
18009031,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,I,Watkins,TD,0
18009032,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,I,Watkins,LONG,31
18009033,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,To,Baker,REC,1
18009034,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,To,Baker,YDS,49
18009035,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,To,Baker,TD,0
18009036,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,To,Baker,LONG,49
18009037,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,B,Hopper,REC,3
18009038,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,B,Hopper,YDS,44
18009039,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,B,Hopper,TD,1
18009040,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,B,Hopper,LONG,22
18009041,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,Br,Hughes,REC,3
18009042,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,Br,Hughes,YDS,27
18009043,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,Br,Hughes,TD,0
18009044,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,Br,Hughes,LONG,18
18009045,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,A,Mcneil,REC,1
18009046,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,A,Mcneil,YDS,11
18009047,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,A,Mcneil,TD,0
18009048,10/20/2018,D-II,Chowan,Elizabeth City St.,RECEIVING,A,Mcneil,LONG,11
18009049,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNTING,J,Kight,NO,5
18009050,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNTING,J,Kight,YDS,199
18009051,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNTING,J,Kight,AVG,39.8
18009052,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNTING,J,Kight,LONG,48
18009053,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,P,Gooden,NO,2
18009054,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,P,Gooden,YDS,40
18009055,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,P,Gooden,AVG,20.0
18009056,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,P,Gooden,LONG,26
18009057,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,J,Hampton,NO,1
18009058,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,J,Hampton,YDS,0
18009059,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,J,Hampton,AVG,0.0
18009060,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,J,Hampton,LONG,0
18009061,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,K,Perry,NO,1
18009062,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,K,Perry,YDS,10
18009063,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,K,Perry,AVG,10.0
18009064,10/20/2018,D-II,Chowan,Elizabeth City St.,PUNT RETURNS,K,Perry,LONG,10
18009065,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,M,Offutt,NO,1
18009066,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,M,Offutt,YDS,15
18009067,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,M,Offutt,AVG,15.0
18009068,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,M,Offutt,LONG,15
18009069,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,A,Edwards,NO,1
18009070,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,A,Edwards,YDS,17
18009071,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,A,Edwards,AVG,17.0
18009072,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,A,Edwards,LONG,17
18009073,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,K,Perry,NO,2
18009074,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,K,Perry,YDS,23
18009075,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,K,Perry,AVG,11.5
18009076,10/20/2018,D-II,Chowan,Elizabeth City St.,KICK RETURNS,K,Perry,LONG,12
18009077,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,TOT,2
18009078,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,SOLO,
18009079,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,SACKS,2
18009080,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,TFL,
18009081,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,INT,
18009082,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,FF,1
18009083,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,G,Parker,FR,
18009084,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,TOT,3
18009085,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,SOLO,
18009086,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,SACKS,3
18009087,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,TFL,
18009088,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,INT,
18009089,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,FF,
18009090,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,D,Terry,FR,1
18009091,10/20/2018,D-II,Chowan,Elizabeth City St.,DEFENSE,J,Hampton,TOT,1
