ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17789001,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Malik,Saunders,ATT,15
17789002,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Malik,Saunders,YDS,131
17789003,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Malik,Saunders,TD,0
17789004,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Malik,Saunders,LONG,29
17789005,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Michael,Nero,ATT,15
17789006,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Michael,Nero,YDS,101
17789007,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Michael,Nero,TD,0
17789008,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Michael,Nero,LONG,19
17789009,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Jules,stGe,ATT,14
17789010,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Jules,stGe,YDS,80
17789011,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Jules,stGe,TD,3
17789012,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Jules,stGe,LONG,19
17789013,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Cort,Groathouse,ATT,1
17789014,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Cort,Groathouse,YDS,7
17789015,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Cort,Groathouse,TD,1
17789016,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Cort,Groathouse,LONG,7
17789017,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Brenan,Lawler,ATT,2
17789018,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Brenan,Lawler,YDS,4
17789019,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Brenan,Lawler,TD,0
17789020,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,Brenan,Lawler,LONG,2
17789021,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,,Team,ATT,1
17789022,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,,Team,YDS,-16
17789023,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,,Team,TD,0
17789024,10/6/2018,D-II,Kentucky St.,West Virginia St.,RUSHING,,Team,LONG,0
17789025,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Jules,stGe,CP-ATT-INT,3-16-1
17789026,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Jules,stGe,YDS,24
17789027,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Jules,stGe,TD,0
17789028,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Jules,stGe,LONG,18
17789029,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Paul,Campbell,CP-ATT-INT,1-2-0
17789030,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Paul,Campbell,YDS,3
17789031,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Paul,Campbell,TD,0
17789032,10/6/2018,D-II,Kentucky St.,West Virginia St.,PASSING,Paul,Campbell,LONG,3
