ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17825001,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Jay,Baker,ATT,3
17825002,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Jay,Baker,YDS,11
17825003,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Jay,Baker,TD,0
17825004,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Jay,Baker,LONG,7
17825005,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,T,Overstreet,ATT,6
17825006,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,T,Overstreet,YDS,9
17825007,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,T,Overstreet,TD,0
17825008,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,T,Overstreet,LONG,8
17825009,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Craig,Davis,ATT,4
17825010,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Craig,Davis,YDS,3
17825011,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Craig,Davis,TD,0
17825012,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Craig,Davis,LONG,2
17825013,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Kevin,Jackson,ATT,4
17825014,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Kevin,Jackson,YDS,1
17825015,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Kevin,Jackson,TD,0
17825016,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Kevin,Jackson,LONG,5
17825017,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,,Team,ATT,1
17825018,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,,Team,YDS,-1
17825019,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,,Team,TD,0
17825020,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,,Team,LONG,0
17825021,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Boo,Mcknight,ATT,2
17825022,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Boo,Mcknight,YDS,-3
17825023,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Boo,Mcknight,TD,0
17825024,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Boo,Mcknight,LONG,1
17825025,10/6/2018,D-II,Northeastern St.,Washburn,RUSHING,Jake,Pruitt,ATT,9
