ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18212001,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,D,Larson,ATT,2
18212002,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,D,Larson,YDS,19
18212003,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,D,Larson,TD,0
18212004,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,D,Larson,LONG,16
18212005,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,Z,Culbreath,ATT,6
18212006,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,Z,Culbreath,YDS,16
18212007,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,Z,Culbreath,TD,0
18212008,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,Z,Culbreath,LONG,8
18212009,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,H,Trautman,ATT,9
18212010,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,H,Trautman,YDS,3
18212011,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,H,Trautman,TD,0
18212012,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,H,Trautman,LONG,9
18212013,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,C,Kelly,ATT,2
18212014,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,C,Kelly,YDS,1
18212015,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,C,Kelly,TD,1
18212016,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,C,Kelly,LONG,1
18212017,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,J,Taylor,ATT,1
18212018,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,J,Taylor,YDS,-9
18212019,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,J,Taylor,TD,0
18212020,11/10/2018,D-II,Northern St.,Minn. Duluth,RUSHING,J,Taylor,LONG,0
18212021,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,H,Trautman,CP-ATT-INT,12-26-1
18212022,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,H,Trautman,YDS,214
18212023,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,H,Trautman,TD,1
18212024,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,H,Trautman,LONG,80
18212025,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,J,Taylor,CP-ATT-INT,2-3-0
18212026,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,J,Taylor,YDS,22
18212027,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,J,Taylor,TD,0
18212028,11/10/2018,D-II,Northern St.,Minn. Duluth,PASSING,J,Taylor,LONG,14
18212029,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,B,Bauer,REC,3
18212030,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,B,Bauer,YDS,92
18212031,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,B,Bauer,TD,1
18212032,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,B,Bauer,LONG,80
18212033,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,D,Larson,REC,4
18212034,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,D,Larson,YDS,46
18212035,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,D,Larson,TD,0
18212036,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,D,Larson,LONG,17
18212037,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,S,Johnson,REC,1
18212038,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,S,Johnson,YDS,39
18212039,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,S,Johnson,TD,0
18212040,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,S,Johnson,LONG,39
18212041,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,J,Streit,REC,3
18212042,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,J,Streit,YDS,35
18212043,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,J,Streit,TD,0
18212044,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,J,Streit,LONG,15
18212045,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,Z,Culbreath,REC,3
18212046,11/10/2018,D-II,Northern St.,Minn. Duluth,RECEIVING,Z,Culbreath,YDS,24
