ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18159001,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Josh,Maxwell,ATT,13
18159002,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Josh,Maxwell,YDS,111
18159003,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Josh,Maxwell,TD,0
18159004,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Josh,Maxwell,LONG,52
18159005,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kris,Copeland,ATT,8
18159006,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kris,Copeland,YDS,56
18159007,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kris,Copeland,TD,0
18159008,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kris,Copeland,LONG,29
18159009,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Adam,Fulton,ATT,2
18159010,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Adam,Fulton,YDS,11
18159011,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Adam,Fulton,TD,0
18159012,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Adam,Fulton,LONG,14
18159013,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Isaiah,Bowman,ATT,5
18159014,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Isaiah,Bowman,YDS,6
18159015,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Isaiah,Bowman,TD,0
18159016,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Isaiah,Bowman,LONG,8
18159017,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kyle,Akin,ATT,4
18159018,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kyle,Akin,YDS,-24
18159019,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kyle,Akin,TD,0
18159020,11/3/2018,D-II,Concord,Fairmont St.,RUSHING,Kyle,Akin,LONG,2
18159021,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Kyle,Akin,CP-ATT-INT,15-22-0
18159022,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Kyle,Akin,YDS,158
18159023,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Kyle,Akin,TD,1
18159024,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Kyle,Akin,LONG,21
18159025,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Adam,Fulton,CP-ATT-INT,4-13-0
18159026,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Adam,Fulton,YDS,32
18159027,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Adam,Fulton,TD,1
18159028,11/3/2018,D-II,Concord,Fairmont St.,PASSING,Adam,Fulton,LONG,14
18159029,11/3/2018,D-II,Concord,Fairmont St.,PASSING,,Team,CP-ATT-INT,0-1-0
18159030,11/3/2018,D-II,Concord,Fairmont St.,PASSING,,Team,YDS,0
18159031,11/3/2018,D-II,Concord,Fairmont St.,PASSING,,Team,TD,0
18159032,11/3/2018,D-II,Concord,Fairmont St.,PASSING,,Team,LONG,0
18159033,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Kris,Copeland,REC,9
18159034,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Kris,Copeland,YDS,67
18159035,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Kris,Copeland,TD,1
18159036,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Kris,Copeland,LONG,19
18159037,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Tywan,Pearce,REC,6
18159038,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Tywan,Pearce,YDS,67
18159039,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Tywan,Pearce,TD,1
18159040,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Tywan,Pearce,LONG,16
18159041,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Brandon,Plyler,REC,3
18159042,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Brandon,Plyler,YDS,47
18159043,11/3/2018,D-II,Concord,Fairmont St.,RECEIVING,Brandon,Plyler,TD,0
