ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17361001,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,K,Calhoon,ATT,15
17361002,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,K,Calhoon,YDS,63
17361003,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,K,Calhoon,TD,0
17361004,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,K,Calhoon,LONG,27
17361005,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,J,Curry,ATT,6
17361006,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,J,Curry,YDS,18
17361007,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,J,Curry,TD,0
17361008,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,J,Curry,LONG,13
17361009,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Garrett,ATT,5
17361010,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Garrett,YDS,13
17361011,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Garrett,TD,0
17361012,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Garrett,LONG,4
17361013,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,B,White,ATT,2
17361014,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,B,White,YDS,6
17361015,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,B,White,TD,0
17361016,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,B,White,LONG,4
17361017,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Mckenzie,ATT,1
17361018,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Mckenzie,YDS,-1
17361019,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Mckenzie,TD,0
17361020,8/30/2018,D-II,Central Okla.,Pittsburg St.,RUSHING,C,Mckenzie,LONG,0
17361021,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,K,Calhoon,CP-ATT-INT,12-29-1
17361022,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,K,Calhoon,YDS,123
17361023,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,K,Calhoon,TD,1
17361024,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,K,Calhoon,LONG,51
17361025,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,C,Garrett,CP-ATT-INT,1-2-0
17361026,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,C,Garrett,YDS,12
17361027,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,C,Garrett,TD,0
17361028,8/30/2018,D-II,Central Okla.,Pittsburg St.,PASSING,C,Garrett,LONG,12
17361029,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,L,Curry,REC,3
17361030,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,L,Curry,YDS,89
17361031,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,L,Curry,TD,1
17361032,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,L,Curry,LONG,51
17361033,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,J,Curry,REC,3
17361034,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,J,Curry,YDS,22
17361035,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,J,Curry,TD,0
17361036,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,J,Curry,LONG,12
17361037,8/30/2018,D-II,Central Okla.,Pittsburg St.,RECEIVING,M,Hall,REC,3
