ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17371001,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Wade,Sullivan,ATT,5
17371002,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Wade,Sullivan,YDS,96
17371003,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Wade,Sullivan,TD,1
17371004,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Wade,Sullivan,LONG,71
17371005,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Alex,Lasinski,ATT,6
17371006,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Alex,Lasinski,YDS,87
17371007,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Alex,Lasinski,TD,2
17371008,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Alex,Lasinski,LONG,64
17371009,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dain,Hudson,ATT,7
17371010,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dain,Hudson,YDS,71
17371011,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dain,Hudson,TD,0
17371012,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dain,Hudson,LONG,32
17371013,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,John,Larson,ATT,9
17371014,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,John,Larson,YDS,50
17371015,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,John,Larson,TD,1
17371016,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,John,Larson,LONG,19
17371017,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Zach,Ojile,ATT,4
17371018,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Zach,Ojile,YDS,36
17371019,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Zach,Ojile,TD,0
17371020,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Zach,Ojile,LONG,12
17371021,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Josh,Karfonta,ATT,3
17371022,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Josh,Karfonta,YDS,21
17371023,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Josh,Karfonta,TD,0
17371024,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Josh,Karfonta,LONG,15
17371025,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Ben,Everhart,ATT,2
17371026,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Ben,Everhart,YDS,9
17371027,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Ben,Everhart,TD,0
17371028,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Ben,Everhart,LONG,7
17371029,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Mike,Rybarczyk,ATT,2
17371030,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Mike,Rybarczyk,YDS,8
17371031,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Mike,Rybarczyk,TD,0
17371032,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Mike,Rybarczyk,LONG,7
17371033,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Bryce,Heim,ATT,2
17371034,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Bryce,Heim,YDS,4
17371035,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Bryce,Heim,TD,1
17371036,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Bryce,Heim,LONG,3
17371037,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dre,Greer,ATT,1
17371038,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dre,Greer,YDS,2
17371039,8/30/2018,D-II,Minn. Duluth,Minot St.,RUSHING,Dre,Greer,TD,1
