ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17445001,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Donshel,Jetton,ATT,10
17445002,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Donshel,Jetton,YDS,83
17445003,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Donshel,Jetton,TD,1
17445004,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Donshel,Jetton,LONG,18
17445005,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Stevie,Green,ATT,17
17445006,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Stevie,Green,YDS,78
17445007,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Stevie,Green,TD,1
17445008,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Stevie,Green,LONG,18
17445009,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Johnie,Glaspie,ATT,8
17445010,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Johnie,Glaspie,YDS,40
17445011,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Johnie,Glaspie,TD,0
17445012,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Johnie,Glaspie,LONG,11
17445013,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Andre,Wilson,ATT,5
17445014,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Andre,Wilson,YDS,22
17445015,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Andre,Wilson,TD,0
17445016,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Andre,Wilson,LONG,15
17445017,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Darnell,Walker,ATT,1
17445018,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Darnell,Walker,YDS,1
17445019,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Darnell,Walker,TD,1
17445020,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Darnell,Walker,LONG,1
17445021,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Collyn,Anderson,ATT,5
17445022,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Collyn,Anderson,YDS,-4
17445023,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Collyn,Anderson,TD,0
17445024,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Collyn,Anderson,LONG,10
17445025,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Brandon,Smith,ATT,1
17445026,9/1/2018,D-II,Fayetteville St.,Lincoln (PA),RUSHING,Brandon,Smith,YDS,-7
