ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17576001,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Craig,Reynolds,ATT,7
17576002,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Craig,Reynolds,YDS,80
17576003,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Craig,Reynolds,TD,1
17576004,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Craig,Reynolds,LONG,60
17576005,9/15/2018,D-II,Kutztown,Gannon,RUSHING,A,Neblett,ATT,9
17576006,9/15/2018,D-II,Kutztown,Gannon,RUSHING,A,Neblett,YDS,54
17576007,9/15/2018,D-II,Kutztown,Gannon,RUSHING,A,Neblett,TD,0
17576008,9/15/2018,D-II,Kutztown,Gannon,RUSHING,A,Neblett,LONG,15
17576009,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Eric,Nickel,ATT,9
17576010,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Eric,Nickel,YDS,44
17576011,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Eric,Nickel,TD,1
17576012,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Eric,Nickel,LONG,10
17576013,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Nate,Jones,ATT,2
17576014,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Nate,Jones,YDS,5
17576015,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Nate,Jones,TD,0
17576016,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Nate,Jones,LONG,5
17576017,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Collin,Digalbo,ATT,1
17576018,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Collin,Digalbo,YDS,2
17576019,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Collin,Digalbo,TD,0
17576020,9/15/2018,D-II,Kutztown,Gannon,RUSHING,Collin,Digalbo,LONG,2
17576021,9/15/2018,D-II,Kutztown,Gannon,PASSING,Eric,Nickel,CP-ATT-INT,28-40-1
17576022,9/15/2018,D-II,Kutztown,Gannon,PASSING,Eric,Nickel,YDS,394
17576023,9/15/2018,D-II,Kutztown,Gannon,PASSING,Eric,Nickel,TD,5
17576024,9/15/2018,D-II,Kutztown,Gannon,PASSING,Eric,Nickel,LONG,71
17576025,9/15/2018,D-II,Kutztown,Gannon,PASSING,Collin,Digalbo,CP-ATT-INT,0-1-0
17576026,9/15/2018,D-II,Kutztown,Gannon,PASSING,Collin,Digalbo,YDS,0
17576027,9/15/2018,D-II,Kutztown,Gannon,PASSING,Collin,Digalbo,TD,0
17576028,9/15/2018,D-II,Kutztown,Gannon,PASSING,Collin,Digalbo,LONG,0
17576029,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Craig,Reynolds,REC,9
17576030,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Craig,Reynolds,YDS,148
17576031,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Craig,Reynolds,TD,2
17576032,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Craig,Reynolds,LONG,71
17576033,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Conor,Sullivan,REC,4
17576034,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Conor,Sullivan,YDS,61
17576035,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Conor,Sullivan,TD,3
17576036,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Conor,Sullivan,LONG,26
17576037,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Ryan,Hubley,REC,1
17576038,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Ryan,Hubley,YDS,42
17576039,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Ryan,Hubley,TD,0
17576040,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Ryan,Hubley,LONG,42
17576041,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Diego,Torres,REC,3
17576042,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Diego,Torres,YDS,31
17576043,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Diego,Torres,TD,0
17576044,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Diego,Torres,LONG,14
17576045,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Alstan,Wolfe,REC,1
17576046,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Alstan,Wolfe,YDS,25
17576047,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Alstan,Wolfe,TD,0
17576048,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Alstan,Wolfe,LONG,25
17576049,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Amadou,Barry,REC,3
17576050,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Amadou,Barry,YDS,20
17576051,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Amadou,Barry,TD,0
17576052,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Amadou,Barry,LONG,7
17576053,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Brandon,Smith,REC,1
17576054,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Brandon,Smith,YDS,20
17576055,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Brandon,Smith,TD,0
17576056,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Brandon,Smith,LONG,20
17576057,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Josh,Lee,REC,1
17576058,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Josh,Lee,YDS,14
17576059,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Josh,Lee,TD,0
17576060,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Josh,Lee,LONG,14
17576061,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Jack,Pilkerton,REC,2
17576062,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Jack,Pilkerton,YDS,13
17576063,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Jack,Pilkerton,TD,0
17576064,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Jack,Pilkerton,LONG,8
17576065,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Nate,Jones,REC,1
17576066,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Nate,Jones,YDS,9
17576067,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Nate,Jones,TD,0
17576068,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Nate,Jones,LONG,9
17576069,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Tyler,Borg,REC,1
17576070,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Tyler,Borg,YDS,7
17576071,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Tyler,Borg,TD,0
17576072,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,Tyler,Borg,LONG,7
17576073,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,A,Neblett,REC,1
17576074,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,A,Neblett,YDS,4
17576075,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,A,Neblett,TD,0
17576076,9/15/2018,D-II,Kutztown,Gannon,RECEIVING,A,Neblett,LONG,4
17576077,9/15/2018,D-II,Kutztown,Gannon,PUNTING,Dean,Krcic,NO,6
17576078,9/15/2018,D-II,Kutztown,Gannon,PUNTING,Dean,Krcic,YDS,278
17576079,9/15/2018,D-II,Kutztown,Gannon,PUNTING,Dean,Krcic,AVG,46.3
17576080,9/15/2018,D-II,Kutztown,Gannon,PUNTING,Dean,Krcic,LONG,62
17576081,9/15/2018,D-II,Kutztown,Gannon,PUNT RETURNS,Craig,Reynolds,NO,3
17576082,9/15/2018,D-II,Kutztown,Gannon,PUNT RETURNS,Craig,Reynolds,YDS,2
17576083,9/15/2018,D-II,Kutztown,Gannon,PUNT RETURNS,Craig,Reynolds,AVG,0.7
17576084,9/15/2018,D-II,Kutztown,Gannon,PUNT RETURNS,Craig,Reynolds,LONG,3
17576085,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Amadou,Barry,NO,1
17576086,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Amadou,Barry,YDS,36
17576087,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Amadou,Barry,AVG,36.0
17576088,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Amadou,Barry,LONG,36
17576089,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Josh,Lee,NO,1
17576090,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Josh,Lee,YDS,19
17576091,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Josh,Lee,AVG,19.0
17576092,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Josh,Lee,LONG,19
17576093,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,A,Neblett,NO,1
17576094,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,A,Neblett,YDS,27
17576095,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,A,Neblett,AVG,27.0
17576096,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,A,Neblett,LONG,27
17576097,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Tyshyn,Harmon,NO,2
17576098,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Tyshyn,Harmon,YDS,36
17576099,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Tyshyn,Harmon,AVG,18.0
17576100,9/15/2018,D-II,Kutztown,Gannon,KICK RETURNS,Tyshyn,Harmon,LONG,25
17576101,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,TOT,1
17576102,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,SOLO,
17576103,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,SACKS,0
17576104,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,TFL,
17576105,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,INT,
17576106,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,FF,
17576107,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ryan,Hubley,FR,
17576108,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,TOT,5
17576109,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,SOLO,
17576110,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,SACKS,4
17576111,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,TFL,
17576112,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,INT,
17576113,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,FF,
17576114,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nyiem,Nevarez,FR,
17576115,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,TOT,4
17576116,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,SOLO,
17576117,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,SACKS,4
17576118,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,TFL,
17576119,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,INT,
17576120,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,FF,
17576121,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Jake,Perry,FR,
17576122,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,TOT,5
17576123,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,SOLO,
17576124,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,SACKS,1
17576125,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,TFL,
17576126,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,INT,
17576127,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,FF,
17576128,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Chris,Thomas,FR,
17576129,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,TOT,5
17576130,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,SOLO,
17576131,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,SACKS,3
17576132,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,TFL,
17576133,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,INT,
17576134,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,FF,
17576135,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Nick,Palmer,FR,
17576136,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,TOT,6
17576137,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,SOLO,
17576138,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,SACKS,4
17576139,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,TFL,
17576140,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,INT,
17576141,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,FF,
17576142,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,Ahkee,Cox-cowan,FR,
17576143,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,T,Chisholm,TOT,1
17576144,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,T,Chisholm,SOLO,
17576145,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,T,Chisholm,SACKS,0
17576146,9/15/2018,D-II,Kutztown,Gannon,DEFENSE,T,Chisholm,TFL,
