ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17676001,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Chris,Liggio,ATT,17
17676002,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Chris,Liggio,YDS,92
17676003,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Chris,Liggio,TD,1
17676004,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Chris,Liggio,LONG,14
17676005,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Ryan,Mccarthy,ATT,14
17676006,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Ryan,Mccarthy,YDS,60
17676007,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Ryan,Mccarthy,TD,1
17676008,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Ryan,Mccarthy,LONG,7
17676009,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Aj,Greene,ATT,1
17676010,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Aj,Greene,YDS,9
17676011,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Aj,Greene,TD,0
17676012,9/22/2018,D-II,New Haven,Merrimack,RUSHING,Aj,Greene,LONG,9
17676013,9/22/2018,D-II,New Haven,Merrimack,RUSHING,,Team,ATT,1
17676014,9/22/2018,D-II,New Haven,Merrimack,RUSHING,,Team,YDS,0
17676015,9/22/2018,D-II,New Haven,Merrimack,RUSHING,,Team,TD,0
17676016,9/22/2018,D-II,New Haven,Merrimack,RUSHING,,Team,LONG,0
17676017,9/22/2018,D-II,New Haven,Merrimack,PASSING,Ajee,Patterson,CP-ATT-INT,19-27-0
17676018,9/22/2018,D-II,New Haven,Merrimack,PASSING,Ajee,Patterson,YDS,316
17676019,9/22/2018,D-II,New Haven,Merrimack,PASSING,Ajee,Patterson,TD,4
17676020,9/22/2018,D-II,New Haven,Merrimack,PASSING,Ajee,Patterson,LONG,36
17676021,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ju'an,Williams,REC,9
17676022,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ju'an,Williams,YDS,175
17676023,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ju'an,Williams,TD,3
17676024,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ju'an,Williams,LONG,36
17676025,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Damon,Rodgers,REC,3
17676026,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Damon,Rodgers,YDS,48
17676027,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Damon,Rodgers,TD,0
17676028,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Damon,Rodgers,LONG,30
17676029,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Aj,Greene,REC,2
17676030,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Aj,Greene,YDS,47
17676031,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Aj,Greene,TD,0
17676032,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Aj,Greene,LONG,26
17676033,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Jonathan,Badyna,REC,2
17676034,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Jonathan,Badyna,YDS,25
17676035,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Jonathan,Badyna,TD,0
17676036,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Jonathan,Badyna,LONG,15
17676037,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Chris,Carlyle,REC,1
17676038,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Chris,Carlyle,YDS,11
17676039,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Chris,Carlyle,TD,1
17676040,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Chris,Carlyle,LONG,11
17676041,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Brett,Huber,REC,1
17676042,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Brett,Huber,YDS,6
17676043,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Brett,Huber,TD,0
17676044,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Brett,Huber,LONG,6
17676045,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ryan,Mccarthy,REC,1
17676046,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ryan,Mccarthy,YDS,4
17676047,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ryan,Mccarthy,TD,0
17676048,9/22/2018,D-II,New Haven,Merrimack,RECEIVING,Ryan,Mccarthy,LONG,4
17676049,9/22/2018,D-II,New Haven,Merrimack,PUNTING,Ju'an,Williams,NO,3
17676050,9/22/2018,D-II,New Haven,Merrimack,PUNTING,Ju'an,Williams,YDS,106
17676051,9/22/2018,D-II,New Haven,Merrimack,PUNTING,Ju'an,Williams,AVG,35.3
17676052,9/22/2018,D-II,New Haven,Merrimack,PUNTING,Ju'an,Williams,LONG,39
17676053,9/22/2018,D-II,New Haven,Merrimack,PUNT RETURNS,Paul,Cooper,NO,5
17676054,9/22/2018,D-II,New Haven,Merrimack,PUNT RETURNS,Paul,Cooper,YDS,42
17676055,9/22/2018,D-II,New Haven,Merrimack,PUNT RETURNS,Paul,Cooper,AVG,8.4
17676056,9/22/2018,D-II,New Haven,Merrimack,PUNT RETURNS,Paul,Cooper,LONG,21
17676057,9/22/2018,D-II,New Haven,Merrimack,KICK RETURNS,Miles,Pease,NO,3
17676058,9/22/2018,D-II,New Haven,Merrimack,KICK RETURNS,Miles,Pease,YDS,70
17676059,9/22/2018,D-II,New Haven,Merrimack,KICK RETURNS,Miles,Pease,AVG,23.3
17676060,9/22/2018,D-II,New Haven,Merrimack,KICK RETURNS,Miles,Pease,LONG,31
17676061,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,TOT,10
17676062,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,SOLO,
17676063,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,SACKS,6
17676064,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,TFL,
17676065,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,INT,
17676066,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,FF,
17676067,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Jordan,Franckli,FR,1
17676068,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,TOT,11
17676069,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,SOLO,
17676070,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,SACKS,7
17676071,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,TFL,
17676072,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,INT,
17676073,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,FF,1
17676074,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Miles,Pease,FR,1
17676075,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,TOT,5
17676076,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,SOLO,
17676077,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,SACKS,2
17676078,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,TFL,
17676079,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,INT,
17676080,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,FF,
17676081,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Mark,Clements,FR,
17676082,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,TOT,6
17676083,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,SOLO,
17676084,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,SACKS,5
17676085,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,TFL,
17676086,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,INT,
17676087,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,FF,
17676088,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Kevin,Robinson,FR,
17676089,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Josiah,Shumaker,TOT,1
17676090,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Josiah,Shumaker,SOLO,
17676091,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Josiah,Shumaker,SACKS,1
17676092,9/22/2018,D-II,New Haven,Merrimack,DEFENSE,Josiah,Shumaker,TFL,
