ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
17722001,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,S,Perkins,ATT,16
17722002,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,S,Perkins,YDS,125
17722003,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,S,Perkins,TD,3
17722004,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,S,Perkins,LONG,26
17722005,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,L,Alexander,ATT,24
17722006,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,L,Alexander,YDS,100
17722007,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,L,Alexander,TD,2
17722008,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,L,Alexander,LONG,16
17722009,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,Barrett,Renner,ATT,5
17722010,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,Barrett,Renner,YDS,0
17722011,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,Barrett,Renner,TD,0
17722012,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,Barrett,Renner,LONG,5
17722013,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,,Team,ATT,1
17722014,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,,Team,YDS,-1
17722015,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,,Team,TD,0
17722016,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RUSHING,,Team,LONG,0
17722017,9/29/2018,D-II,Southern Ark.,Okla. Baptist,PASSING,Barrett,Renner,CP-ATT-INT,26-33-1
17722018,9/29/2018,D-II,Southern Ark.,Okla. Baptist,PASSING,Barrett,Renner,YDS,387
17722019,9/29/2018,D-II,Southern Ark.,Okla. Baptist,PASSING,Barrett,Renner,TD,3
17722020,9/29/2018,D-II,Southern Ark.,Okla. Baptist,PASSING,Barrett,Renner,LONG,50
17722021,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Jared,Lancaster,REC,9
17722022,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Jared,Lancaster,YDS,156
17722023,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Jared,Lancaster,TD,3
17722024,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Jared,Lancaster,LONG,39
17722025,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Karonce,Higgins,REC,7
17722026,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Karonce,Higgins,YDS,93
17722027,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Karonce,Higgins,TD,0
17722028,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Karonce,Higgins,LONG,50
17722029,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Kile,Pletcher,REC,6
17722030,9/29/2018,D-II,Southern Ark.,Okla. Baptist,RECEIVING,Kile,Pletcher,YDS,88
