ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18776001,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Brad,Dee,ATT,23
18776002,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Brad,Dee,YDS,122
18776003,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Brad,Dee,TD,2
18776004,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Brad,Dee,LONG,26
18776005,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Will,Schneider,ATT,12
18776006,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Will,Schneider,YDS,73
18776007,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Will,Schneider,TD,1
18776008,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Will,Schneider,LONG,23
18776009,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Dalton,Dye,ATT,1
18776010,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Dalton,Dye,YDS,23
18776011,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Dalton,Dye,TD,0
18776012,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Dalton,Dye,LONG,23
18776013,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Rye'll,Dydell,ATT,2
18776014,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Rye'll,Dydell,YDS,21
18776015,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Rye'll,Dydell,TD,0
18776016,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Rye'll,Dydell,LONG,11
18776017,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Nick,Allsman,ATT,1
18776018,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Nick,Allsman,YDS,5
18776019,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Nick,Allsman,TD,0
18776020,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Nick,Allsman,LONG,5
18776021,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Jalik,Jaggwe,ATT,1
18776022,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Jalik,Jaggwe,YDS,2
18776023,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Jalik,Jaggwe,TD,0
18776024,10/12/2019,D-II,William Jewell,Southwest Baptist,RUSHING,Jalik,Jaggwe,LONG,2
18776025,10/12/2019,D-II,William Jewell,Southwest Baptist,PASSING,Will,Schneider,CP-ATT-INT,10-20-0
18776026,10/12/2019,D-II,William Jewell,Southwest Baptist,PASSING,Will,Schneider,YDS,183
18776027,10/12/2019,D-II,William Jewell,Southwest Baptist,PASSING,Will,Schneider,TD,0
18776028,10/12/2019,D-II,William Jewell,Southwest Baptist,PASSING,Will,Schneider,LONG,43
18776029,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Octavio,Phelps,REC,2
18776030,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Octavio,Phelps,YDS,59
18776031,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Octavio,Phelps,TD,0
18776032,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Octavio,Phelps,LONG,43
18776033,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Nick,Fisher,REC,3
18776034,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Nick,Fisher,YDS,56
18776035,10/12/2019,D-II,William Jewell,Southwest Baptist,RECEIVING,Nick,Fisher,TD,0
