ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18978001,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Trey,Smith,ATT,4
18978002,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Trey,Smith,YDS,47
18978003,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Trey,Smith,TD,0
18978004,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Trey,Smith,LONG,31
18978005,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Caleb,Batie,ATT,12
18978006,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Caleb,Batie,YDS,45
18978007,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Caleb,Batie,TD,1
18978008,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Caleb,Batie,LONG,11
18978009,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Carter,Burcham,ATT,12
18978010,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Carter,Burcham,YDS,37
18978011,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Carter,Burcham,TD,1
18978012,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Carter,Burcham,LONG,10
18978013,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Wallace,Foote,ATT,9
18978014,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Wallace,Foote,YDS,31
18978015,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Wallace,Foote,TD,0
18978016,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Wallace,Foote,LONG,22
18978017,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Deon,Simmons,ATT,2
18978018,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Deon,Simmons,YDS,6
18978019,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Deon,Simmons,TD,0
18978020,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Deon,Simmons,LONG,4
18978021,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Tanner,Gaines,ATT,2
18978022,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Tanner,Gaines,YDS,4
18978023,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Tanner,Gaines,TD,0
18978024,10/26/2019,D-II,Arkansas Tech,Southwestern Okla.,RUSHING,Tanner,Gaines,LONG,4
