ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18974001,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Davion,Sutton,ATT,21
18974002,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Davion,Sutton,YDS,105
18974003,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Davion,Sutton,TD,1
18974004,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Davion,Sutton,LONG,23
18974005,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Kameron,Mathis,ATT,10
18974006,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Kameron,Mathis,YDS,13
18974007,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Kameron,Mathis,TD,0
18974008,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Kameron,Mathis,LONG,5
18974009,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Caleb,Leake,ATT,7
18974010,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Caleb,Leake,YDS,3
18974011,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Caleb,Leake,TD,0
18974012,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Caleb,Leake,LONG,6
18974013,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Adrian,Walker,ATT,3
18974014,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Adrian,Walker,YDS,3
18974015,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Adrian,Walker,TD,0
18974016,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Adrian,Walker,LONG,2
18974017,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Clayton,Roberts,ATT,2
18974018,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Clayton,Roberts,YDS,0
18974019,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Clayton,Roberts,TD,0
18974020,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Clayton,Roberts,LONG,1
18974021,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Marquis,Simmons,ATT,2
18974022,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Marquis,Simmons,YDS,-9
18974023,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Marquis,Simmons,TD,0
18974024,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RUSHING,Marquis,Simmons,LONG,0
18974025,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Kameron,Mathis,CP-ATT-INT,7-18-2
18974026,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Kameron,Mathis,YDS,82
18974027,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Kameron,Mathis,TD,0
18974028,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Kameron,Mathis,LONG,28
18974029,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Clayton,Roberts,CP-ATT-INT,4-8-0
18974030,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Clayton,Roberts,YDS,11
18974031,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Clayton,Roberts,TD,0
18974032,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Clayton,Roberts,LONG,10
18974033,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Caleb,Leake,CP-ATT-INT,0-4-1
18974034,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Caleb,Leake,YDS,0
18974035,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Caleb,Leake,TD,0
18974036,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PASSING,Caleb,Leake,LONG,0
18974037,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Ben,Galaviz,REC,3
18974038,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Ben,Galaviz,YDS,32
18974039,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Ben,Galaviz,TD,0
18974040,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Ben,Galaviz,LONG,12
18974041,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Jeremiah,Cooley,REC,1
18974042,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Jeremiah,Cooley,YDS,28
18974043,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Jeremiah,Cooley,TD,0
18974044,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Jeremiah,Cooley,LONG,28
18974045,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kobe,Robinson,REC,2
18974046,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kobe,Robinson,YDS,21
18974047,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kobe,Robinson,TD,0
18974048,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kobe,Robinson,LONG,20
18974049,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Caleb,Forrest,REC,2
18974050,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Caleb,Forrest,YDS,6
18974051,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Caleb,Forrest,TD,0
18974052,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Caleb,Forrest,LONG,4
18974053,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Marquis,Simmons,REC,1
18974054,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Marquis,Simmons,YDS,5
18974055,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Marquis,Simmons,TD,0
18974056,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Marquis,Simmons,LONG,5
18974057,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kyle,Mcbride,REC,1
18974058,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kyle,Mcbride,YDS,3
18974059,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kyle,Mcbride,TD,0
18974060,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Kyle,Mcbride,LONG,3
18974061,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Adrian,Walker,REC,1
18974062,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Adrian,Walker,YDS,-2
18974063,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Adrian,Walker,TD,0
18974064,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,RECEIVING,Adrian,Walker,LONG,0
18974065,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Kameron,Mathis,NO,1
18974066,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Kameron,Mathis,YDS,29
18974067,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Kameron,Mathis,AVG,29.0
18974068,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Kameron,Mathis,LONG,29
18974069,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Clayton,Roberts,NO,1
18974070,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Clayton,Roberts,YDS,54
18974071,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Clayton,Roberts,AVG,54.0
18974072,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Clayton,Roberts,LONG,54
18974073,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Sergio,Landeros,NO,8
18974074,10/26/2019,D-II,Tex. Permian Basin,Angelo St.,PUNTING,Sergio,Landeros,YDS,361
