ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18721001,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,B,Williams,ATT,7
18721002,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,B,Williams,YDS,34
18721003,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,B,Williams,TD,0
18721004,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,B,Williams,LONG,18
18721005,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Taurean,Taylor,ATT,10
18721006,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Taurean,Taylor,YDS,31
18721007,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Taurean,Taylor,TD,0
18721008,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Taurean,Taylor,LONG,11
18721009,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Kenny,Gant,ATT,5
18721010,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Kenny,Gant,YDS,29
18721011,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Kenny,Gant,TD,0
18721012,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Kenny,Gant,LONG,15
18721013,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,I,Patterson,ATT,8
18721014,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,I,Patterson,YDS,28
18721015,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,I,Patterson,TD,0
18721016,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,I,Patterson,LONG,11
18721017,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Ahmad,Deramus,ATT,5
18721018,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Ahmad,Deramus,YDS,18
18721019,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Ahmad,Deramus,TD,0
18721020,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Ahmad,Deramus,LONG,12
18721021,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Eric,brightjr,ATT,1
18721022,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Eric,brightjr,YDS,3
18721023,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Eric,brightjr,TD,0
18721024,10/5/2019,D-II,Tuskegee,Albany St. (GA),RUSHING,Eric,brightjr,LONG,3
18721025,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,Ahmad,Deramus,CP-ATT-INT,11-22-3
18721026,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,Ahmad,Deramus,YDS,91
18721027,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,Ahmad,Deramus,TD,0
18721028,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,Ahmad,Deramus,LONG,16
18721029,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,B,Williams,CP-ATT-INT,3-6-0
18721030,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,B,Williams,YDS,59
18721031,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,B,Williams,TD,0
18721032,10/5/2019,D-II,Tuskegee,Albany St. (GA),PASSING,B,Williams,LONG,38
18721033,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Peyton,Ramzy,REC,3
18721034,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Peyton,Ramzy,YDS,64
18721035,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Peyton,Ramzy,TD,0
18721036,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Peyton,Ramzy,LONG,38
18721037,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Steven,Hodges,REC,2
18721038,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Steven,Hodges,YDS,28
18721039,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Steven,Hodges,TD,0
18721040,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Steven,Hodges,LONG,18
18721041,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kenny,Gant,REC,2
18721042,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kenny,Gant,YDS,16
18721043,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kenny,Gant,TD,0
18721044,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kenny,Gant,LONG,10
18721045,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,I,Patterson,REC,2
18721046,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,I,Patterson,YDS,12
18721047,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,I,Patterson,TD,0
18721048,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,I,Patterson,LONG,11
18721049,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Alex,Mitchell,REC,1
18721050,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Alex,Mitchell,YDS,12
18721051,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Alex,Mitchell,TD,0
18721052,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Alex,Mitchell,LONG,12
18721053,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Devaren,Valcin,REC,1
18721054,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Devaren,Valcin,YDS,9
18721055,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Devaren,Valcin,TD,0
18721056,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Devaren,Valcin,LONG,9
18721057,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Eric,brightjr,REC,1
18721058,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Eric,brightjr,YDS,6
18721059,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Eric,brightjr,TD,0
18721060,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Eric,brightjr,LONG,6
18721061,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kedrick,Greene,REC,1
18721062,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kedrick,Greene,YDS,3
18721063,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kedrick,Greene,TD,0
18721064,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,Kedrick,Greene,LONG,3
18721065,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,L,Pettway,REC,1
18721066,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,L,Pettway,YDS,0
18721067,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,L,Pettway,TD,0
18721068,10/5/2019,D-II,Tuskegee,Albany St. (GA),RECEIVING,L,Pettway,LONG,0
18721069,10/5/2019,D-II,Tuskegee,Albany St. (GA),PUNTING,Ryan,Huff,NO,4
18721070,10/5/2019,D-II,Tuskegee,Albany St. (GA),PUNTING,Ryan,Huff,YDS,169
