ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19195001,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Otumus,Payemanu,ATT,19
19195002,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Otumus,Payemanu,YDS,61
19195003,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Otumus,Payemanu,TD,0
19195004,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Otumus,Payemanu,LONG,8
19195005,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,J,Federick,ATT,6
19195006,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,J,Federick,YDS,45
19195007,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,J,Federick,TD,0
19195008,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,J,Federick,LONG,33
19195009,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Duson,Sproles,ATT,9
19195010,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Duson,Sproles,YDS,17
19195011,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Duson,Sproles,TD,0
19195012,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Duson,Sproles,LONG,5
19195013,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Michael,Morales,ATT,0
19195014,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Michael,Morales,YDS,3
19195015,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Michael,Morales,TD,0
19195016,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Michael,Morales,LONG,0
19195017,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Ziere,Banner,ATT,5
19195018,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Ziere,Banner,YDS,2
19195019,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Ziere,Banner,TD,0
19195020,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Ziere,Banner,LONG,5
19195021,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Markell,White,ATT,3
19195022,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Markell,White,YDS,-3
19195023,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Markell,White,TD,0
19195024,11/16/2019,D-II,Adams St.,Dixie St.,RUSHING,Markell,White,LONG,3
19195025,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Ziere,Banner,CP-ATT-INT,1-1-0
19195026,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Ziere,Banner,YDS,37
19195027,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Ziere,Banner,TD,0
19195028,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Ziere,Banner,LONG,37
19195029,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Markell,White,CP-ATT-INT,3-5-0
19195030,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Markell,White,YDS,34
19195031,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Markell,White,TD,0
19195032,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Markell,White,LONG,17
19195033,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Michael,Morales,CP-ATT-INT,2-9-1
19195034,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Michael,Morales,YDS,19
19195035,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Michael,Morales,TD,1
19195036,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Michael,Morales,LONG,10
19195037,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Otumus,Payemanu,CP-ATT-INT,0-1-1
19195038,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Otumus,Payemanu,YDS,0
19195039,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Otumus,Payemanu,TD,0
19195040,11/16/2019,D-II,Adams St.,Dixie St.,PASSING,Otumus,Payemanu,LONG,0
19195041,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,C,ahMook-sang,REC,1
19195042,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,C,ahMook-sang,YDS,37
19195043,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,C,ahMook-sang,TD,0
19195044,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,C,ahMook-sang,LONG,37
19195045,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Jordan,Simon,REC,2
19195046,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Jordan,Simon,YDS,19
19195047,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Jordan,Simon,TD,1
19195048,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Jordan,Simon,LONG,10
19195049,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Ziere,Banner,REC,2
19195050,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Ziere,Banner,YDS,17
19195051,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Ziere,Banner,TD,0
19195052,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Ziere,Banner,LONG,9
19195053,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Q,Garrett,REC,1
19195054,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Q,Garrett,YDS,17
19195055,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Q,Garrett,TD,0
19195056,11/16/2019,D-II,Adams St.,Dixie St.,RECEIVING,Q,Garrett,LONG,17
19195057,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,Michael,Morales,NO,1
19195058,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,Michael,Morales,YDS,41
19195059,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,Michael,Morales,AVG,41.0
19195060,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,Michael,Morales,LONG,41
19195061,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,John,Bowers,NO,5
19195062,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,John,Bowers,YDS,220
19195063,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,John,Bowers,AVG,44.0
19195064,11/16/2019,D-II,Adams St.,Dixie St.,PUNTING,John,Bowers,LONG,47
19195065,11/16/2019,D-II,Adams St.,Dixie St.,PUNT RETURNS,S,Foster,NO,2
19195066,11/16/2019,D-II,Adams St.,Dixie St.,PUNT RETURNS,S,Foster,YDS,2
19195067,11/16/2019,D-II,Adams St.,Dixie St.,PUNT RETURNS,S,Foster,AVG,1.0
19195068,11/16/2019,D-II,Adams St.,Dixie St.,PUNT RETURNS,S,Foster,LONG,0
19195069,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,,Team,NO,0
19195070,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,,Team,YDS,21
19195071,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,,Team,AVG,-
19195072,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,,Team,LONG,21
19195073,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,Ziere,Banner,NO,3
19195074,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,Ziere,Banner,YDS,45
19195075,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,Ziere,Banner,AVG,15.0
19195076,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,Ziere,Banner,LONG,29
19195077,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,J,Federick,NO,1
19195078,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,J,Federick,YDS,21
19195079,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,J,Federick,AVG,21.0
19195080,11/16/2019,D-II,Adams St.,Dixie St.,KICK RETURNS,J,Federick,LONG,21
19195081,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,TOT,4
19195082,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,SOLO,
19195083,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,SACKS,3
19195084,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,TFL,
19195085,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,INT,
19195086,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,FF,
19195087,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,D,Robinson,FR,
19195088,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,TOT,2
19195089,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,SOLO,
19195090,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,SACKS,2
19195091,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,TFL,
19195092,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,INT,
19195093,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,FF,
19195094,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Deon,Mayers,FR,
19195095,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,TOT,4
19195096,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,SOLO,
19195097,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,SACKS,4
19195098,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,TFL,
19195099,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,INT,
19195100,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,FF,
19195101,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Alani,Pututau,FR,4
19195102,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,TOT,6
19195103,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,SOLO,
19195104,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,SACKS,2
19195105,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,TFL,
19195106,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,INT,
19195107,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,FF,
19195108,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braeden,Meyer,FR,
19195109,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,TOT,4
19195110,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,SOLO,
19195111,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,SACKS,3
19195112,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,TFL,
19195113,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,INT,
19195114,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,FF,
19195115,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Elijah,Tuli,FR,
19195116,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,TOT,1
19195117,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,SOLO,
19195118,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,SACKS,1
19195119,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,TFL,
19195120,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,INT,
19195121,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,FF,
19195122,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Bradley,Smith,FR,
19195123,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,TOT,1
19195124,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,SOLO,
19195125,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,SACKS,1
19195126,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,TFL,
19195127,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,INT,
19195128,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,FF,
19195129,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,C,ahMook-sang,FR,
19195130,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,TOT,2
19195131,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,SOLO,
19195132,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,SACKS,1
19195133,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,TFL,
19195134,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,INT,
19195135,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,FF,
19195136,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Braxton,Rodgers,FR,
19195137,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,TOT,4
19195138,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,SOLO,
19195139,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,SACKS,3
19195140,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,TFL,
19195141,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,INT,
19195142,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,FF,
19195143,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Corey,Sinceno,FR,
19195144,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,TOT,7
19195145,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,SOLO,
19195146,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,SACKS,6
19195147,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,TFL,
19195148,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,INT,
19195149,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,FF,
19195150,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Ahmed,Bernard,FR,
19195151,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,TOT,1
19195152,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,SOLO,
19195153,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,SACKS,1
19195154,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,TFL,
19195155,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,INT,
19195156,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,FF,
19195157,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Duson,Sproles,FR,
19195158,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Angelo,Ramirez,TOT,1
19195159,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Angelo,Ramirez,SOLO,
19195160,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Angelo,Ramirez,SACKS,1
19195161,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Angelo,Ramirez,TFL,
19195162,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Angelo,Ramirez,INT,
19195163,11/16/2019,D-II,Adams St.,Dixie St.,DEFENSE,Angelo,Ramirez,FF,
