ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18990001,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Khalil,Nelson,ATT,18
18990002,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Khalil,Nelson,YDS,78
18990003,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Khalil,Nelson,TD,0
18990004,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Khalil,Nelson,LONG,14
18990005,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Logan,Leiby,ATT,16
18990006,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Logan,Leiby,YDS,76
18990007,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Logan,Leiby,TD,1
18990008,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Logan,Leiby,LONG,33
18990009,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Nyfease,West,ATT,11
18990010,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Nyfease,West,YDS,49
18990011,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Nyfease,West,TD,0
18990012,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,Nyfease,West,LONG,19
18990013,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,,Team,ATT,1
18990014,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,,Team,YDS,-1
18990015,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,,Team,TD,0
18990016,11/2/2019,D-II,Bloomsburg,Millersville,RUSHING,,Team,LONG,0
18990017,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Logan,Leiby,CP-ATT-INT,16-27-1
18990018,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Logan,Leiby,YDS,210
18990019,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Logan,Leiby,TD,2
18990020,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Logan,Leiby,LONG,71
18990021,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Michael,Allen,CP-ATT-INT,0-1-0
18990022,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Michael,Allen,YDS,0
18990023,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Michael,Allen,TD,0
18990024,11/2/2019,D-II,Bloomsburg,Millersville,PASSING,Michael,Allen,LONG,0
18990025,11/2/2019,D-II,Bloomsburg,Millersville,RECEIVING,S,Arrington,REC,6
