ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18431001,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,Jake,Cirillo,ATT,11
18431002,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,Jake,Cirillo,YDS,96
18431003,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,Jake,Cirillo,TD,1
18431004,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,Jake,Cirillo,LONG,18
18431005,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,D,Robinson,ATT,20
18431006,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,D,Robinson,YDS,67
18431007,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,D,Robinson,TD,1
18431008,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,D,Robinson,LONG,13
18431009,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,N,Sarangoulis,ATT,2
18431010,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,N,Sarangoulis,YDS,2
18431011,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,N,Sarangoulis,TD,0
18431012,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,N,Sarangoulis,LONG,3
18431013,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,,Team,ATT,3
18431014,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,,Team,YDS,-4
18431015,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,,Team,TD,0
18431016,9/14/2019,D-II,East Stroudsburg,Seton Hill,RUSHING,,Team,LONG,0
18431017,9/14/2019,D-II,East Stroudsburg,Seton Hill,PASSING,Jake,Cirillo,CP-ATT-INT,15-33-2
18431018,9/14/2019,D-II,East Stroudsburg,Seton Hill,PASSING,Jake,Cirillo,YDS,260
18431019,9/14/2019,D-II,East Stroudsburg,Seton Hill,PASSING,Jake,Cirillo,TD,2
18431020,9/14/2019,D-II,East Stroudsburg,Seton Hill,PASSING,Jake,Cirillo,LONG,68
18431021,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Ezequiel,Lopez,REC,4
18431022,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Ezequiel,Lopez,YDS,82
18431023,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Ezequiel,Lopez,TD,1
18431024,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Ezequiel,Lopez,LONG,68
18431025,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Javier,Buffalo,REC,4
18431026,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Javier,Buffalo,YDS,71
18431027,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Javier,Buffalo,TD,1
18431028,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Javier,Buffalo,LONG,45
18431029,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,C,Brinkley,REC,2
18431030,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,C,Brinkley,YDS,55
18431031,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,C,Brinkley,TD,0
18431032,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,C,Brinkley,LONG,34
18431033,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,D,Robinson,REC,3
18431034,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,D,Robinson,YDS,33
18431035,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,D,Robinson,TD,0
18431036,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,D,Robinson,LONG,29
18431037,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Rj,Sarajian,REC,2
18431038,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Rj,Sarajian,YDS,19
18431039,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Rj,Sarajian,TD,0
18431040,9/14/2019,D-II,East Stroudsburg,Seton Hill,RECEIVING,Rj,Sarajian,LONG,11
18431041,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNTING,Jordan,Walters,NO,4
18431042,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNTING,Jordan,Walters,YDS,141
18431043,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNTING,Jordan,Walters,AVG,35.2
18431044,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNTING,Jordan,Walters,LONG,41
18431045,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNT RETURNS,Rece,Bender,NO,1
18431046,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNT RETURNS,Rece,Bender,YDS,3
18431047,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNT RETURNS,Rece,Bender,AVG,3.0
18431048,9/14/2019,D-II,East Stroudsburg,Seton Hill,PUNT RETURNS,Rece,Bender,LONG,3
18431049,9/14/2019,D-II,East Stroudsburg,Seton Hill,KICK RETURNS,Ezequiel,Lopez,NO,2
18431050,9/14/2019,D-II,East Stroudsburg,Seton Hill,KICK RETURNS,Ezequiel,Lopez,YDS,39
18431051,9/14/2019,D-II,East Stroudsburg,Seton Hill,KICK RETURNS,Ezequiel,Lopez,AVG,19.5
18431052,9/14/2019,D-II,East Stroudsburg,Seton Hill,KICK RETURNS,Ezequiel,Lopez,LONG,22
18431053,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,TOT,8
18431054,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,SOLO,
18431055,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,SACKS,5
18431056,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,TFL,
18431057,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,INT,
18431058,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,FF,
18431059,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Tyler,Watson,FR,0
18431060,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,TOT,3
18431061,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,SOLO,
18431062,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,SACKS,1
18431063,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,TFL,
18431064,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,INT,
18431065,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,FF,
18431066,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jameer,Brooks,FR,0
18431067,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,TOT,1
18431068,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,SOLO,
18431069,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,SACKS,1
18431070,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,TFL,
18431071,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,INT,
18431072,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,FF,
18431073,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Rece,Bender,FR,
18431074,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,TOT,5
18431075,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,SOLO,
18431076,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,SACKS,4
18431077,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,TFL,
18431078,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,INT,
18431079,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,FF,
18431080,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Andre',Gray,FR,2
18431081,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,TOT,1
18431082,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,SOLO,
18431083,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,SACKS,1
18431084,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,TFL,
18431085,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,INT,
18431086,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,FF,
18431087,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,D,Mccarthy,FR,
18431088,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jamal,Cooley,TOT,2
18431089,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jamal,Cooley,SOLO,
18431090,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jamal,Cooley,SACKS,0
18431091,9/14/2019,D-II,East Stroudsburg,Seton Hill,DEFENSE,Jamal,Cooley,TFL,
